model,metric,label,layer,n_mentions,mean,q25,median,q75
llava_1_5_7b,spearman,REAL,1,11976,0.9452590487614706,0.9263216788486174,0.9492870419209807,0.968535104739658
llava_1_5_7b,spearman,REAL,2,11976,0.9273017455554344,0.9184488106899757,0.9463777534976014,0.9608539767161481
llava_1_5_7b,spearman,REAL,3,11976,0.9957768237805809,0.9949327323989653,0.9960268002913623,0.9969266477030116
llava_1_5_7b,spearman,REAL,4,11976,0.9951136160200093,0.9941658503503882,0.995424139100294,0.9963742056614675
llava_1_5_7b,spearman,REAL,5,11976,0.9973676132231767,0.9967473563911287,0.997625649913345,0.9982702258056415
llava_1_5_7b,spearman,REAL,6,11976,0.9976173111500392,0.997157759400196,0.9977587722603171,0.9982489701856179
llava_1_5_7b,spearman,REAL,7,11976,0.9963707552542042,0.9956623935649161,0.9967783450129356,0.9975506273076635
llava_1_5_7b,spearman,REAL,8,11976,0.9964862459432479,0.9955539647853717,0.9968476377062769,0.9978284260166279
llava_1_5_7b,spearman,REAL,9,11976,0.997641858391915,0.9969940408911663,0.99786219325346,0.9985636130158492
llava_1_5_7b,spearman,REAL,10,11976,0.9985136833163868,0.9981732097556075,0.9986339888980987,0.9989995730037928
llava_1_5_7b,spearman,REAL,11,11976,0.9984565043558705,0.9981168368372141,0.998600551327456,0.9989655388943312
llava_1_5_7b,spearman,REAL,12,11976,0.9975914208373495,0.9971098165172181,0.9978629467761788,0.9984075396227364
llava_1_5_7b,spearman,REAL,13,11976,0.9982185453567752,0.9978623659357497,0.9984116996960792,0.9987986964056967
llava_1_5_7b,spearman,REAL,14,11976,0.997224372296966,0.9966305132745586,0.9975562630296638,0.9981923617913748
llava_1_5_7b,spearman,REAL,15,11976,0.9980668447018897,0.9976234521387488,0.9983075251802176,0.9987846306482808
llava_1_5_7b,spearman,REAL,16,11976,0.9973732293581345,0.9968378890061037,0.997724361389496,0.998339471403813
llava_1_5_7b,spearman,REAL,17,11976,0.998074417181444,0.9976692286439104,0.9983011516338886,0.9987340033406176
llava_1_5_7b,spearman,REAL,18,11976,0.9968425953623421,0.996202794941351,0.997154886594831,0.9978469344184062
llava_1_5_7b,spearman,REAL,19,11976,0.9968577468018901,0.9963176443623943,0.9973018549217594,0.9979855982970387
llava_1_5_7b,spearman,REAL,20,11976,0.9980876331153542,0.9977388353050513,0.9982923605355036,0.9986752442669481
llava_1_5_7b,spearman,REAL,21,11976,0.9963853252085048,0.9958002882224399,0.9969728794614825,0.997725507371964
llava_1_5_7b,spearman,REAL,22,11976,0.9969000350647347,0.9963758343552034,0.997752995252807,0.9984852623514934
llava_1_5_7b,spearman,REAL,23,11976,0.9924017002819051,0.991017632431618,0.9960966267299627,0.9977110334564088
llava_1_5_7b,spearman,REAL,24,11976,0.9977155245156212,0.9972567220505866,0.9983319204782359,0.998930578579861
llava_1_5_7b,spearman,REAL,25,11976,0.9974137016936896,0.9968469469771182,0.9981187049456209,0.9988301873759828
llava_1_5_7b,spearman,REAL,26,11976,0.9885942119921436,0.985735485268631,0.9906144977771081,0.9935020596287646
llava_1_5_7b,spearman,REAL,27,11976,0.9898246674087813,0.9878377665586618,0.991762929193982,0.9942635571295809
llava_1_5_7b,spearman,REAL,28,11976,0.986069330264286,0.9830001664029338,0.9872900811292795,0.9903924126541583
llava_1_5_7b,spearman,REAL,29,11976,0.9844953363941915,0.9798404729610932,0.9866345163640018,0.9916764467636201
llava_1_5_7b,spearman,REAL,30,11976,0.9899795276291439,0.987160726395901,0.9920744166478287,0.9950764511591692
llava_1_5_7b,spearman,REAL,31,11976,0.9477264380347903,0.9354171219199761,0.9510615879235427,0.9636782740562129
llava_1_5_7b,spearman,REAL,32,11976,0.7942302608089247,0.731175576802584,0.8024850237359658,0.8668724568608245
llava_1_5_7b,spearman,HALL,1,3487,0.9572810144674936,0.9417092407002738,0.9692571521864719,0.9785537073317762
llava_1_5_7b,spearman,HALL,2,3487,0.9022358538106164,0.8694140418958632,0.9269963328561024,0.9531330293583516
llava_1_5_7b,spearman,HALL,3,3487,0.9950755236187739,0.994092350488534,0.9952533720141663,0.9962813653831664
llava_1_5_7b,spearman,HALL,4,3487,0.9950821484610296,0.9942749855574813,0.9953292894280764,0.9962606435084018
llava_1_5_7b,spearman,HALL,5,3487,0.9980068804738949,0.9976669680757543,0.9982133348403789,0.99862152437646
llava_1_5_7b,spearman,HALL,6,3487,0.9974699758000257,0.9970638359329869,0.9976073141938564,0.9980401502021954
llava_1_5_7b,spearman,HALL,7,3487,0.9955217675084075,0.9947711802677519,0.9958397382764425,0.996675269384372
llava_1_5_7b,spearman,HALL,8,3487,0.9959520358824573,0.9951306106045765,0.9962590736694046,0.9971623590284582
llava_1_5_7b,spearman,HALL,9,3487,0.9972532579462062,0.9967817986587297,0.997505274659031,0.9980360058272425
llava_1_5_7b,spearman,HALL,10,3487,0.9982898421524813,0.9979493271509081,0.9984251375178963,0.9987737673624194
llava_1_5_7b,spearman,HALL,11,3487,0.9981821544071111,0.9978157888126995,0.9983334589204532,0.9987292153316758
llava_1_5_7b,spearman,HALL,12,3487,0.9974599746155876,0.9969558624067516,0.9977463391354584,0.9983097543515937
llava_1_5_7b,spearman,HALL,13,3487,0.9982297783971269,0.9978965413307213,0.9984051691658504,0.998768806671188
llava_1_5_7b,spearman,HALL,14,3487,0.9968374703444625,0.9962110993896467,0.9971266294928793,0.9977867467912492
llava_1_5_7b,spearman,HALL,15,3487,0.997889228802506,0.9975210044457842,0.9981570718107152,0.998580143420491
llava_1_5_7b,spearman,HALL,16,3487,0.99754153576955,0.9971282621254365,0.9978380177329015,0.998356378569814
llava_1_5_7b,spearman,HALL,17,3487,0.9979730602849112,0.997649605656444,0.9982527691959914,0.9986538316630247
llava_1_5_7b,spearman,HALL,18,3487,0.9964138316163237,0.9957298181498506,0.9967155984966534,0.9973987767814534
llava_1_5_7b,spearman,HALL,19,3487,0.9969171501632628,0.9964652563233116,0.9974046793760833,0.9980507937105971
llava_1_5_7b,spearman,HALL,20,3487,0.9979292989001861,0.9975429507949666,0.9981890337327005,0.9986203626956021
llava_1_5_7b,spearman,HALL,21,3487,0.9965800068850968,0.9961795770225808,0.9971889207042927,0.9977804674352599
llava_1_5_7b,spearman,HALL,22,3487,0.9977535019273733,0.9975086341144854,0.9982960967523172,0.9987158403034186
llava_1_5_7b,spearman,HALL,23,3487,0.995122096422193,0.9956967573405673,0.9974976766382841,0.9983060809283401
llava_1_5_7b,spearman,HALL,24,3487,0.9970130160124497,0.996210345866928,0.9975070956722679,0.9984348077261198
llava_1_5_7b,spearman,HALL,25,3487,0.9978332357923627,0.9974708009946501,0.998392610453872,0.9989074548514305
llava_1_5_7b,spearman,HALL,26,3487,0.9900492257959188,0.9882964107201166,0.9919120011051668,0.9941073581493484
llava_1_5_7b,spearman,HALL,27,3487,0.991221358820308,0.9896416057569137,0.9926166076407205,0.9946632067415168
llava_1_5_7b,spearman,HALL,28,3487,0.9851718822185312,0.981744813251953,0.9861513199206291,0.9899167357395826
llava_1_5_7b,spearman,HALL,29,3487,0.9858294009225783,0.9818119709642581,0.9876179263054782,0.992348824504559
llava_1_5_7b,spearman,HALL,30,3487,0.9919946908262416,0.990122133473991,0.9934081204631654,0.9955706364755232
llava_1_5_7b,spearman,HALL,31,3487,0.9464891093785512,0.9349968289252255,0.9489683646045263,0.9605412490894935
llava_1_5_7b,spearman,HALL,32,3487,0.7401548582246319,0.6725962625273152,0.7382824705498205,0.8108036633762843
llava_1_5_7b,js,REAL,1,11976,0.002284522032866931,0.0015940488579826648,0.0020697790790950915,0.0027589992553439537
llava_1_5_7b,js,REAL,2,11976,0.0034251559312041668,0.001780815931044144,0.0022467047057608183,0.003485245487538994
llava_1_5_7b,js,REAL,3,11976,0.0012079251541184013,0.0009410167943257539,0.0011612073315235233,0.0014106981532130802
llava_1_5_7b,js,REAL,4,11976,0.00198990309585258,0.0012965006799960104,0.001812072053421884,0.0024923614414617207
llava_1_5_7b,js,REAL,5,11976,0.001614223489889378,0.0009396474020726976,0.0014684086767660122,0.002042922266127543
llava_1_5_7b,js,REAL,6,11976,0.0016564042768824727,0.001159888831673463,0.001480257605162945,0.0019334603594806223
llava_1_5_7b,js,REAL,7,11976,0.002070576758850615,0.0015080553502994718,0.0019127032472725034,0.0024557996601495074
llava_1_5_7b,js,REAL,8,11976,0.002029550814165336,0.0013892363464153377,0.0018027052447037706,0.002426758214939902
llava_1_5_7b,js,REAL,9,11976,0.0012186585421394046,0.0007820658021747934,0.0010512041801998306,0.0014893167562720023
llava_1_5_7b,js,REAL,10,11976,0.0011797801434491751,0.0006612556028774978,0.0010037797280724298,0.001523214339597222
llava_1_5_7b,js,REAL,11,11976,0.0009088118044475349,0.0005747969245985902,0.0007852212859816749,0.001102842722348772
llava_1_5_7b,js,REAL,12,11976,0.0012993585623276894,0.0008288746743568741,0.0011401039391640204,0.0016061405034334625
llava_1_5_7b,js,REAL,13,11976,0.001178009121688625,0.0006562079412196665,0.0009395761484850525,0.001382515048937763
llava_1_5_7b,js,REAL,14,11976,0.0019210286946588669,0.001246041354146943,0.001675571609933417,0.0022882081561507277
llava_1_5_7b,js,REAL,15,11976,0.001840911782852639,0.0010852674519930305,0.0015334084243669721,0.0021818137628230438
llava_1_5_7b,js,REAL,16,11976,0.0011472463713480122,0.0007881496961177244,0.001030882200191011,0.0013385742884710972
llava_1_5_7b,js,REAL,17,11976,0.001554135133347072,0.0009153017239885783,0.0012757798678075679,0.0018490287819332685
llava_1_5_7b,js,REAL,18,11976,0.0019971888365882475,0.0012953605525384184,0.0017529397538686357,0.0023846573120595233
llava_1_5_7b,js,REAL,19,11976,0.0021752972484278374,0.0011242012962084957,0.001665828070854282,0.002575908569944933
llava_1_5_7b,js,REAL,20,11976,0.0015177513538355782,0.000757187508235888,0.0010732799490895941,0.0017287814400342048
llava_1_5_7b,js,REAL,21,11976,0.0044658860312576385,0.0025228890732757986,0.003653824968167432,0.005409999884280408
llava_1_5_7b,js,REAL,22,11976,0.0016079262838094672,0.0007146654739504427,0.001044476481095903,0.0017065570121503181
llava_1_5_7b,js,REAL,23,11976,0.0032736091003717264,0.0010520621151975172,0.0017156559261233646,0.0031757059373938635
llava_1_5_7b,js,REAL,24,11976,0.00172444523533214,0.0003604314872793892,0.0006424581470799573,0.0014108598683261887
llava_1_5_7b,js,REAL,25,11976,0.002509508590489234,0.0005406838654091869,0.0010026166247860673,0.0021832193091116544
llava_1_5_7b,js,REAL,26,11976,0.005118478371127463,0.0008774895812774977,0.001584178540043897,0.003946046668237868
llava_1_5_7b,js,REAL,27,11976,0.003525570904249595,0.0009111306341668561,0.001596720498250768,0.003247040956614739
