model,label,layer,n_mentions,mean,q25,median,q75,raw_kappa_real_auroc
llava_1_5_7b,HALL,1,3487,0.7468985915184021,0.7091169357299805,0.7631515860557556,0.7990638017654419,0.2329762287216628
llava_1_5_7b,HALL,2,3487,0.6498280763626099,0.6069172620773315,0.6408324837684631,0.6869276762008667,0.4632000833710246
llava_1_5_7b,HALL,3,3487,0.47779208421707153,0.4505960941314697,0.4734996557235718,0.5012500286102295,0.5109194706208134
llava_1_5_7b,HALL,4,3487,0.5400571823120117,0.5164996385574341,0.5391568541526794,0.5619988441467285,0.5629143766933542
llava_1_5_7b,HALL,5,3487,0.5278000235557556,0.50263512134552,0.5270040035247803,0.5510550737380981,0.47731744676620236
llava_1_5_7b,HALL,6,3487,0.501171350479126,0.46896982192993164,0.491794228553772,0.5241748094558716,0.6899873257651907
llava_1_5_7b,HALL,7,3487,0.5560910105705261,0.529603123664856,0.5517071485519409,0.5788436532020569,0.6829396892437011
llava_1_5_7b,HALL,8,3487,0.5067940950393677,0.4756978750228882,0.5063683986663818,0.5379725694656372,0.5750515226035667
llava_1_5_7b,HALL,9,3487,0.47526103258132935,0.44950899481773376,0.4747242033481598,0.49926990270614624,0.5385014364835206
llava_1_5_7b,HALL,10,3487,0.48029330372810364,0.44010576605796814,0.476541668176651,0.5138651132583618,0.6331595415283295
llava_1_5_7b,HALL,11,3487,0.4987340569496155,0.4489213526248932,0.49084243178367615,0.5413534045219421,0.5964098759606968
llava_1_5_7b,HALL,12,3487,0.4851337969303131,0.43602609634399414,0.4801200330257416,0.5287421345710754,0.4665271059277526
llava_1_5_7b,HALL,13,3487,0.5014529824256897,0.4322361946105957,0.49833768606185913,0.5637065172195435,0.5394387498829032
llava_1_5_7b,HALL,14,3487,0.43411242961883545,0.3999099135398865,0.4283190667629242,0.4627930521965027,0.4521917843908829
llava_1_5_7b,HALL,15,3487,0.5020994544029236,0.44899484515190125,0.4934311807155609,0.5477234125137329,0.548662483651942
llava_1_5_7b,HALL,16,3487,0.4081138074398041,0.35111141204833984,0.39691150188446045,0.4532144069671631,0.6186411394627511
llava_1_5_7b,HALL,17,3487,0.43424275517463684,0.39790669083595276,0.42230355739593506,0.45893239974975586,0.7412892532986822
llava_1_5_7b,HALL,18,3487,0.49338600039482117,0.45257148146629333,0.4842809736728668,0.524254560470581,0.557568726976944
llava_1_5_7b,HALL,19,3487,0.5314694046974182,0.48902758955955505,0.5248638987541199,0.567874550819397,0.5799869383159781
llava_1_5_7b,HALL,20,3487,0.42133545875549316,0.3795207142829895,0.41090843081474304,0.4520859122276306,0.6243006278305583
llava_1_5_7b,HALL,21,3487,0.44886693358421326,0.4062849283218384,0.4403385818004608,0.48199740052223206,0.6332340500712734
llava_1_5_7b,HALL,22,3487,0.4057099223136902,0.35946154594421387,0.3935532867908478,0.44023001194000244,0.6710569715092167
llava_1_5_7b,HALL,23,3487,0.3900497555732727,0.345228910446167,0.3789854645729065,0.4226732552051544,0.6081075256334292
llava_1_5_7b,HALL,24,3487,0.42573973536491394,0.38099971413612366,0.4147565960884094,0.45975935459136963,0.5697845959579996
llava_1_5_7b,HALL,25,3487,0.38325193524360657,0.3280009627342224,0.3663274943828583,0.4174552857875824,0.6434711263651478
llava_1_5_7b,HALL,26,3487,0.4232349395751953,0.3676874041557312,0.4061763286590576,0.4601290822029114,0.640300651968309
llava_1_5_7b,HALL,27,3487,0.3820849061012268,0.33135807514190674,0.36388111114501953,0.4099007844924927,0.6249277783173651
llava_1_5_7b,HALL,28,3487,0.4784306287765503,0.4314653277397156,0.4667561650276184,0.5116849541664124,0.46322735807146265
llava_1_5_7b,HALL,29,3487,0.4345358610153198,0.38522928953170776,0.42081117630004883,0.4691108167171478,0.6598020029160702
llava_1_5_7b,HALL,30,3487,0.3663802444934845,0.3248462677001953,0.3551170527935028,0.3927878737449646,0.6304976840211347
llava_1_5_7b,HALL,31,3487,0.5641966462135315,0.5184507369995117,0.5534340143203735,0.5969429016113281,0.5197724576387265
llava_1_5_7b,HALL,32,3487,0.7232985496520996,0.6834646463394165,0.7250826954841614,0.7638803720474243,0.3532507491802264
llava_1_5_7b,REAL,1,11976,0.6727222204208374,0.6150155663490295,0.6776832342147827,0.7323806285858154,0.2329762287216628
llava_1_5_7b,REAL,2,11976,0.6411064863204956,0.606633186340332,0.6361322999000549,0.668357789516449,0.4632000833710246
llava_1_5_7b,REAL,3,11976,0.4784356355667114,0.4528951048851013,0.4758998155593872,0.5010585784912109,0.5109194706208134
llava_1_5_7b,REAL,4,11976,0.5489857196807861,0.5218143463134766,0.5467811226844788,0.5735102295875549,0.5629143766933542
llava_1_5_7b,REAL,5,11976,0.527834415435791,0.4964981973171234,0.5218298435211182,0.5528377890586853,0.47731744676620236
llava_1_5_7b,REAL,6,11976,0.5388055443763733,0.4910261929035187,0.5345175266265869,0.5799217820167542,0.6899873257651907
llava_1_5_7b,REAL,7,11976,0.5858746767044067,0.5506080389022827,0.5820752382278442,0.6167898178100586,0.6829396892437011
llava_1_5_7b,REAL,8,11976,0.5216511487960815,0.47825169563293457,0.5212865471839905,0.5633029937744141,0.5750515226035667
