model,label,layer,n_mentions,mean,q25,median,q75,raw_log1p_strength_real_auroc
llava_1_5_7b,HALL,1,3487,0.6103929877281189,0.49111586809158325,0.589262843132019,0.6864924430847168,0.6912353049469554
llava_1_5_7b,HALL,2,3487,0.4520595669746399,0.4146828055381775,0.4434017539024353,0.48263925313949585,0.717740686420159
llava_1_5_7b,HALL,3,3487,0.434285432100296,0.38883450627326965,0.4309980571269989,0.47546523809432983,0.541053153530079
llava_1_5_7b,HALL,4,3487,0.3535707890987396,0.2965644598007202,0.33851566910743713,0.38948550820350647,0.7409558865364799
llava_1_5_7b,HALL,5,3487,0.39696139097213745,0.31812411546707153,0.37583786249160767,0.4460327923297882,0.7335684297569425
llava_1_5_7b,HALL,6,3487,0.45938459038734436,0.35469850897789,0.41225531697273254,0.49394726753234863,0.7435025509387956
llava_1_5_7b,HALL,7,3487,0.5591393113136292,0.39530110359191895,0.47826719284057617,0.6026087999343872,0.7770091253149641
llava_1_5_7b,HALL,8,3487,0.6095033884048462,0.44190189242362976,0.5438253879547119,0.6983790993690491,0.7526662755776345
llava_1_5_7b,HALL,9,3487,0.6843714714050293,0.5067216157913208,0.62137770652771,0.7789591550827026,0.764323707638966
llava_1_5_7b,HALL,10,3487,0.8324682712554932,0.6314314603805542,0.7807435989379883,0.9815338850021362,0.775516871138319
llava_1_5_7b,HALL,11,3487,1.0823025703430176,0.8522862195968628,1.056159257888794,1.2929835319519043,0.7807430773026792
llava_1_5_7b,HALL,12,3487,1.6738687753677368,1.5374213457107544,1.7015225887298584,1.856996774673462,0.6649384947123957
llava_1_5_7b,HALL,13,3487,1.2301522493362427,1.0392265319824219,1.2452707290649414,1.4403356313705444,0.7316982210286167
llava_1_5_7b,HALL,14,3487,1.4861981868743896,1.3373301029205322,1.5433242321014404,1.7048041820526123,0.5564501529586272
llava_1_5_7b,HALL,15,3487,1.7277401685714722,1.522598385810852,1.7880330085754395,1.9986662864685059,0.6855632089147227
llava_1_5_7b,HALL,16,3487,1.527010202407837,1.359466552734375,1.5708173513412476,1.748592495918274,0.686484322722493
llava_1_5_7b,HALL,17,3487,1.4136704206466675,1.2326668500900269,1.4222215414047241,1.603018045425415,0.7257674104542131
llava_1_5_7b,HALL,18,3487,1.7890859842300415,1.6497254371643066,1.8512117862701416,2.0262832641601562,0.6222997208449975
llava_1_5_7b,HALL,19,3487,1.6324260234832764,1.5182058811187744,1.6892290115356445,1.8386149406433105,0.655830145617686
llava_1_5_7b,HALL,20,3487,1.9142712354660034,1.8217065334320068,2.030458688735962,2.1649606227874756,0.5657184745171444
llava_1_5_7b,HALL,21,3487,2.2281129360198975,2.1749684810638428,2.368497133255005,2.483734607696533,0.4919301488935236
llava_1_5_7b,HALL,22,3487,1.9899258613586426,1.8958919048309326,2.146904468536377,2.3058695793151855,0.37987905837485125
llava_1_5_7b,HALL,23,3487,2.004054546356201,1.9665672779083252,2.1387906074523926,2.2564845085144043,0.38917267907385367
llava_1_5_7b,HALL,24,3487,1.4523524045944214,1.3707120418548584,1.5408464670181274,1.6688867807388306,0.3989530897182952
llava_1_5_7b,HALL,25,3487,2.0742263793945312,1.9821112155914307,2.2066807746887207,2.3507795333862305,0.39497875399015214
llava_1_5_7b,HALL,26,3487,1.571876049041748,1.4436146020889282,1.6618566513061523,1.819629430770874,0.43164036944934703
llava_1_5_7b,HALL,27,3487,1.8875950574874878,1.8001580238342285,2.001255512237549,2.127991199493408,0.43434052887344327
llava_1_5_7b,HALL,28,3487,0.4362024962902069,0.34588491916656494,0.40790727734565735,0.48739075660705566,0.6243454910011208
llava_1_5_7b,HALL,29,3487,1.2709567546844482,1.1252517700195312,1.3156923055648804,1.4802613258361816,0.4854869977982923
llava_1_5_7b,HALL,30,3487,1.5450961589813232,1.409165620803833,1.5877799987792969,1.7537565231323242,0.5036737872073369
llava_1_5_7b,HALL,31,3487,0.9317689538002014,0.8123985528945923,0.926983654499054,1.0477973222732544,0.6165870360355544
llava_1_5_7b,HALL,32,3487,2.816976547241211,2.709214210510254,2.7997231483459473,2.898135185241699,0.780036521278864
llava_1_5_7b,REAL,1,11976,0.7540953755378723,0.5791015028953552,0.7074195146560669,0.9816142916679382,0.6912353049469554
llava_1_5_7b,REAL,2,11976,0.5001378059387207,0.4498002231121063,0.49939271807670593,0.5435314774513245,0.717740686420159
llava_1_5_7b,REAL,3,11976,0.44752374291419983,0.38783419132232666,0.4408589005470276,0.49904224276542664,0.541053153530079
llava_1_5_7b,REAL,4,11976,0.46941864490509033,0.3502238988876343,0.433146595954895,0.5630989074707031,0.7409558865364799
llava_1_5_7b,REAL,5,11976,0.5389677286148071,0.3901370167732239,0.504548192024231,0.6460826396942139,0.7335684297569425
llava_1_5_7b,REAL,6,11976,0.6750960350036621,0.4349099099636078,0.6278914213180542,0.8414317965507507,0.7435025509387956
llava_1_5_7b,REAL,7,11976,0.9769468307495117,0.5408930778503418,0.9702773690223694,1.3587031364440918,0.7770091253149641
llava_1_5_7b,REAL,8,11976,0.9840742945671082,0.5921079516410828,0.9898973703384399,1.3401931524276733,0.7526662755776345
llava_1_5_7b,REAL,9,11976,1.0745443105697632,0.694082498550415,1.0750222206115723,1.3795537948608398,0.764323707638966
llava_1_5_7b,REAL,10,11976,1.2186212539672852,0.8936924934387207,1.2880436182022095,1.542725920677185,0.775516871138319
llava_1_5_7b,REAL,11,11976,1.4954866170883179,1.2255219221115112,1.5991237163543701,1.8190393447875977,0.7807430773026792
llava_1_5_7b,REAL,12,11976,1.8526067733764648,1.6674253940582275,1.8686538934707642,2.079827308654785,0.6649384947123957
llava_1_5_7b,REAL,13,11976,1.5249899625778198,1.2896482944488525,1.563124179840088,1.8228228092193604,0.7316982210286167
llava_1_5_7b,REAL,14,11976,1.547394871711731,1.3408879041671753,1.5976006984710693,1.7995713949203491,0.5564501529586272
llava_1_5_7b,REAL,15,11976,1.968045949935913,1.7478044033050537,2.06223201751709,2.2925310134887695,0.6855632089147227
llava_1_5_7b,REAL,16,11976,1.715651035308838,1.5376769304275513,1.805725336074829,1.9752027988433838,0.686484322722493
llava_1_5_7b,REAL,17,11976,1.7500135898590088,1.4080660343170166,1.8385103940963745,2.143068313598633,0.7257674104542131
llava_1_5_7b,REAL,18,11976,1.9143832921981812,1.7485947608947754,1.993685007095337,2.177414894104004,0.6222997208449975
llava_1_5_7b,REAL,19,11976,1.8005952835083008,1.5840861797332764,1.8865103721618652,2.127020835876465,0.655830145617686
llava_1_5_7b,REAL,20,11976,1.9634993076324463,1.7899959087371826,2.093928813934326,2.2631735801696777,0.5657184745171444
llava_1_5_7b,REAL,21,11976,2.2090346813201904,2.0464913845062256,2.341348171234131,2.5185232162475586,0.4919301488935236
llava_1_5_7b,REAL,22,11976,1.84014892578125,1.5708891153335571,1.9577622413635254,2.201439619064331,0.37987905837485125
llava_1_5_7b,REAL,23,11976,1.8780888319015503,1.666107177734375,1.9993072748184204,2.2008843421936035,0.38917267907385367
llava_1_5_7b,REAL,24,11976,1.339537262916565,1.1017489433288574,1.4135866165161133,1.6211131811141968,0.3989530897182952
llava_1_5_7b,REAL,25,11976,1.957377314567566,1.7171828746795654,2.040252208709717,2.2801246643066406,0.39497875399015214
llava_1_5_7b,REAL,26,11976,1.5015872716903687,1.2653133869171143,1.5648376941680908,1.773348331451416,0.43164036944934703
llava_1_5_7b,REAL,27,11976,1.8071736097335815,1.5530991554260254,1.9081494808197021,2.1120541095733643,0.43434052887344327
llava_1_5_7b,REAL,28,11976,0.5225661396980286,0.3725338578224182,0.4744405746459961,0.615975022315979,0.6243454910011208
llava_1_5_7b,REAL,29,11976,1.2737576961517334,1.0175986289978027,1.2845546007156372,1.5121370553970337,0.4854869977982923
llava_1_5_7b,REAL,30,11976,1.5535749197006226,1.3448002338409424,1.5854376554489136,1.7960658073425293,0.5036737872073369
llava_1_5_7b,REAL,31,11976,1.0389920473098755,0.8439900875091553,1.0251110792160034,1.2167731523513794,0.6165870360355544
llava_1_5_7b,REAL,32,11976,3.035499334335327,2.870551109313965,3.0020196437835693,3.146256685256958,0.780036521278864
