model,layer,k,cases,median_spearman,median_js,median_top32_overlap,p90_gross_relative_error,p90_kappa_difference
llava_1_5_7b,8,1,2,0.9999863424007235,2.7349511932644576e-06,1.0,0.0031501904692388676,0.0014249086380004883
llava_1_5_7b,8,4,2,0.9999997174289805,4.342852066663419e-10,1.0,0.00023864160428448272,0.00012581348419189454
llava_1_5_7b,8,8,2,0.9999998979604647,2.0831865293760037e-10,1.0,0.00022830757715968964,0.00012369155883789061
llava_1_5_7b,8,16,2,0.9999999372064401,8.266536084270317e-11,1.0,1.4474960803328097e-05,6.532669067382812e-06
llava_1_5_7b,8,32,2,0.9999999372064401,4.1205065109542643e-11,1.0,6.713440394612977e-05,3.6844611167907713e-05
llava_1_5_7b,16,1,2,0.9999588702182705,1.3242843684438907e-05,1.0,0.006884605183839966,0.002622818946838379
llava_1_5_7b,16,4,2,0.9999998744128802,8.574607093466499e-11,1.0,0.0002837976920509356,0.00010882318019866943
llava_1_5_7b,16,8,2,0.9999999372064401,4.125756158003761e-11,1.0,0.00017687616612516394,6.844401359558105e-05
llava_1_5_7b,16,16,2,0.99999996860322,1.608439950513296e-11,1.0,2.2991724940007408e-05,8.910894393920898e-06
llava_1_5_7b,16,32,2,0.9999999372064402,1.3884999684859799e-11,1.0,3.270211645172016e-05,1.2531876564025879e-05
llava_1_5_7b,24,1,2,0.9999975510511643,8.832016630136314e-07,1.0,0.006243986188295417,0.003009727597236633
llava_1_5_7b,24,4,2,0.9999997488257606,1.2877310650453094e-10,1.0,0.00023058213347788617,0.00010991394519805908
llava_1_5_7b,24,8,2,0.9999998116193205,5.356963271792158e-11,1.0,0.00021168146099004293,8.881986141204835e-05
llava_1_5_7b,24,16,2,0.9999998430161003,2.5791197755113854e-11,1.0,1.949202294190217e-05,9.414553642272949e-06
llava_1_5_7b,24,32,2,0.9999999372064402,1.2545210412796509e-11,1.0,1.8447937911434524e-05,8.881092071533203e-06
llava_1_5_7b,32,1,2,0.9998946952000605,1.1135199462051355e-05,1.0,0.015289286207184269,0.009096723794937134
llava_1_5_7b,32,4,2,0.9999996860322006,1.0974624147378323e-09,1.0,0.00020538236148265947,0.00015460848808288575
llava_1_5_7b,32,8,2,0.9999998430161003,4.482332652079381e-10,1.0,0.0001810467722271657,0.00013738274574279786
llava_1_5_7b,32,16,2,0.9999998116193204,2.5230199357602754e-10,1.0,3.5919245390404834e-05,2.1767616271972656e-05
llava_1_5_7b,32,32,2,0.9999998430161003,1.5135136633657671e-10,1.0,2.0152270287936773e-05,1.52587890625e-05
qwen2_5_vl_7b,7,1,2,0.9999587907906784,5.685624046393862e-06,1.0,0.008194108244295305,0.005523282289505005
qwen2_5_vl_7b,7,4,2,0.9999990634270609,3.6974973108744187e-09,1.0,0.0004454080294111482,0.00029050111770629884
qwen2_5_vl_7b,7,8,2,0.9999985951405914,1.5421394986761186e-09,1.0,0.001406990153026254,0.0009157121181488037
qwen2_5_vl_7b,7,16,2,0.9999995317135306,6.276019232218264e-10,1.0,0.0004151881196891816,0.00027774572372436525
qwen2_5_vl_7b,7,32,2,0.9999995317135306,2.908618426285458e-10,1.0,0.00013689338676363606,8.925795555114746e-05
qwen2_5_vl_7b,14,1,2,0.9998332900168352,4.7722997281700094e-05,0.96875,0.06437317431077562,0.02788488268852234
qwen2_5_vl_7b,14,4,2,0.9999990634270609,2.723409758546266e-09,1.0,0.0006323268629188778,0.000305253267288208
qwen2_5_vl_7b,14,8,2,0.9999976585676524,1.226855306310293e-09,1.0,0.0016243235636230874,0.0007519990205764771
qwen2_5_vl_7b,14,16,2,0.9999995317135306,5.939254834147504e-10,1.0,0.0008538481281289152,0.0003964662551879883
qwen2_5_vl_7b,14,32,2,0.9999990634270609,2.440511189864091e-10,1.0,0.0003858788548347779,0.00017878413200378418
qwen2_5_vl_7b,21,1,2,0.9999189864407654,0.00012949413655537765,0.984375,0.0688388208114149,0.041295474767684935
qwen2_5_vl_7b,21,4,2,1.0,3.178535832092754e-09,1.0,0.00045352152583818937,0.00023223161697387694
qwen2_5_vl_7b,21,8,2,0.9999990634270609,2.63698959858422e-09,1.0,0.0018682286002968448,0.0009552180767059326
qwen2_5_vl_7b,21,16,2,0.9999995317135306,5.423457438277398e-10,1.0,0.0007181172134205645,0.00036887526512145995
qwen2_5_vl_7b,21,32,2,0.9999995317135306,3.8271998179109543e-10,1.0,0.00033160934215377717,0.00016951560974121094
qwen2_5_vl_7b,28,1,2,0.9997461887334961,0.0003791781039255639,1.0,0.02339571771899253,0.014629888534545898
qwen2_5_vl_7b,28,4,2,0.9999943805623654,4.784875092514528e-08,1.0,0.0007254820125453707,0.00046350955963134763
qwen2_5_vl_7b,28,8,2,0.9999967219947131,3.543006814432883e-08,1.0,0.0009264605422938895,0.000501316785812378
qwen2_5_vl_7b,28,16,2,0.9999976585676522,9.986219342331325e-09,1.0,0.0005987120170231068,0.0003808438777923584
qwen2_5_vl_7b,28,32,2,0.9999990634270609,5.0928977318031426e-09,1.0,0.0006164116318390712,0.0003937959671020508
