feature_set,dimensions,formal_ae_ensemble_auroc,ae_cosine_ensemble_auroc,ae_cosine_minus_ae_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,64,0.894778604182233,0.8982928326985304,0.0035142285162974574,0.6738613137933939,0.6610010602317382,0.6187118006582041,0.6389483322814522,0.8919328430467528,0.8929624564411028,0.8939428752663018
B,32,0.8764845908140427,0.8688877918178435,-0.00759679899619925,0.6356481074370597,0.6409024160184439,0.5237423601316408,0.576357002415458,0.8664726278523445,0.8635226899821915,0.8665305038160517
F,96,0.9010008490403876,0.9011854733646133,0.00018462432422572395,0.7093949831015139,0.6717687529711331,0.6318758815232722,0.6509834097318647,0.8999891771947868,0.8966274518428575,0.89799650776435
C_JS,64,0.8911758254414632,0.8864699308324357,-0.004705894609027483,0.6653959422677596,0.6547073856338864,0.5552421250587681,0.6000184610454524,0.8804299952599586,0.8835807627241753,0.882528288324161
D_JS,64,0.8855965825400951,0.8809832894729988,-0.004613293067096347,0.6502934891062638,0.6449210649574919,0.5843911612599907,0.6128035249099703,0.8788870220675261,0.877186336873992,0.8764353962448916
E_JS,64,0.8846589919280394,0.8860676928846711,0.0014087009566317032,0.6614397890490079,0.6476928560229492,0.5914433474377058,0.6179479548580233,0.88100875489703,0.8811462103108344,0.88188818016556
G_JS,192,0.9025687088972141,0.9048200838854219,0.0022513749882078216,0.7109051489299564,0.6588043018111803,0.6737188528443818,0.6658017045558615,0.9013434747455338,0.8981519047269035,0.8999694993671264
H_JS,224,0.9053380737606007,0.907196470955237,0.0018583971946363187,0.71135859279591,0.6612784471218206,0.6741889985895627,0.6675627633903581,0.9011559566231226,0.9024000004630078,0.9061853778692733
C_OT,64,0.890029302600425,0.8837549693749337,-0.006274333225491313,0.6680430469097695,0.657338982414435,0.5401974612129761,0.592991139055082,0.8802245355887983,0.8768521031835832,0.8785247185347194
D_OT,64,0.8969501103405247,0.8930047058946092,-0.003945404445915512,0.665213369958882,0.6405933326606646,0.6361071932299013,0.6383136381719589,0.8805078384311447,0.8905513437930633,0.888323408570157
E_OT,64,0.8882119973400207,0.8847157103724724,-0.0034962869675482233,0.6675145128296768,0.6348085471798427,0.6304654442877292,0.632420297359626,0.8770893946347824,0.8809369887020331,0.8821165008423846
G_OT,192,0.9045903163095044,0.9066142387603433,0.002023922450838933,0.7158737196533816,0.655143610078282,0.6976962858486132,0.6752249648387867,0.9022017752873108,0.9014395488452877,0.9027287359368643
H_OT,224,0.9068185409122294,0.9096770347597252,0.0028584938474958133,0.715712679319313,0.6530007812530897,0.690644099670898,0.671050579236785,0.9050732912266406,0.9054685840587603,0.9059069944838418
