feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
strength,32,0.8860167620366088,0.9618737111393726,0.6827923885683278,0.677897243134733,0.5731076633756463,0.6190978864614244,0.8863562045637513,0.8834123436697876,0.8830046075054707
kappa,32,0.8693183889878247,0.9567612729464393,0.6274450270294899,0.6345679969176014,0.5105782792665726,0.5633444475967372,0.8657659623354803,0.8668575030109971,0.863095565370033
strength+kappa,64,0.8912429615593636,0.964447959866293,0.6924562736966133,0.6510955162445268,0.6229431123648331,0.6367022016854694,0.8879961199953931,0.8875475812766629,0.8901172740652596
R_cos,32,0.8734967441876617,0.9584009653323001,0.6266313517383825,0.6332064228702494,0.5331452750352609,0.5787380445560313,0.8675207615550808,0.8688357034505072,0.8692842421692374
strength+kappa+R_cos,96,0.8998057103898351,0.967327333582889,0.6983489065382366,0.6536591277699183,0.6252938410907382,0.6390282881551921,0.8961473707239067,0.8948874109940024,0.8967730098915809
