model,signal,label,support,layer_from,layer_to,n_images,mean,std,se
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,22,23,1321,0.04767481898811394,0.017438016822291548,0.0004797839145006508
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,23,24,1321,0.050358133236852946,0.021385203290512127,0.0005883855172107692
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,24,25,1321,0.07537822731905233,0.026600194270133836,0.0007318690802665186
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,25,26,1321,0.045455613681859,0.018306813044294577,0.0005036876907467625
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,26,27,1321,0.05927827672427979,0.02485109371930677,0.0006837448974719309
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,27,28,1321,0.06563908323352306,0.028527998133836278,0.0007849100477998375
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,28,29,1321,0.06198106559499658,0.022700580197913444,0.0006245763689634762
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,29,30,1321,0.04555580932943096,0.018902966288338718,0.0005200900569094174
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,30,31,1321,0.03732450953758774,0.012892519893175336,0.0003547205926661284
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,31,32,1321,0.04543497848672049,0.016774555780813823,0.0004615296635245911
internvl_2_5_8b,attention_distribution,HALL,union_top32,1,2,1321,0.05809012382805212,0.022969988261332192,0.0006319887746620332
internvl_2_5_8b,attention_distribution,HALL,union_top32,2,3,1321,0.04321643431938164,0.019108840966501384,0.000525754425741725
internvl_2_5_8b,attention_distribution,HALL,union_top32,3,4,1321,0.03642823283731892,0.017246666691949346,0.0004745191693457756
internvl_2_5_8b,attention_distribution,HALL,union_top32,4,5,1321,0.0475440552242433,0.023609651408598997,0.0006495882581288202
internvl_2_5_8b,attention_distribution,HALL,union_top32,5,6,1321,0.04996123496530455,0.01805524553512153,0.0004967661442462493
internvl_2_5_8b,attention_distribution,HALL,union_top32,6,7,1321,0.046614331638131695,0.030355943349851915,0.0008352035370291632
internvl_2_5_8b,attention_distribution,HALL,union_top32,7,8,1321,0.0577343933617049,0.026076417623142598,0.0007174580602188581
internvl_2_5_8b,attention_distribution,HALL,union_top32,8,9,1321,0.04611717572014139,0.0234011396888307,0.0006438513345927784
internvl_2_5_8b,attention_distribution,HALL,union_top32,9,10,1321,0.07930167570123611,0.036138808401144404,0.0009943114023106875
internvl_2_5_8b,attention_distribution,HALL,union_top32,10,11,1321,0.04223517758699866,0.01659635548696963,0.0004566267186876278
internvl_2_5_8b,attention_distribution,HALL,union_top32,11,12,1321,0.04990957778463257,0.02276783836449144,0.0006264268882496875
internvl_2_5_8b,attention_distribution,HALL,union_top32,12,13,1321,0.042033121392362094,0.020003832421086318,0.0005503789290841276
internvl_2_5_8b,attention_distribution,HALL,union_top32,13,14,1321,0.059184953326431304,0.02529949092569686,0.0006960819521453717
internvl_2_5_8b,attention_distribution,HALL,union_top32,14,15,1321,0.04876870689610475,0.023989814581203646,0.0006600479438235881
internvl_2_5_8b,attention_distribution,HALL,union_top32,15,16,1321,0.03278273773534022,0.015924347063126596,0.0004381372978174365
internvl_2_5_8b,attention_distribution,HALL,union_top32,16,17,1321,0.02546086030209227,0.013485476717218937,0.00037103501357010633
internvl_2_5_8b,attention_distribution,HALL,union_top32,17,18,1321,0.0423704016330475,0.018359370765384134,0.0005051337467644024
internvl_2_5_8b,attention_distribution,HALL,union_top32,18,19,1321,0.04669401921856412,0.021687781695887053,0.0005967105608928333
internvl_2_5_8b,attention_distribution,HALL,union_top32,19,20,1321,0.028872434925471264,0.014144827416266569,0.00038917617392346827
internvl_2_5_8b,attention_distribution,HALL,union_top32,20,21,1321,0.03288839583092684,0.014639605813650933,0.0004027893455774817
internvl_2_5_8b,attention_distribution,HALL,union_top32,21,22,1321,0.03963228201889838,0.01876376007135206,0.0005162599824009843
internvl_2_5_8b,attention_distribution,HALL,union_top32,22,23,1321,0.04778015783323112,0.020738274699203987,0.0005705861346833114
internvl_2_5_8b,attention_distribution,HALL,union_top32,23,24,1321,0.05366249676909436,0.02593744285434366,0.000713634353700469
internvl_2_5_8b,attention_distribution,HALL,union_top32,24,25,1321,0.07213767404462874,0.02999581215355683,0.0008252950046052593
internvl_2_5_8b,attention_distribution,HALL,union_top32,25,26,1321,0.045779596674372355,0.02154952065951237,0.0005929064917758703
internvl_2_5_8b,attention_distribution,HALL,union_top32,26,27,1321,0.06164203622546907,0.029012513749675707,0.0007982408526254741
internvl_2_5_8b,attention_distribution,HALL,union_top32,27,28,1321,0.06809910524701368,0.033715572411400926,0.0009276392766460442
internvl_2_5_8b,attention_distribution,HALL,union_top32,28,29,1321,0.061070167131716334,0.02650231164263002,0.0007291759695381611
internvl_2_5_8b,attention_distribution,HALL,union_top32,29,30,1321,0.04598643729585892,0.022125361586287917,0.000608749991457834
internvl_2_5_8b,attention_distribution,HALL,union_top32,30,31,1321,0.03641114995464468,0.015808802848370582,0.00043495825193059704
internvl_2_5_8b,attention_distribution,HALL,union_top32,31,32,1321,0.044856244299129315,0.019623453834679127,0.0005399133165641665
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,1,2,3869,0.057522158325970185,0.01485255942679632,0.00023878219155325746
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,2,3,3869,0.05060435103916419,0.018914221503035872,0.0003040808746989697
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,3,4,3869,0.038866874312466354,0.01406903601697557,0.00022618561263684943
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,4,5,3869,0.04518572343130634,0.014574096125575852,0.00023430538217502893
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,5,6,3869,0.03931508035153251,0.009852053756894758,0.00015838987205986656
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,6,7,3869,0.041412804756697744,0.017774435852270207,0.0002857567254550514
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,7,8,3869,0.03671472707080168,0.012982152507302136,0.00020871196254428095
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,8,9,3869,0.03682049044809174,0.014526998309064168,0.0002335481982095675
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,9,10,3869,0.051269202360979156,0.020757763735538715,0.0003337192044876939
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,10,11,3869,0.03759155749194334,0.009858755497200515,0.00015849761485297345
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,11,12,3869,0.03927491820672742,0.01223712859473339,0.0001967343338076612
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,12,13,3869,0.037541697152742706,0.011715543196804186,0.0001883488898703009
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,13,14,3869,0.05671121749586916,0.018533668874142324,0.00029796279173983925
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,14,15,3869,0.03898573412279976,0.014330101231255577,0.00023038271579010354
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,15,16,3869,0.03272218974468458,0.010203642106958904,0.0001640423010009315
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,16,17,3869,0.028486025358390656,0.009928506733140484,0.00015961899417236841
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,17,18,3869,0.04238624166736741,0.013221027303168317,0.0002125523139358974
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,18,19,3869,0.04719296798666539,0.014372058710518746,0.00023105725938643714
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,19,20,3869,0.029432606880939894,0.0074357642609718085,0.00011954357731132241
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,20,21,3869,0.03544930158711105,0.00908073442893669,0.0001459894961903091
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,21,22,3869,0.03627239474432163,0.010686645260161241,0.00017180746444075655
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,22,23,3869,0.04411001017128938,0.013276627809782192,0.00021344619427256044
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,23,24,3869,0.05044029510665938,0.016693920805640534,0.0002683854601110449
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,24,25,3869,0.07657046044140893,0.020535687638938094,0.00033014892306251276
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,25,26,3869,0.05453128097099862,0.016541251602016832,0.0002659310220592309
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,26,27,3869,0.0724702898613217,0.022866799330099375,0.0003676258280440655
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,27,28,3869,0.07166961766442423,0.022183973114031603,0.0003566481415970738
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,28,29,3869,0.06825995129145804,0.019780118402088234,0.0003180017588559362
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,29,30,3869,0.04873707613593141,0.016218833212552103,0.00026074755384872424
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,30,31,3869,0.03724548809469116,0.009678968583647097,0.0001556072097721206
internvl_2_5_8b,attention_distribution,REAL,all_visual_tokens,31,32,3869,0.0436688605113435,0.012133684033629117,0.00019507127235845543
internvl_2_5_8b,attention_distribution,REAL,union_top32,1,2,3869,0.05934110654214227,0.022105085016643662,0.000355379870436497
internvl_2_5_8b,attention_distribution,REAL,union_top32,2,3,3869,0.05496363644048853,0.023444248664554242,0.00037690938743810084
internvl_2_5_8b,attention_distribution,REAL,union_top32,3,4,3869,0.04047153412821058,0.017346120153062965,0.00027887076335286634
internvl_2_5_8b,attention_distribution,REAL,union_top32,4,5,3869,0.04924579648963932,0.01988950879664208,0.000319760410506191
internvl_2_5_8b,attention_distribution,REAL,union_top32,5,6,3869,0.04490596265068702,0.012733122113869007,0.0002047083412559493
internvl_2_5_8b,attention_distribution,REAL,union_top32,6,7,3869,0.04692319259008994,0.026117055990532545,0.00041987967778046804
internvl_2_5_8b,attention_distribution,REAL,union_top32,7,8,3869,0.041344924127496734,0.01667218031898725,0.00026803594182942545
internvl_2_5_8b,attention_distribution,REAL,union_top32,8,9,3869,0.0391804029752011,0.01761545579402701,0.00028320082881597874
internvl_2_5_8b,attention_distribution,REAL,union_top32,9,10,3869,0.057479348294600614,0.02540961904399411,0.0004085063286070301
internvl_2_5_8b,attention_distribution,REAL,union_top32,10,11,3869,0.040635564157719545,0.012481733522332556,0.00020066680759877622
internvl_2_5_8b,attention_distribution,REAL,union_top32,11,12,3869,0.04231676317291162,0.015958678139251656,0.0002565650828845412
internvl_2_5_8b,attention_distribution,REAL,union_top32,12,13,3869,0.037121227469163354,0.013188635379145523,0.0002120315542213909
internvl_2_5_8b,attention_distribution,REAL,union_top32,13,14,3869,0.06118909893983493,0.02343475573428465,0.0003767567711361626
internvl_2_5_8b,attention_distribution,REAL,union_top32,14,15,3869,0.04155643825494109,0.017173806460103164,0.0002761005040287162
internvl_2_5_8b,attention_distribution,REAL,union_top32,15,16,3869,0.029729225811673463,0.011683397822165379,0.00018783209389029582
internvl_2_5_8b,attention_distribution,REAL,union_top32,16,17,3869,0.0271654978587561,0.01167616675710592,0.00018771584122888267
internvl_2_5_8b,attention_distribution,REAL,union_top32,17,18,3869,0.039487926423757626,0.0148149629821871,0.00023817775960449826
internvl_2_5_8b,attention_distribution,REAL,union_top32,18,19,3869,0.04601612392139931,0.016745151625896255,0.00026920908970808673
internvl_2_5_8b,attention_distribution,REAL,union_top32,19,20,3869,0.026729476201242334,0.008776906589081184,0.00014110490523390457
internvl_2_5_8b,attention_distribution,REAL,union_top32,20,21,3869,0.03231616635872092,0.010306090170835287,0.00016568934192565294
internvl_2_5_8b,attention_distribution,REAL,union_top32,21,22,3869,0.03547957711380084,0.012972327703250701,0.00020855401076132085
internvl_2_5_8b,attention_distribution,REAL,union_top32,22,23,3869,0.04425613814278855,0.01593065200401147,0.0002561145112489653
internvl_2_5_8b,attention_distribution,REAL,union_top32,23,24,3869,0.05413728271861137,0.02097662459221385,0.00033723779502151303
internvl_2_5_8b,attention_distribution,REAL,union_top32,24,25,3869,0.0744163548955624,0.023951885018939523,0.0003850705748623729
internvl_2_5_8b,attention_distribution,REAL,union_top32,25,26,3869,0.05645696213095803,0.02018088335605551,0.0003244447920905582
internvl_2_5_8b,attention_distribution,REAL,union_top32,26,27,3869,0.07500237115324468,0.02720631990647617,0.0004373915972789787
internvl_2_5_8b,attention_distribution,REAL,union_top32,27,28,3869,0.07547956440789381,0.027938163665808452,0.00044915733082741066
internvl_2_5_8b,attention_distribution,REAL,union_top32,28,29,3869,0.06637806855825744,0.024298884200429218,0.0003906492244837849
internvl_2_5_8b,attention_distribution,REAL,union_top32,29,30,3869,0.05010578947218314,0.01917858825584681,0.0003083310561522837
internvl_2_5_8b,attention_distribution,REAL,union_top32,30,31,3869,0.036856803759493455,0.012201354255112649,0.00019615919554559177
internvl_2_5_8b,attention_distribution,REAL,union_top32,31,32,3869,0.04501436236821178,0.015485053452539397,0.00024895069553101604
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,1,2,1321,0.05767161737532439,0.018138885895803883,0.0004990673978846291
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,2,3,1321,0.04134931703528882,0.014972900678933754,0.0004119595119317165
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,3,4,1321,0.03723385040052545,0.013017218504833917,0.00035815150964734556
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,4,5,1321,0.04637284480588035,0.017895957930093326,0.0004923835569686541
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,5,6,1321,0.04255999924500813,0.014680896708707763,0.0004039254098137701
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,6,7,1321,0.04675673285497805,0.022502369588203945,0.0006191228668140565
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,7,8,1321,0.05454853027325792,0.02267487670329534,0.00062386917138534
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,8,9,1321,0.049092621138540744,0.021913500550193643,0.0006029209159234226
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,9,10,1321,0.07446575179177194,0.03207109662445785,0.0008823937055239603
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,10,11,1321,0.04435848516611598,0.014516831617705136,0.00039941137634331715
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,11,12,1321,0.048657984102679235,0.01930458685243188,0.0005311401142839608
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,12,13,1321,0.04689986784403113,0.018766671640671174,0.000516340090370801
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,13,14,1321,0.0633596006208392,0.02356342235401215,0.0006483163269798039
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,14,15,1321,0.04842655516083632,0.021291449648284583,0.0005858060100383066
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,15,16,1321,0.04105418382309811,0.015574494712213609,0.0004285115741970925
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,16,17,1321,0.028258789454803243,0.01243082385180234,0.0003420176381789976
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,17,18,1321,0.046450845314856735,0.017055398518642052,0.0004692566791300618
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,18,19,1321,0.04683283268192742,0.019593193843281724,0.0005390807530179012
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,19,20,1321,0.032404235268771696,0.01343572600338519,0.00036966618863573403
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,20,21,1321,0.03621034660460505,0.013879210177756812,0.00038186806774661474
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,21,22,1321,0.04106199823427074,0.017472020215893256,0.00048071947279577064
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,22,23,1321,0.046496728536680645,0.018496046911402372,0.0005088942097243686
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,23,24,1321,0.049662452523880705,0.022216251517038828,0.0006112507074055684
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,24,25,1321,0.07129195223955112,0.027193646613646285,0.0007481971347317493
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,25,26,1321,0.04454540507409674,0.019252025092980105,0.0005296939471561384
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,26,27,1321,0.05907675829475617,0.026243088842718768,0.0007220437978619501
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,27,28,1321,0.06389578849212588,0.02956867278334954,0.0008135428311119167
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,28,29,1321,0.060484214891016165,0.023649531756694795,0.0006506855130355015
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,29,30,1321,0.044637954236204924,0.02018254962155633,0.0005552960959216139
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,30,31,1321,0.03645129241528699,0.014412329618947688,0.00039653614239051487
internvl_2_5_8b,attention_evidence,HALL,all_visual_tokens,31,32,1321,0.045449330129524596,0.017829532871715792,0.0004905559595500895
internvl_2_5_8b,attention_evidence,HALL,union_top32,1,2,1321,0.05870935044347969,0.026407933691485065,0.0007265792853335105
internvl_2_5_8b,attention_evidence,HALL,union_top32,2,3,1321,0.043903836575784436,0.019320864183196777,0.0005315879634603661
internvl_2_5_8b,attention_evidence,HALL,union_top32,3,4,1321,0.03705915764261835,0.017073149957388165,0.0004697450864332788
internvl_2_5_8b,attention_evidence,HALL,union_top32,4,5,1321,0.052492226278698415,0.02571362249950823,0.0007074762333659024
internvl_2_5_8b,attention_evidence,HALL,union_top32,5,6,1321,0.04746082755063719,0.019180244793497045,0.0005277190073782396
internvl_2_5_8b,attention_evidence,HALL,union_top32,6,7,1321,0.052126373366694574,0.03185641193753332,0.0008764869409803957
internvl_2_5_8b,attention_evidence,HALL,union_top32,7,8,1321,0.05940574743163848,0.026219832714361527,0.000721403936321898
internvl_2_5_8b,attention_evidence,HALL,union_top32,8,9,1321,0.05046742833180693,0.02529359552471925,0.0006959197480032715
internvl_2_5_8b,attention_evidence,HALL,union_top32,9,10,1321,0.07843479588571414,0.03673051935327492,0.0010105915447006855
internvl_2_5_8b,attention_evidence,HALL,union_top32,10,11,1321,0.0454738666525535,0.018213632439250442,0.0005011239499327002
internvl_2_5_8b,attention_evidence,HALL,union_top32,11,12,1321,0.0509621914092629,0.02355101573901055,0.0006479749754160435
internvl_2_5_8b,attention_evidence,HALL,union_top32,12,13,1321,0.04352682275467754,0.02045279522551075,0.0005627315454376446
internvl_2_5_8b,attention_evidence,HALL,union_top32,13,14,1321,0.06161312240455793,0.026298016230483903,0.0007235550521165946
internvl_2_5_8b,attention_evidence,HALL,union_top32,14,15,1321,0.049027431240188275,0.024506791888385008,0.0006742718890505708
internvl_2_5_8b,attention_evidence,HALL,union_top32,15,16,1321,0.03394564932365927,0.016643737635381142,0.00045793037568452125
internvl_2_5_8b,attention_evidence,HALL,union_top32,16,17,1321,0.025580296456464126,0.013509604650647374,0.0003716988616709012
internvl_2_5_8b,attention_evidence,HALL,union_top32,17,18,1321,0.042448042930695346,0.01898401545089083,0.0005223200171665116
internvl_2_5_8b,attention_evidence,HALL,union_top32,18,19,1321,0.044520450462668254,0.022375466046485368,0.0006156312841054136
internvl_2_5_8b,attention_evidence,HALL,union_top32,19,20,1321,0.029055825438150214,0.014878676537201926,0.00040936705958915593
internvl_2_5_8b,attention_evidence,HALL,union_top32,20,21,1321,0.032007503314091794,0.014717461509115346,0.00040493144182138116
internvl_2_5_8b,attention_evidence,HALL,union_top32,21,22,1321,0.03934603888487879,0.019884569232721656,0.000547097560568857
internvl_2_5_8b,attention_evidence,HALL,union_top32,22,23,1321,0.045238076408170194,0.021084537586183245,0.000580113098962233
internvl_2_5_8b,attention_evidence,HALL,union_top32,23,24,1321,0.05027733110018317,0.025356610181463925,0.0006976535127422313
internvl_2_5_8b,attention_evidence,HALL,union_top32,24,25,1321,0.06611569721553472,0.02984531165286408,0.000821154182853994
internvl_2_5_8b,attention_evidence,HALL,union_top32,25,26,1321,0.04359734403554641,0.021485808845333826,0.0005911535456743707
internvl_2_5_8b,attention_evidence,HALL,union_top32,26,27,1321,0.059330211278335966,0.029416159408483192,0.0008093466277963229
internvl_2_5_8b,attention_evidence,HALL,union_top32,27,28,1321,0.06339115345601012,0.033028804938452686,0.0009087437801064597
internvl_2_5_8b,attention_evidence,HALL,union_top32,28,29,1321,0.056216506632912076,0.025962792441006157,0.0007143318139703983
internvl_2_5_8b,attention_evidence,HALL,union_top32,29,30,1321,0.043774517045767354,0.022672331596223106,0.0006237991461384107
