model,signal,label,support,layer_left,layer_right,n_images,mean,std,se
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,11,1321,0.26176465553690503,0.049005418748989255,0.0013483191281864993
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,12,1321,0.3009244788446542,0.0495448675373946,0.0013631613464279047
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,13,1321,0.35426907201863705,0.05336610862399389,0.0014682977289341812
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,14,1321,0.27453963651429697,0.046907864918300714,0.0012906077153567385
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,15,1321,0.31715993886640087,0.051370261635638674,0.0014133846450338776
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,16,1321,0.3773780946114314,0.053857396053112634,0.0014818148512245
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,17,1321,0.35901843346401563,0.050502877656857015,0.0013895197247877275
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,18,1321,0.34202143142703445,0.06324753002306226,0.0017401719384839175
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,19,1321,0.34616561205796814,0.05209856778745967,0.0014334230232529476
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,20,1321,0.37976799658263477,0.057975243041427114,0.0015951119518926604
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,21,1321,0.35153941388251114,0.05268550925761356,0.0014495719396694759
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,22,1321,0.3515553933643735,0.05842419831326714,0.0016074643609971036
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,23,1321,0.33588047065038196,0.06781017695359765,0.0018657071198709587
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,24,1321,0.311204842800087,0.07176546832989954,0.0019745317183818925
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,25,1321,0.3891882574034856,0.07006323757022281,0.0019276970957534125
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,26,1321,0.3668703719533636,0.0733545106547271,0.002018252111284507
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,27,1321,0.3486499889703703,0.0698700575296965,0.0019223820030458156
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,28,1321,0.2999610054750139,0.06895245841744692,0.001897135479974761
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,29,1321,0.37629367775487504,0.06494517949529748,0.001786880513062064
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,30,1321,0.3668566229756721,0.057849349654691545,0.001591648162259167
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,31,1321,0.33982428888043703,0.05939686296867392,0.001634225939485257
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,2,32,1321,0.2700663789554043,0.05368621423584086,0.0014771050104657162
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,1,1321,0.06694877583936792,0.023808481691577055,0.0006550588097666956
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,2,1321,0.04125275847521088,0.015047317900113499,0.0004140070031142137
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,3,1321,0.0,0.0,0.0
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,4,1321,0.03722153971201538,0.013433310428131656,0.00036959972728507
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,5,1321,0.06937465714368289,0.020924793596234524,0.0005757179548585999
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,6,1321,0.1359171197043956,0.03564856235928226,0.00098082293241012
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,3,7,1321,0.13460503781974362,0.03558597078900455,0.000979100808334394
