model,group,classifier,AUROC_old82_same400,HALL_AUPR_old82_same400,AUROC_delta_pp,HALL_AUPR_delta_pp
llava_1_5_7b,visual,three_hidden,0.9049472925694424,0.6982219621473232,-0.4603137339293739,-0.44627500754015337
llava_1_5_7b,visual,one_hidden,0.8902534456280384,0.6675610079868378,-0.11795182804954507,-0.03559626207314537
llava_1_5_7b,visual,xgb,0.9021162856667742,0.6980011696416958,0.0,0.0
llava_1_5_7b,visual_prompt_sum,three_hidden,0.893893893893894,0.6862326009537809,-0.37195175631659083,-0.5228622196168264
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8701478351315485,0.6495074081764204,0.014591138369635104,0.14422363076455058
llava_1_5_7b,visual_prompt_sum,xgb,0.8903512633154328,0.6711092683623461,0.36779450460230345,0.7199930682478151
llava_1_5_7b,generation,three_hidden,0.8794894242776978,0.6581385655914699,-0.6387494986843323,-2.460835904472425
llava_1_5_7b,generation,one_hidden,0.8626598911615199,0.6323537298835932,0.11232731102437388,0.42347812666084783
llava_1_5_7b,generation,xgb,0.8828608739032192,0.6505815412246366,0.38980348426601585,0.8112274865683888
llava_1_5_7b,vp_generation,three_hidden,0.8950754500428767,0.6972855338357431,0.5389347001724998,2.3354650435939983
llava_1_5_7b,vp_generation,one_hidden,0.8910791899391247,0.7011202157333268,0.0,0.0
llava_1_5_7b,vp_generation,xgb,0.902363275327445,0.7045656299693648,0.0,0.0
llava_1_5_7b,ae_only_visual,three_hidden,0.8721449462491808,0.6333995705727511,0.441728373324457,0.18068375574764595
llava_1_5_7b,ae_only_visual,one_hidden,0.8492344135666611,0.5915963011163391,-0.4657752214755395,-0.24404483731746973
llava_1_5_7b,ae_only_visual,xgb,0.8701030020248263,0.6479810757231427,-0.2912521642163379,0.12240187940911751
llava_1_5_7b,ae_only_visual_prompt_sum,three_hidden,0.8617713805010222,0.5994909476651088,-0.41735546621540776,-1.5488890078155904
llava_1_5_7b,ae_only_visual_prompt_sum,one_hidden,0.8498661527977488,0.598090039144677,-0.5275633940128976,-1.4133970565399334
llava_1_5_7b,ae_only_visual_prompt_sum,xgb,0.8626810849937886,0.6188581540269571,-0.5333509405170744,-0.6170794243248068
llava_1_5_7b,ae_only_generation,three_hidden,0.8235209965665992,0.5514120430893195,-0.6955245147427513,-2.11699067249832
llava_1_5_7b,ae_only_generation,one_hidden,0.7896862660706309,0.4915968245317475,0.25204357451913406,0.6157697654645355
llava_1_5_7b,ae_only_generation,xgb,0.8032446126908668,0.511871567902967,0.9493206561610457,1.1920102360741702
llava_1_5_7b,ae_only_vp_generation,three_hidden,0.8734883091560617,0.6386745766132084,-0.6536666960120008,-0.6612829117806696
llava_1_5_7b,ae_only_vp_generation,one_hidden,0.853732396892006,0.621581482070507,0.3005448445187908,1.020842498392882
llava_1_5_7b,ae_only_vp_generation,xgb,0.8719615380853166,0.645914957470936,0.0,0.0
llava_1_5_7b,legacy_visual,three_hidden,0.9029526268939949,0.6965261129112671,-0.20468351087242764,-0.13618709710889743
