layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
0,0.6284575779606977,0.4825858584583492,2.093678974725557,-0.3666572206310996,0.6218431578035771,-2.06781701762281,3.1069981807286857,0.03329438142260092,0.5278798139726766,-0.8077344276352977,4.574528893830525,1.8389845280934396
1,0.6121253648184842,0.14913536773585442,0.4658892916338138,-1.8829124535398045,0.5789097969947582,-2.5337449189196635,1.360393248358708,-1.8812983402909609,0.511301827900053,-1.0661387778441043,2.282612958155791,-1.2614883151728704
2,0.5951119729511722,-0.19822256946532676,0.4150004852027149,-1.9303144120662137,0.6405085540427936,-1.8652535859981905,1.2963584593644548,-1.9514919706149652,0.5266045307507239,-0.8276125196337625,2.0461773995254067,-1.5813351373470854
3,0.5888756651364656,-0.3255476222921005,0.709137873897701,-1.6563310102573339,0.5945058990629896,-2.3644905449744047,1.3209754887698972,-1.9245072848074452,0.5142541967679026,-1.0201196199360614,2.3615241730477696,-1.154738292192772
4,0.5743592818208311,-0.6219247940792523,0.9286299754294141,-1.4518782784415913,0.9342886344566355,1.3229509647605202,2.020724398559046,-1.1574567945220364,0.5502279217104956,-0.45939004894602253,2.177263781822999,-1.4040032543973475
5,0.5597421366697392,-0.920359193701162,1.3887515378877275,-1.023283765220176,0.9148983159187165,1.112520421899448,2.212340283905854,-0.9474113671614852,0.531683540826366,-0.7484449842919628,2.432877861625737,-1.0582119884748569
6,0.5300120039974354,-1.527351475916811,1.2978601818180289,-1.1079473404340767,0.895138200816719,0.8980767169247659,2.506298114046849,-0.6251807861937669,0.5291460921189234,-0.787996699534243,2.9074956680760695,-0.41615544664245996
7,0.5420176574095028,-1.2822352147684146,1.760353243180318,-0.6771438209384845,0.9001614013954773,0.9525902527710728,2.507179655359742,-0.6242144585771007,0.5670013997434461,-0.19793852685771182,2.9707128381251264,-0.33063611501499063
8,0.5625554390182304,-0.8629207412093524,2.354180971016266,-0.12400454924376654,0.8635238430818107,0.5549866100061368,2.943736598025754,-0.14566963739207675,0.5521228786699245,-0.429852979748969,2.9849640190900013,-0.31135731037896447
9,0.5879066067673773,-0.3453326315800367,2.9087170094358297,0.3925352585851648,0.8459846362407581,0.364644981027852,3.4169969740644386,0.3731087392437864,0.5814385634302325,0.027096401088262022,3.1910015558462614,-0.03263252058068435
10,0.5523006025901759,-1.0722910334923643,1.994885215370162,-0.4586817347051934,0.8872106132320873,0.812043753838034,2.6931694505550903,-0.42033623655077035,0.5508412733066056,-0.4498296162162555,2.95788030163595,-0.3479957966139594
11,0.5578780858535466,-0.9584170278708941,2.3458232715672565,-0.13178958784934955,0.866873946337932,0.5913431064426263,2.958769191838881,-0.1291912144987923,0.5634954723252854,-0.25258611145576537,2.8702734647517385,-0.466509139278944
12,0.5725064989192706,-0.6597525742060456,2.516119200268556,0.026837841552929356,0.8437906046477316,0.34083458006553374,3.097307004942242,0.022671112083498014,0.5577504571668574,-0.34213479984589734,3.0465101503182415,-0.22809853744099207
13,0.5647135938246419,-0.8188582633940819,2.573206850990877,0.08001390602937752,0.8091584313754192,-0.035005920331606856,3.138512060620056,0.06783925413809384,0.5535664144687424,-0.4073523015325305,2.9620639670808226,-0.3423361906505666
14,0.5748774511202285,-0.6113454680775112,3.032189353679706,0.5075474066678918,0.7739198717182674,-0.4174271386213285,3.3968029891241422,0.3509725046136561,0.5760435939859132,-0.05699605547121332,2.9152754727652352,-0.4056310322042083
15,0.5698428590893319,-0.714135406506059,2.3096836550669235,-0.16545295554551598,0.8386556384787657,0.28510812480407693,2.8672579514613385,-0.2295039707121187,0.5502222584905843,-0.45947832267570676,3.14996957202084,-0.0881400326913363
16,0.589612366206832,-0.31050659072519515,2.855013763341378,0.3425117028637425,0.7921087107160472,-0.22003547345447957,3.1510421116009044,0.08157444059384264,0.5607419685265296,-0.2955055201703112,2.8499714984497855,-0.493973364386128
17,0.5891019022882881,-0.32092859799710927,2.482485214957358,-0.004491578188087767,0.8302328514237871,0.19370108324793683,2.8944416264422723,-0.19970578034670972,0.5554379974421895,-0.3781795672814088,3.254480881783138,0.0532414519820112
18,0.5733884237221334,-0.6417465479722324,2.5541933629456466,0.06230320234088192,0.8121174272440465,-0.002893858544625612,3.0585789751989463,-0.019781764636715937,0.5658189764621007,-0.2163691925820845,3.5852243820769325,0.5006667806277842
19,0.6348871883402233,0.6138575187984798,3.2993965433765156,0.7564458386072601,0.777056841655723,-0.38338363976973655,3.595292398531947,0.5685525489306882,0.5538278028379616,-0.4032779892846898,3.7803391213918807,0.7646153579515363
