model,group,range,layer_start,layer_end_exclusive,selected_layers,input_dim,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,visual,segment_1,0,4,4,8,128,43,17,0.7636573713454847,0.276842533502995,0.7612674427569193,0.2635983838055434
qwen2_5_vl_7b,visual,segment_1,0,4,4,8,128,44,11,0.7618009035675338,0.2786239859372224,0.7644745971783209,0.26969371883144666
qwen2_5_vl_7b,visual,segment_1,0,4,4,8,128,45,28,0.7592823388897545,0.27437781438615083,0.7647983964227894,0.2695850579240954
qwen2_5_vl_7b,visual,segment_2,4,19,15,30,128,43,10,0.7926468297242562,0.3474250732223315,0.7889908256880732,0.27211158205128194
qwen2_5_vl_7b,visual,segment_2,4,19,15,30,128,44,14,0.7919328036558135,0.31958367511401053,0.7855061290571275,0.2803185277297452
qwen2_5_vl_7b,visual,segment_2,4,19,15,30,128,45,12,0.796982915303526,0.3387698633379466,0.7885436743504741,0.28146577387169514
qwen2_5_vl_7b,visual,segment_3,19,24,5,10,128,43,63,0.8068884042166484,0.362844565361881,0.7959447999383238,0.33509546575269894
qwen2_5_vl_7b,visual,segment_3,19,24,5,10,128,44,38,0.804084229111492,0.3567532667278246,0.7941716135995682,0.34132253628403386
qwen2_5_vl_7b,visual,segment_3,19,24,5,10,128,45,36,0.8046943968427065,0.3657356273661039,0.7980726235448307,0.3379289681701893
qwen2_5_vl_7b,visual,segment_4,24,28,4,8,128,43,30,0.6960845406865036,0.2480168855241782,0.6956903862462416,0.2220158719918725
qwen2_5_vl_7b,visual,segment_4,24,28,4,8,128,44,42,0.7043023316196707,0.2471975514774458,0.7047105080564335,0.2217214737734526
qwen2_5_vl_7b,visual,segment_4,24,28,4,8,128,45,31,0.7099496287064444,0.2547479547210115,0.7021586616297896,0.22027493724910266
qwen2_5_vl_7b,visual,all,0,28,28,56,128,43,20,0.8820558757854287,0.5018226446203018,0.8868707115873873,0.41012242942398547
qwen2_5_vl_7b,visual,all,0,28,28,56,128,44,26,0.886560731162694,0.49527891310540667,0.8901549610669954,0.4542139084899711
qwen2_5_vl_7b,visual,all,0,28,28,56,128,45,23,0.8828867424832529,0.5042937223975655,0.8873024439133452,0.4230027312755759
qwen2_5_vl_7b,vp_generation,segment_1,0,4,4,16,128,43,70,0.7808589084488757,0.38246984287280683,0.8168067226890756,0.3674062588835644
qwen2_5_vl_7b,vp_generation,segment_1,0,4,4,16,128,44,120,0.7837539595991068,0.3957602170055715,0.8132603500115643,0.3648636861715015
qwen2_5_vl_7b,vp_generation,segment_1,0,4,4,16,128,45,79,0.777301760398816,0.38952577694787277,0.8132218024824607,0.36329378522849987
qwen2_5_vl_7b,vp_generation,segment_2,4,19,15,60,128,43,10,0.7910370254972219,0.3097676658076715,0.8228509752524864,0.35153560551510354
qwen2_5_vl_7b,vp_generation,segment_2,4,19,15,60,128,44,11,0.7892973983486524,0.29923099218827814,0.8202760003083802,0.3351100578997435
qwen2_5_vl_7b,vp_generation,segment_2,4,19,15,60,128,45,22,0.7938671651866853,0.3091227124273372,0.826366509906715,0.3663968808787978
qwen2_5_vl_7b,vp_generation,segment_3,19,24,5,20,128,43,57,0.8323077322532066,0.4195228476336896,0.828463495489939,0.3894259044983082
qwen2_5_vl_7b,vp_generation,segment_3,19,24,5,20,128,44,57,0.826582541413512,0.3985770363761501,0.8178089584457635,0.3693507221953807
qwen2_5_vl_7b,vp_generation,segment_3,19,24,5,20,128,45,65,0.832216856208132,0.41867304452089465,0.8262739958368669,0.37634074001760437
qwen2_5_vl_7b,vp_generation,segment_4,24,28,4,16,128,43,33,0.7759386197226983,0.3046908576333434,0.7845655693470048,0.33229365237318437
qwen2_5_vl_7b,vp_generation,segment_4,24,28,4,16,128,44,36,0.7792231396375343,0.30832797191169625,0.78234523167065,0.3324731666766721
qwen2_5_vl_7b,vp_generation,segment_4,24,28,4,16,128,45,28,0.7762372124422289,0.30917174924980806,0.7831932773109244,0.3307835234517706
qwen2_5_vl_7b,vp_generation,all,0,28,28,112,128,43,25,0.8599729968323208,0.4768744491161712,0.8640351553465422,0.4660684751609126
qwen2_5_vl_7b,vp_generation,all,0,28,28,112,128,44,26,0.8522355507088332,0.46516107739990936,0.8698943797702567,0.4738096188953356
qwen2_5_vl_7b,vp_generation,all,0,28,28,112,128,45,29,0.8594017759775666,0.4734117798208126,0.8728394109937553,0.48072441475043837
