model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
internvl_2_5_8b,AE_logS_PV,43,64,12,0.8465537730243613,0.537768476041129,0.8630104106419896,0.5162456808715508
internvl_2_5_8b,AE_logS_PV,44,64,16,0.8480540701128937,0.5362908515344051,0.8668681318681318,0.5225458361953087
internvl_2_5_8b,AE_logS_PV,45,64,20,0.8464844523668053,0.5283574219368075,0.8686263736263735,0.5222037085762784
internvl_2_5_8b,AE_logS_PV_kP,43,96,12,0.8707714398890869,0.5656899150635845,0.8829005205320994,0.5582124748127272
internvl_2_5_8b,AE_logS_PV_kP,44,96,18,0.8764507823331353,0.5827931347732024,0.8877472527472527,0.5676068232998168
internvl_2_5_8b,AE_logS_PV_kP,45,96,20,0.8767726282432164,0.57908911518892,0.8877414690572586,0.5717657655371355
internvl_2_5_8b,AE_logS_PV_kVP,43,96,12,0.8641711229946525,0.5725560941819525,0.8764632735685367,0.5639815894064797
internvl_2_5_8b,AE_logS_PV_kVP,44,96,13,0.865428797781739,0.5739339532158059,0.8762319259687681,0.5412550741567222
internvl_2_5_8b,AE_logS_PV_kVP,45,96,12,0.8660972469795999,0.5739432154124924,0.8729814921920185,0.546499457275514
internvl_2_5_8b,kVP,43,32,19,0.8391414141414142,0.513736039398285,0.8305639097744362,0.4709163352989261
internvl_2_5_8b,kVP,44,32,28,0.836952861952862,0.5088903582806188,0.8261914401388086,0.4747860533368994
internvl_2_5_8b,kVP,45,32,20,0.8379035452564865,0.5157330201670387,0.8237912087912089,0.4541763840171743
