model,feature,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,AE_logS_PV,0.8718705830956236,0.002246809198847537,0.407311625995369,0.009085792914483302
qwen2_5_vl_7b,AE_logS_PV_kP,0.8899853519389408,0.001954143026233974,0.4593947758330481,0.0038677911580059896
qwen2_5_vl_7b,AE_logS_PV_kVP,0.8800863464651916,0.00419512365480205,0.4619187410452177,0.0007998394178405504
qwen2_5_vl_7b,kVP,0.7835838922725054,0.0007963670320251584,0.29427707992316665,0.005086596834058913
qwen2_5_vl_7b,kP,0.8344023848071339,0.0008537347071398203,0.36125978992608326,0.004004378819759794
llava_1_5_7b,AE_logS_PV,0.9009180189961947,0.0004917264757583383,0.6915574190554796,0.0043862119300834765
llava_1_5_7b,AE_logS_PV_kP,0.9053141088971709,0.0012120389309154247,0.68749588853552,0.004071956907322129
llava_1_5_7b,AE_logS_PV_kVP,0.9029889009530704,0.00018471948623439237,0.685600000972089,0.006048043608306691
llava_1_5_7b,kVP,0.8781839657246824,0.0028403350413333537,0.6318957392172687,0.004743104598449211
llava_1_5_7b,kP,0.8735111332831202,0.0003193110374914841,0.5989697355867848,0.0003985458937825511
qwen3_vl_8b,AE_logS_PV,0.9057267217630853,0.0030952864021761405,0.6934341964131061,0.00685151887268849
qwen3_vl_8b,AE_logS_PV_kP,0.9250093663911846,0.0013768011875601078,0.7227599220834272,0.0012814703063266683
qwen3_vl_8b,AE_logS_PV_kVP,0.9174258953168044,0.0009892580011383412,0.6852433588373974,0.00936215644338031
qwen3_vl_8b,kVP,0.8649168044077137,0.0043124414285862864,0.5851484096580396,0.01332410244557669
qwen3_vl_8b,kP,0.8756853994490359,0.00042363593011645576,0.5782076075114838,0.0015884485702058616
internvl_2_5_8b,AE_logS_PV,0.8661683053788316,0.0023455032007136984,0.5203317418810459,0.0028926554993538947
internvl_2_5_8b,AE_logS_PV_kP,0.886129747445537,0.0022834094692833385,0.5658616878832264,0.005669041399376195
internvl_2_5_8b,AE_logS_PV_kVP,0.8752255639097744,0.0015896066250918298,0.5505787069462386,0.00971609771655421
internvl_2_5_8b,kVP,0.8268488529014846,0.0028037490742989974,0.466626257551,0.00894401821254641
internvl_2_5_8b,kP,0.8536755349913244,0.001980579579157639,0.48701013273061716,0.0035999883843231967
