model,scope,signal,layer,real_mean,hall_mean,hall_minus_real,real_median,hall_median,real_count,hall_count
qwen2_5_vl_7b,all,kP,1,0.7585009932518005,0.7415462136268616,-0.016954779624938965,0.7876444458961487,0.7525951862335205,7801,916
qwen2_5_vl_7b,all,kP,2,0.6043506860733032,0.5816131830215454,-0.022737503051757812,0.6758072972297668,0.6515583992004395,7801,916
qwen2_5_vl_7b,all,kP,3,0.5151318907737732,0.540611743927002,0.02547985315322876,0.5161144733428955,0.5432474613189697,7801,916
qwen2_5_vl_7b,all,kP,4,0.45336276292800903,0.47132521867752075,0.01796245574951172,0.4470561444759369,0.4679888188838959,7801,916
qwen2_5_vl_7b,all,kP,5,0.6060420274734497,0.6495182514190674,0.043476223945617676,0.5910770297050476,0.6441823244094849,7801,916
qwen2_5_vl_7b,all,kP,6,0.6479043960571289,0.7423298954963684,0.0944254994392395,0.6621177196502686,0.750203013420105,7801,916
qwen2_5_vl_7b,all,kP,7,0.665849506855011,0.692599356174469,0.026749849319458008,0.6598742604255676,0.6892581582069397,7801,916
qwen2_5_vl_7b,all,kP,8,0.7350093126296997,0.8077011704444885,0.07269185781478882,0.7525046467781067,0.8150156736373901,7801,916
qwen2_5_vl_7b,all,kP,9,0.6700329184532166,0.7659419178962708,0.0959089994430542,0.6807472109794617,0.7791973352432251,7801,916
qwen2_5_vl_7b,all,kP,10,0.7058612108230591,0.7685055136680603,0.06264430284500122,0.722158670425415,0.7818019986152649,7801,916
qwen2_5_vl_7b,all,kP,11,0.7085865139961243,0.7721696496009827,0.0635831356048584,0.7088759541511536,0.7776021361351013,7801,916
qwen2_5_vl_7b,all,kP,12,0.8280643820762634,0.907709002494812,0.07964462041854858,0.8596778512001038,0.9266335964202881,7801,916
qwen2_5_vl_7b,all,kP,13,0.7174302339553833,0.784213125705719,0.0667828917503357,0.7188622355461121,0.7884248495101929,7801,916
qwen2_5_vl_7b,all,kP,14,0.6687148213386536,0.7558906078338623,0.08717578649520874,0.6788591742515564,0.7592037916183472,7801,916
qwen2_5_vl_7b,all,kP,15,0.6836064457893372,0.7616142630577087,0.07800781726837158,0.679042398929596,0.7651800513267517,7801,916
qwen2_5_vl_7b,all,kP,16,0.6743675470352173,0.7336012721061707,0.05923372507095337,0.6724644899368286,0.7323294878005981,7801,916
qwen2_5_vl_7b,all,kP,17,0.7211906909942627,0.8482376933097839,0.12704700231552124,0.7105017900466919,0.8704589605331421,7801,916
qwen2_5_vl_7b,all,kP,18,0.7164859175682068,0.7928605675697327,0.07637465000152588,0.7053295373916626,0.8024848699569702,7801,916
qwen2_5_vl_7b,all,kP,19,0.6194925308227539,0.6360799670219421,0.016587436199188232,0.6165780425071716,0.6254353523254395,7801,916
qwen2_5_vl_7b,all,kP,20,0.5856638550758362,0.6260454654693604,0.04038161039352417,0.5795215964317322,0.6248279809951782,7801,916
qwen2_5_vl_7b,all,kP,21,0.7145084142684937,0.8525978922843933,0.13808947801589966,0.7085511088371277,0.8805867433547974,7801,916
qwen2_5_vl_7b,all,kP,22,0.7353711128234863,0.877098798751831,0.14172768592834473,0.7550121545791626,0.9049091339111328,7801,916
qwen2_5_vl_7b,all,kP,23,0.7328199744224548,0.8405973315238953,0.10777735710144043,0.7408042550086975,0.8520541191101074,7801,916
qwen2_5_vl_7b,all,kP,24,0.927672266960144,0.9664871692657471,0.03881490230560303,0.9480263590812683,0.9740344882011414,7801,916
qwen2_5_vl_7b,all,kP,25,0.8597040176391602,0.8999799489974976,0.0402759313583374,0.8766593337059021,0.9090605974197388,7801,916
qwen2_5_vl_7b,all,kP,26,0.9484620094299316,0.9734269380569458,0.02496492862701416,0.9631848931312561,0.9824262857437134,7801,916
qwen2_5_vl_7b,all,kP,27,0.7680213451385498,0.7891449332237244,0.02112358808517456,0.7684236168861389,0.7872394919395447,7801,916
qwen2_5_vl_7b,all,kP,28,0.774544894695282,0.8232331275939941,0.04868823289871216,0.774483323097229,0.8326597213745117,7801,916
qwen2_5_vl_7b,all,kVP,1,0.7440313100814819,0.7335374355316162,-0.010493874549865723,0.7752569913864136,0.7471128702163696,7801,916
qwen2_5_vl_7b,all,kVP,2,0.5874937176704407,0.5578724145889282,-0.02962130308151245,0.6609429717063904,0.6201505064964294,7801,916
qwen2_5_vl_7b,all,kVP,3,0.40159156918525696,0.419143408536911,0.017551839351654053,0.3991193473339081,0.42256057262420654,7801,916
qwen2_5_vl_7b,all,kVP,4,0.3812837600708008,0.38319292664527893,0.0019091665744781494,0.3801993429660797,0.3803849220275879,7801,916
qwen2_5_vl_7b,all,kVP,5,0.4523375332355499,0.4945380389690399,0.04220050573348999,0.4368284046649933,0.4937429130077362,7801,916
qwen2_5_vl_7b,all,kVP,6,0.4041575491428375,0.45621490478515625,0.052057355642318726,0.3909549415111542,0.4393913745880127,7801,916
qwen2_5_vl_7b,all,kVP,7,0.5169273018836975,0.558298647403717,0.04137134552001953,0.499767929315567,0.5465669631958008,7801,916
qwen2_5_vl_7b,all,kVP,8,0.45340001583099365,0.49075841903686523,0.03735840320587158,0.43267062306404114,0.47490379214286804,7801,916
qwen2_5_vl_7b,all,kVP,9,0.4017375409603119,0.41791725158691406,0.016179710626602173,0.39274001121520996,0.40909889340400696,7801,916
qwen2_5_vl_7b,all,kVP,10,0.4388132393360138,0.449473112821579,0.010659873485565186,0.4183639585971832,0.4370299279689789,7801,916
qwen2_5_vl_7b,all,kVP,11,0.44640636444091797,0.4867103397846222,0.040303975343704224,0.4383975565433502,0.47666776180267334,7801,916
qwen2_5_vl_7b,all,kVP,12,0.4319487512111664,0.4566631019115448,0.024714350700378418,0.42977195978164673,0.4431050419807434,7801,916
qwen2_5_vl_7b,all,kVP,13,0.369571328163147,0.39283058047294617,0.023259252309799194,0.3633360266685486,0.3837348222732544,7801,916
qwen2_5_vl_7b,all,kVP,14,0.3595200181007385,0.39585673809051514,0.03633671998977661,0.34794148802757263,0.3849531412124634,7801,916
qwen2_5_vl_7b,all,kVP,15,0.40522274374961853,0.42984509468078613,0.024622350931167603,0.4001491069793701,0.42607665061950684,7801,916
qwen2_5_vl_7b,all,kVP,16,0.3357485234737396,0.34955111145973206,0.013802587985992432,0.3287433087825775,0.33915024995803833,7801,916
qwen2_5_vl_7b,all,kVP,17,0.408643901348114,0.4345332980155945,0.02588939666748047,0.4017797112464905,0.42900460958480835,7801,916
qwen2_5_vl_7b,all,kVP,18,0.3460392951965332,0.3837936818599701,0.03775438666343689,0.3329829275608063,0.3697621822357178,7801,916
qwen2_5_vl_7b,all,kVP,19,0.3614736497402191,0.3779420852661133,0.016468435525894165,0.3541579842567444,0.37308984994888306,7801,916
qwen2_5_vl_7b,all,kVP,20,0.43088969588279724,0.434324711561203,0.0034350156784057617,0.428788959980011,0.42793816328048706,7801,916
qwen2_5_vl_7b,all,kVP,21,0.4102236032485962,0.41021567583084106,-7.927417755126953e-06,0.4101545512676239,0.40378469228744507,7801,916
qwen2_5_vl_7b,all,kVP,22,0.4805668294429779,0.5120015144348145,0.03143468499183655,0.48011088371276855,0.5068246126174927,7801,916
qwen2_5_vl_7b,all,kVP,23,0.411486953496933,0.4309353828430176,0.019448429346084595,0.4074786603450775,0.42127200961112976,7801,916
qwen2_5_vl_7b,all,kVP,24,0.42741796374320984,0.43860989809036255,0.01119193434715271,0.42161309719085693,0.42288923263549805,7801,916
qwen2_5_vl_7b,all,kVP,25,0.38257721066474915,0.41836854815483093,0.03579133749008179,0.36923351883888245,0.4050428867340088,7801,916
qwen2_5_vl_7b,all,kVP,26,0.48305460810661316,0.5221699476242065,0.039115339517593384,0.47154921293258667,0.5139485597610474,7801,916
qwen2_5_vl_7b,all,kVP,27,0.3616686761379242,0.3804953396320343,0.018826663494110107,0.35459885001182556,0.3665500581264496,7801,916
qwen2_5_vl_7b,all,kVP,28,0.5687884092330933,0.6000893712043762,0.03130096197128296,0.5617308616638184,0.5910016298294067,7801,916
qwen2_5_vl_7b,test,kP,1,0.7551973462104797,0.7439873218536377,-0.011210024356842041,0.7851064205169678,0.7688734531402588,763,85
qwen2_5_vl_7b,test,kP,2,0.5969913601875305,0.594590961933136,-0.0024003982543945312,0.6716168522834778,0.6894884705543518,763,85
qwen2_5_vl_7b,test,kP,3,0.5122566819190979,0.5422738194465637,0.03001713752746582,0.5124416351318359,0.5356184840202332,763,85
qwen2_5_vl_7b,test,kP,4,0.4487496018409729,0.4734439551830292,0.024694353342056274,0.4418305456638336,0.4740918278694153,763,85
qwen2_5_vl_7b,test,kP,5,0.6050127148628235,0.6553270220756531,0.05031430721282959,0.5890398025512695,0.6357226967811584,763,85
qwen2_5_vl_7b,test,kP,6,0.6489917635917664,0.7429884076118469,0.09399664402008057,0.6594001650810242,0.7461909651756287,763,85
qwen2_5_vl_7b,test,kP,7,0.6678052544593811,0.698659360408783,0.030854105949401855,0.656562328338623,0.6934486031532288,763,85
qwen2_5_vl_7b,test,kP,8,0.7331547737121582,0.8098520636558533,0.07669728994369507,0.7497168183326721,0.8164402842521667,763,85
qwen2_5_vl_7b,test,kP,9,0.6691474318504333,0.7664172053337097,0.09726977348327637,0.6805905699729919,0.7857214212417603,763,85
qwen2_5_vl_7b,test,kP,10,0.7005685567855835,0.7678447961807251,0.0672762393951416,0.7123444676399231,0.7765953540802002,763,85
qwen2_5_vl_7b,test,kP,11,0.7057170271873474,0.7633967399597168,0.057679712772369385,0.7029085159301758,0.7670693397521973,763,85
qwen2_5_vl_7b,test,kP,12,0.8238929510116577,0.9052477478981018,0.08135479688644409,0.8526409864425659,0.9303497672080994,763,85
qwen2_5_vl_7b,test,kP,13,0.7136104106903076,0.7890756130218506,0.07546520233154297,0.7119421362876892,0.7979968190193176,763,85
qwen2_5_vl_7b,test,kP,14,0.6643169522285461,0.7527784705162048,0.08846151828765869,0.6747637391090393,0.767477810382843,763,85
qwen2_5_vl_7b,test,kP,15,0.681546688079834,0.7636547088623047,0.0821080207824707,0.6746583580970764,0.775873601436615,763,85
qwen2_5_vl_7b,test,kP,16,0.6755778193473816,0.7345937490463257,0.05901592969894409,0.669579803943634,0.7492052316665649,763,85
qwen2_5_vl_7b,test,kP,17,0.720958411693573,0.8558599352836609,0.1349015235900879,0.7088911533355713,0.887766420841217,763,85
qwen2_5_vl_7b,test,kP,18,0.7122623324394226,0.7942346930503845,0.08197236061096191,0.70249342918396,0.8063704967498779,763,85
qwen2_5_vl_7b,test,kP,19,0.6182379126548767,0.6392214298248291,0.020983517169952393,0.6142258644104004,0.6271275877952576,763,85
qwen2_5_vl_7b,test,kP,20,0.5830650925636292,0.6211807131767273,0.038115620613098145,0.5768970847129822,0.6259995102882385,763,85
qwen2_5_vl_7b,test,kP,21,0.7118247747421265,0.8490902781486511,0.13726550340652466,0.708854079246521,0.8914328813552856,763,85
qwen2_5_vl_7b,test,kP,22,0.7344130873680115,0.8711152076721191,0.13670212030410767,0.7455683350563049,0.9052950739860535,763,85
qwen2_5_vl_7b,test,kP,23,0.7312904596328735,0.8369339108467102,0.10564345121383667,0.736752450466156,0.8588411211967468,763,85
qwen2_5_vl_7b,test,kP,24,0.9263095259666443,0.968372642993927,0.042063117027282715,0.947563886642456,0.9800101518630981,763,85
qwen2_5_vl_7b,test,kP,25,0.8571183085441589,0.9044476747512817,0.0473293662071228,0.8741856813430786,0.9171440005302429,763,85
qwen2_5_vl_7b,test,kP,26,0.9469340443611145,0.9764847755432129,0.02955073118209839,0.9610034227371216,0.9841501116752625,763,85
qwen2_5_vl_7b,test,kP,27,0.764274537563324,0.7987458109855652,0.03447127342224121,0.7636280655860901,0.8007330894470215,763,85
qwen2_5_vl_7b,test,kP,28,0.7738233804702759,0.8327221274375916,0.058898746967315674,0.7759881019592285,0.8512012362480164,763,85
qwen2_5_vl_7b,test,kVP,1,0.7415481805801392,0.7345666885375977,-0.006981492042541504,0.7740918397903442,0.7561922669410706,763,85
qwen2_5_vl_7b,test,kVP,2,0.5827988386154175,0.5750030875205994,-0.007795751094818115,0.6581072211265564,0.6537918448448181,763,85
qwen2_5_vl_7b,test,kVP,3,0.39841875433921814,0.4202735424041748,0.021854788064956665,0.39716362953186035,0.418540358543396,763,85
qwen2_5_vl_7b,test,kVP,4,0.37593692541122437,0.38981103897094727,0.0138741135597229,0.37527498602867126,0.39371001720428467,763,85
qwen2_5_vl_7b,test,kVP,5,0.45392677187919617,0.5032712817192078,0.0493445098400116,0.43634748458862305,0.4957984387874603,763,85
qwen2_5_vl_7b,test,kVP,6,0.40654265880584717,0.45810484886169434,0.05156219005584717,0.3896625339984894,0.44210758805274963,763,85
qwen2_5_vl_7b,test,kVP,7,0.522638201713562,0.5588580965995789,0.036219894886016846,0.49787262082099915,0.5533493161201477,763,85
qwen2_5_vl_7b,test,kVP,8,0.4531041979789734,0.4914247393608093,0.03832054138183594,0.42881134152412415,0.4694531559944153,763,85
qwen2_5_vl_7b,test,kVP,9,0.40070343017578125,0.41356900334358215,0.012865573167800903,0.39382100105285645,0.4020882546901703,763,85
qwen2_5_vl_7b,test,kVP,10,0.43547675013542175,0.4515969753265381,0.016120225191116333,0.4194657504558563,0.447731614112854,763,85
qwen2_5_vl_7b,test,kVP,11,0.446818470954895,0.479591965675354,0.032773494720458984,0.4346804618835449,0.4646657705307007,763,85
qwen2_5_vl_7b,test,kVP,12,0.4282912015914917,0.4590071737766266,0.030715972185134888,0.428155779838562,0.43966561555862427,763,85
qwen2_5_vl_7b,test,kVP,13,0.36743974685668945,0.3885434865951538,0.021103739738464355,0.3605990707874298,0.38083234429359436,763,85
qwen2_5_vl_7b,test,kVP,14,0.3607690632343292,0.3809552490711212,0.020186185836791992,0.348184198141098,0.37669500708580017,763,85
qwen2_5_vl_7b,test,kVP,15,0.40510085225105286,0.42203184962272644,0.016930997371673584,0.3988107740879059,0.41615623235702515,763,85
qwen2_5_vl_7b,test,kVP,16,0.3372054100036621,0.3433510363101959,0.0061456263065338135,0.3312658965587616,0.3375031352043152,763,85
qwen2_5_vl_7b,test,kVP,17,0.40982526540756226,0.4228942394256592,0.013068974018096924,0.40161386132240295,0.4132906198501587,763,85
qwen2_5_vl_7b,test,kVP,18,0.3493692874908447,0.37321096658706665,0.023841679096221924,0.3356848657131195,0.3658590614795685,763,85
qwen2_5_vl_7b,test,kVP,19,0.3610025644302368,0.3791526257991791,0.01815006136894226,0.3542492389678955,0.3788750469684601,763,85
