model,scope,signal,layer,paired_images,hall_minus_real,ci95_low,ci95_high
qwen2_5_vl_7b,all,kP,1,703,-0.012163256295025349,-0.020342693477869035,-0.0045460060820914855
qwen2_5_vl_7b,all,kP,2,703,-0.010030261240899563,-0.025379798654466868,0.005484513670671727
qwen2_5_vl_7b,all,kP,3,703,0.02867996320128441,0.023646850092336535,0.03359225606545806
qwen2_5_vl_7b,all,kP,4,703,0.01887528970837593,0.013313620816916227,0.02476990548893809
qwen2_5_vl_7b,all,kP,5,703,0.039792921394109726,0.03170799380168319,0.04798769038170576
qwen2_5_vl_7b,all,kP,6,703,0.09640990942716599,0.08689522780478001,0.10607986208051443
qwen2_5_vl_7b,all,kP,7,703,0.02756417728960514,0.022374849207699297,0.03263160530477762
qwen2_5_vl_7b,all,kP,8,703,0.07340209931135178,0.06564309038221836,0.0810318801552057
qwen2_5_vl_7b,all,kP,9,703,0.09831827878952026,0.0898648327216506,0.10649715792387723
qwen2_5_vl_7b,all,kP,10,703,0.06077918782830238,0.05088425176218152,0.07044314369559287
qwen2_5_vl_7b,all,kP,11,703,0.06311343610286713,0.05655397409573197,0.06997515801340341
qwen2_5_vl_7b,all,kP,12,703,0.08177753537893295,0.07338094096630812,0.08956431224942207
qwen2_5_vl_7b,all,kP,13,703,0.06612716615200043,0.05896556321531534,0.07309239115566014
qwen2_5_vl_7b,all,kP,14,703,0.08660507947206497,0.07795289102941752,0.09449875112622975
qwen2_5_vl_7b,all,kP,15,703,0.07867898046970367,0.07128770146518945,0.08578557595610618
qwen2_5_vl_7b,all,kP,16,703,0.0569455511868,0.05105483382940292,0.06262801978737116
qwen2_5_vl_7b,all,kP,17,703,0.12546269595623016,0.1165166838094592,0.13372337259352207
qwen2_5_vl_7b,all,kP,18,703,0.07561372965574265,0.06862754542380571,0.08205412998795508
qwen2_5_vl_7b,all,kP,19,703,0.01596350222826004,0.012003699503839015,0.019821733981370923
qwen2_5_vl_7b,all,kP,20,703,0.04267100989818573,0.038595897145569324,0.04654498342424631
qwen2_5_vl_7b,all,kP,21,703,0.14460745453834534,0.13486083447933198,0.15356662236154078
qwen2_5_vl_7b,all,kP,22,703,0.14548350870609283,0.13475214801728724,0.15540510974824429
qwen2_5_vl_7b,all,kP,23,703,0.11367081850767136,0.10538270007818937,0.12155310735106468
qwen2_5_vl_7b,all,kP,24,703,0.03814144432544708,0.03450733842328191,0.041690738592296835
qwen2_5_vl_7b,all,kP,25,703,0.04265088960528374,0.037719300109893085,0.047133487090468405
qwen2_5_vl_7b,all,kP,26,703,0.025507714599370956,0.022467273706570267,0.028330258978530764
qwen2_5_vl_7b,all,kP,27,703,0.019475337117910385,0.01554730162024498,0.023443253012374043
qwen2_5_vl_7b,all,kP,28,703,0.051885947585105896,0.04315516976639629,0.06022565159946679
qwen2_5_vl_7b,all,kVP,1,703,-0.005386849865317345,-0.013567337300628424,0.002152297855354845
qwen2_5_vl_7b,all,kVP,2,703,-0.017076000571250916,-0.0318218014203012,-0.002145143866073345
qwen2_5_vl_7b,all,kVP,3,703,0.02297929674386978,0.01773109007626772,0.028118375595659016
qwen2_5_vl_7b,all,kVP,4,703,0.0023492095060646534,-0.0037390458572190257,0.008427125355228781
qwen2_5_vl_7b,all,kVP,5,703,0.03731083124876022,0.027582033677026628,0.04648726796731353
qwen2_5_vl_7b,all,kVP,6,703,0.05304505676031113,0.04522930076345801,0.06107639260590076
qwen2_5_vl_7b,all,kVP,7,703,0.04290191829204559,0.03638438722118735,0.0496341187506914
qwen2_5_vl_7b,all,kVP,8,703,0.03914649784564972,0.03071625349111855,0.047268457245081635
qwen2_5_vl_7b,all,kVP,9,703,0.016327936202287674,0.010618872591294348,0.02251593843102455
qwen2_5_vl_7b,all,kVP,10,703,0.008380322717130184,-0.0006290258927037939,0.016972703021019695
qwen2_5_vl_7b,all,kVP,11,703,0.04184212163090706,0.03560942644253373,0.04829523460939526
qwen2_5_vl_7b,all,kVP,12,703,0.0264083594083786,0.019833031576126814,0.03324601761996746
qwen2_5_vl_7b,all,kVP,13,703,0.027714887633919716,0.02271528812125325,0.03341465117409825
qwen2_5_vl_7b,all,kVP,14,703,0.038990266621112823,0.03338632266968489,0.04459844632074237
qwen2_5_vl_7b,all,kVP,15,703,0.029665309935808182,0.023509990563616155,0.03574223183095455
qwen2_5_vl_7b,all,kVP,16,703,0.014166715554893017,0.008873778581619262,0.01964049539528787
qwen2_5_vl_7b,all,kVP,17,703,0.029307913035154343,0.023021090403199197,0.03559425277635455
qwen2_5_vl_7b,all,kVP,18,703,0.037633541971445084,0.03136637136340141,0.04433216284960508
qwen2_5_vl_7b,all,kVP,19,703,0.017679113894701004,0.013420308334752917,0.022106145601719612
