signal,label,layer,mean,median,q25,q75
AE,0,1,0.44885224,0.44863802,0.41090088337659836,0.48477043956518173
AE,0,2,0.44551283,0.44343054,0.3978780433535576,0.4905681908130646
AE,0,3,0.44272846,0.44095242,0.3930933102965355,0.4897146224975586
AE,0,4,0.4398852,0.4384911,0.4006104990839958,0.47849762439727783
AE,0,5,0.45081222,0.44747174,0.41780440509319305,0.4811631441116333
AE,0,6,0.46754515,0.4621614,0.42999791353940964,0.5036390721797943
AE,0,7,0.48569876,0.48167506,0.4495505541563034,0.5175145715475082
AE,0,8,0.5074981,0.502038,0.4641541838645935,0.5478847026824951
AE,0,9,0.50146914,0.49717885,0.4651205241680145,0.5348722487688065
AE,0,10,0.5480938,0.5461626,0.4973335936665535,0.5964482724666595
AE,0,11,0.5283089,0.526878,0.4830637648701668,0.5718238055706024
AE,0,12,0.540927,0.5383251,0.4933715760707855,0.58762027323246
AE,0,13,0.56107414,0.5583283,0.5043774843215942,0.619099497795105
AE,0,14,0.55186874,0.54774225,0.5044774264097214,0.5979098081588745
AE,0,15,0.5820595,0.5806189,0.529694527387619,0.6340091526508331
AE,0,16,0.6114934,0.61352,0.5583821535110474,0.6676332503557205
AE,0,17,0.59819955,0.5986656,0.5458380877971649,0.6542657017707825
AE,0,18,0.6194449,0.61790746,0.5574576258659363,0.684696301817894
AE,0,19,0.6111051,0.6132587,0.5557627826929092,0.6698131859302521
AE,0,20,0.63324356,0.63452446,0.5739226639270782,0.7002725154161453
AE,0,21,0.63021606,0.63323736,0.5730467438697815,0.690126582980156
AE,0,22,0.647479,0.65170264,0.5836075842380524,0.7126753926277161
AE,0,23,0.6547383,0.6492714,0.5866643339395523,0.7248899638652802
AE,0,24,0.6400483,0.63806003,0.5773503333330154,0.6976459920406342
AE,0,25,0.67878807,0.6822463,0.6108548045158386,0.7539406418800354
AE,0,26,0.6787749,0.680056,0.604219913482666,0.7574909627437592
AE,0,27,0.6624785,0.6612545,0.5890739262104034,0.7341384291648865
AE,0,28,0.63156897,0.6249652,0.5602043122053146,0.7023180425167084
AE,0,29,0.6977301,0.7049443,0.623602569103241,0.7807149887084961
AE,0,30,0.6971937,0.7050955,0.6354222297668457,0.7696985602378845
AE,0,31,0.6796435,0.6844128,0.6168173104524612,0.7469740957021713
AE,0,32,0.5960897,0.5928847,0.5429892688989639,0.6508986055850983
AE,1,1,0.44898993,0.44751364,0.4135194420814514,0.4826739430427551
AE,1,2,0.44095412,0.4382295,0.3957573175430298,0.48376497626304626
AE,1,3,0.44328,0.44060436,0.39588648080825806,0.48728013038635254
AE,1,4,0.443198,0.44035947,0.4021134078502655,0.48206353187561035
AE,1,5,0.46111423,0.45760024,0.42070668935775757,0.4981420636177063
AE,1,6,0.49800602,0.4930107,0.4520913362503052,0.539543628692627
AE,1,7,0.5121533,0.50791293,0.4685306251049042,0.5527595281600952
AE,1,8,0.5315435,0.5296762,0.48372548818588257,0.5769779086112976
AE,1,9,0.53200513,0.5305631,0.494600772857666,0.5700008273124695
AE,1,10,0.5707359,0.5714687,0.5220829248428345,0.6226120591163635
AE,1,11,0.54577714,0.54614127,0.5015069246292114,0.5936185121536255
AE,1,12,0.56094617,0.56322455,0.5144319534301758,0.6106317639350891
AE,1,13,0.56995505,0.5701321,0.5172474384307861,0.6243789196014404
AE,1,14,0.5865148,0.58766276,0.5399432182312012,0.6362035274505615
AE,1,15,0.60011595,0.60136485,0.5499048233032227,0.6523457765579224
AE,1,16,0.6208928,0.6195387,0.568360447883606,0.6737070083618164
AE,1,17,0.6183274,0.6208794,0.5669994950294495,0.6740460395812988
AE,1,18,0.6510216,0.6565794,0.5930553674697876,0.7174733877182007
AE,1,19,0.63973725,0.64280564,0.5879569053649902,0.6966304779052734
AE,1,20,0.66037005,0.66316414,0.6045029163360596,0.7223619222640991
AE,1,21,0.6683924,0.6729546,0.6133275032043457,0.7269024848937988
AE,1,22,0.68618053,0.6881212,0.630752682685852,0.7456853985786438
AE,1,23,0.6974637,0.7028113,0.6367137432098389,0.7627907991409302
AE,1,24,0.683152,0.68358433,0.630978524684906,0.7376185655593872
AE,1,25,0.7205962,0.7254474,0.6590591669082642,0.78843092918396
AE,1,26,0.73925483,0.74527264,0.6743564605712891,0.8133652806282043
AE,1,27,0.7008422,0.7041831,0.648256778717041,0.7576122879981995
AE,1,28,0.6728908,0.67221117,0.6092749834060669,0.7396206855773926
AE,1,29,0.74937683,0.76115364,0.6847937107086182,0.8248960375785828
AE,1,30,0.73579603,0.74302566,0.6826539039611816,0.7953688502311707
AE,1,31,0.7274343,0.73194623,0.6780169010162354,0.7834742665290833
AE,1,32,0.6496821,0.65120345,0.596402645111084,0.7034456729888916
I,0,1,0.27009955,0.24522215,0.1809566728770733,0.3366447687149048
I,0,2,0.33883995,0.32451022,0.2553289979696274,0.4004092216491699
I,0,3,0.13074905,0.11319335,0.08183075673878193,0.16041654348373413
I,0,4,0.29089153,0.25340497,0.18603313714265823,0.3497525230050087
I,0,5,0.9372423,0.7695581,0.5242559164762497,1.1530970633029938
I,0,6,1.9169425,1.5586783,1.0439002215862274,2.377945363521576
I,0,7,2.0857987,1.621247,1.1285209357738495,2.463615298271179
I,0,8,4.532095,4.169672,2.612735092639923,5.891605377197266
I,0,9,2.4469516,2.17374,1.7093871533870697,2.9117125272750854
I,0,10,8.422649,7.9776373,5.312335133552551,11.124086380004883
I,0,11,5.039032,4.7164183,2.9658167958259583,6.715113878250122
I,0,12,7.81392,7.4641013,4.8132816553115845,10.446461915969849
I,0,13,12.541533,12.492132,8.108669757843018,16.496962070465088
I,0,14,5.0428505,4.7484436,3.0394723415374756,6.679924130439758
I,0,15,8.931961,8.97163,5.742575168609619,11.914173364639282
I,0,16,21.035858,21.403755,13.684306144714355,27.992608070373535
I,0,17,14.540956,14.688921,9.406848192214966,19.25355100631714
I,0,18,10.411512,9.99074,5.671385407447815,14.97674036026001
I,0,19,17.847443,17.449684,10.565367460250854,24.68737554550171
I,0,20,25.93769,26.291298,16.899131298065186,34.46513080596924
I,0,21,19.805603,19.061684,11.991384029388428,26.63573932647705
I,0,22,15.4859705,13.907511,8.159946918487549,21.5105938911438
I,0,23,8.452593,6.969705,3.7550227642059326,12.006778478622437
I,0,24,7.596697,6.122474,3.263142168521881,10.812479496002197
I,0,25,21.079384,19.463741,9.280697584152222,30.723275184631348
I,0,26,16.936224,15.187279,6.607213020324707,25.365785598754883
I,0,27,13.593074,11.286139,5.1460041999816895,19.88177251815796
I,0,28,7.176991,6.061064,3.110900640487671,10.157724142074585
I,0,29,22.814512,19.878323,10.056407928466797,32.60119915008545
I,0,30,37.401478,34.783234,19.673458576202393,52.41612720489502
I,0,31,27.686049,24.335672,13.956315040588379,38.31325721740723
I,0,32,20.284163,17.713562,10.491832733154297,27.26853322982788
I,1,1,0.37480962,0.36296844,0.23423928022384644,0.5156570672988892
I,1,2,0.43008882,0.40197694,0.3171010911464691,0.5137537717819214
I,1,3,0.18448791,0.15678672,0.10996447503566742,0.22075802087783813
I,1,4,0.4292687,0.37854418,0.262408584356308,0.5413474440574646
I,1,5,1.4346865,1.213094,0.7510660886764526,1.939801812171936
I,1,6,3.4488807,2.792702,1.6712656021118164,5.11491060256958
I,1,7,3.5022883,2.965983,1.7412636280059814,4.81925630569458
