model,image_id,response_index,label,category,layer,target_token_id,competitor_token_id,prefix_excludes_target,prediction_position,clean_target_logit,clean_margin,gradient_clean_target_logit_abs_error,gradient_clean_margin_abs_error,a_logit_total,a_margin_total,a_margin_positive_mass,a_margin_negative_mass,a_margin_positive_minus_negative,a_margin_positive_fraction,a_margin_max_positive,a_margin_minimum,a_margin_positive_support_nonzero,a_margin_cancellation_ratio,logit_additivity_relative_error,margin_additivity_relative_error,visual_token_count
internvl_2_5_8b,54133,129,REAL,cup,8,25813,1148,True,412,37.75,0.25,0.0,0.0,-0.0030933129601180553,-0.0015913194511085749,0.006462096702307463,0.008053416386246681,-0.0015913196839392185,0.42578125,0.0008627310744486749,-0.0006591582205146551,True,0.10962889343500137,3.763452696148306e-07,7.315653078876494e-07,256
internvl_2_5_8b,54133,129,REAL,cup,16,25813,1148,True,412,37.75,0.25,0.0,0.0,-0.041177913546562195,0.11025245487689972,0.13373784720897675,0.02348538115620613,0.11025246977806091,0.6328125,0.040540292859077454,-0.007667427882552147,True,0.7012478709220886,0.0,6.757745296681605e-08,256
internvl_2_5_8b,54133,129,REAL,cup,24,25813,1148,True,412,37.75,0.25,0.0,0.0,0.006627073511481285,-0.0003150150296278298,0.006460153963416815,0.006775169167667627,-0.00031501520425081253,0.6484375,0.0010496636386960745,-0.0025051364209502935,True,0.023801084607839584,2.8106595095778175e-07,1.8477744845313282e-07,256
internvl_2_5_8b,54133,129,REAL,cup,32,25813,1148,True,412,37.75,0.25,0.0,0.0,-0.00016851350665092468,0.02631252259016037,0.05112980306148529,0.024817276746034622,0.02631252631545067,0.8046875,0.0030144741758704185,-0.009611878544092178,True,0.34645867347717285,0.00013262307038530707,7.078930508441772e-08,256
internvl_2_5_8b,54133,247,HALL,chair,8,10633,2574,True,530,36.75,1.5,0.0,0.0,0.007473390083760023,0.010087905451655388,0.014411412179470062,0.0043235053308308125,0.010087907314300537,0.703125,0.0007222310523502529,-0.0010474501177668571,True,0.5384547710418701,1.8692769288009004e-07,1.8464137951923476e-07,256
internvl_2_5_8b,54133,247,HALL,chair,16,10633,2574,True,530,36.75,1.5,0.0,0.0,0.012600026093423367,0.011248590424656868,0.05132516473531723,0.04007657617330551,0.011248588562011719,0.25390625,0.013029808178544044,-0.007544276304543018,True,0.12306757271289825,3.6957155202799186e-07,1.6558917081965774e-07,256
internvl_2_5_8b,54133,247,HALL,chair,24,10633,2574,True,530,36.75,1.5,0.0,0.0,0.01551102939993143,0.0013872548006474972,0.012520402669906616,0.011133147403597832,0.0013872552663087845,0.3671875,0.004307469353079796,-0.003936008084565401,True,0.05864890292286873,2.4017046484914317e-07,1.3426860050458345e-06,256
internvl_2_5_8b,54133,247,HALL,chair,32,10633,2574,True,530,36.75,1.5,0.0,0.0,-0.10831918567419052,-0.09982337057590485,0.074232317507267,0.17405569553375244,-0.09982337802648544,0.828125,0.005779601633548737,-0.03554553538560867,True,0.40204668045043945,6.87835708390594e-08,7.463763296300385e-08,256
internvl_2_5_8b,197097,13,REAL,couch,8,26583,31275,True,296,33.5,1.0,0.0,0.0,-0.07637220621109009,0.030450498685240746,0.05316095054149628,0.02271045371890068,0.030450496822595596,0.40234375,0.012968424707651138,-0.0012797897215932608,True,0.40134352445602417,9.755618890494588e-08,1.223392303018045e-07,256
internvl_2_5_8b,197097,13,REAL,couch,16,26583,31275,True,296,33.5,1.0,0.0,0.0,0.2176380157470703,0.08986465632915497,0.12055931985378265,0.030694667249917984,0.08986465632915497,0.65625,0.012906654737889767,-0.011616293340921402,True,0.5941307544708252,0.0,0.0,256
internvl_2_5_8b,197097,13,REAL,couch,24,26583,31275,True,296,33.5,1.0,0.0,0.0,0.02335817739367485,0.015674296766519547,0.01646520383656025,0.0007909070700407028,0.015674296766519547,0.77734375,0.0035813739523291588,-0.00013731163926422596,True,0.9083331227302551,0.0,0.0,256
internvl_2_5_8b,197097,13,REAL,couch,32,26583,31275,True,296,33.5,1.0,0.0,0.0,-0.023425979539752007,-0.016020361334085464,0.01935425028204918,0.035374607890844345,-0.016020357608795166,0.265625,0.0018713800236582756,-0.0035076739732176065,True,0.2927223742008209,1.0336563036617008e-06,0.0,256
internvl_2_5_8b,197097,142,HALL,tv,8,12575,6037,True,425,37.5,1.5,0.0,0.0,0.008721079677343369,0.020697228610515594,0.024153392761945724,0.0034561657812446356,0.020697226747870445,0.71484375,0.0020725843496620655,-0.000934936455450952,True,0.7496399283409119,2.1357961088597222e-07,0.0,256
internvl_2_5_8b,197097,142,HALL,tv,16,12575,6037,True,425,37.5,1.5,0.0,0.0,-0.04376455023884773,0.012787516228854656,0.027043195441365242,0.01425568014383316,0.012787515297532082,0.5,0.006249706726521254,-0.003163024317473173,True,0.3096334934234619,1.702424015093129e-07,0.0,256
internvl_2_5_8b,197097,142,HALL,tv,24,12575,6037,True,425,37.5,1.5,0.0,0.0,-0.0025557735934853554,0.0016145006520673633,0.002441015560179949,0.0008265147916972637,0.001614500768482685,0.58984375,0.0006257225759327412,-7.904661470092833e-05,True,0.494104266166687,1.8219976993805176e-07,1.442121941863661e-07,256
internvl_2_5_8b,197097,142,HALL,tv,32,12575,6037,True,425,37.5,1.5,0.0,0.0,0.09494571387767792,0.028021523728966713,0.02915274351835251,0.0011312190908938646,0.028021523728966713,0.93359375,0.004028674215078354,-0.00036822055699303746,True,0.9252925515174866,7.847201288768701e-08,0.0,256
internvl_2_5_8b,198518,36,REAL,tv,8,12575,6037,True,319,39.75,1.5,0.0,0.0,-0.02046857215464115,-0.020521920174360275,0.006799438502639532,0.027321355417370796,-0.020521916449069977,0.453125,0.0014576585963368416,-0.007804479915648699,True,0.6014490723609924,0.0,0.0,256
internvl_2_5_8b,198518,36,REAL,tv,16,12575,6037,True,319,39.75,1.5,0.0,0.0,-0.005661046132445335,-0.02149723656475544,0.01464840304106474,0.036145638674497604,-0.02149723470211029,0.25390625,0.004277463536709547,-0.009430517442524433,True,0.4232235848903656,2.3032043827697635e-06,8.664580519734955e-08,256
internvl_2_5_8b,198518,36,REAL,tv,24,12575,6037,True,319,39.75,1.5,0.0,0.0,0.0013544722460210323,0.0002642815525177866,0.0024231509305536747,0.0021588692907243967,0.000264281639829278,0.65234375,0.00024232764553744346,-0.00032921426463872194,True,0.05767795071005821,1.7189771028824907e-07,1.1012434697477147e-07,256
internvl_2_5_8b,198518,36,REAL,tv,32,12575,6037,True,319,39.75,1.5,0.0,0.0,-0.035823382437229156,0.02906249836087227,0.03576771169900894,0.006705214269459248,0.02906249836087227,0.84765625,0.004196790046989918,-0.001901318901218474,True,0.6842593550682068,5.199526071919536e-07,0.0,256
internvl_2_5_8b,198518,119,HALL,remote,8,8833,2574,True,402,35.0,0.25,0.0,0.0,0.0257115438580513,0.0645093023777008,0.07635149359703064,0.011842197738587856,0.06450929492712021,0.69140625,0.007593998685479164,-0.0011988675687462091,True,0.7314502596855164,0.0,1.154962063765197e-07,256
internvl_2_5_8b,198518,119,HALL,remote,16,8833,2574,True,402,35.0,0.25,0.0,0.0,0.0654166042804718,0.1296813189983368,0.182981476187706,0.05330014228820801,0.12968133389949799,0.5625,0.023519394919276237,-0.022552967071533203,True,0.548842191696167,1.1389434462216741e-07,2.29811945473557e-07,256
internvl_2_5_8b,198518,119,HALL,remote,24,8833,2574,True,402,35.0,0.25,0.0,0.0,-0.005467863753437996,0.006212671287357807,0.02047020010650158,0.014257529750466347,0.0062126703560352325,0.28515625,0.008360343985259533,-0.00403154082596302,True,0.17889656126499176,4.2581629600135784e-07,3.747672110421263e-07,256
internvl_2_5_8b,198518,119,HALL,remote,32,8833,2574,True,402,35.0,0.25,0.0,0.0,0.02881034091114998,0.008979372680187225,0.056125834584236145,0.04714646190404892,0.008979372680187225,0.8515625,0.003996702376753092,-0.021003950387239456,True,0.08694852143526077,2.5860794039545e-07,0.0,256
internvl_2_5_8b,566644,6,REAL,cat,8,8383,454,True,289,41.75,3.25,0.0,0.0,-0.13394883275032043,-0.21415525674819946,0.02645791880786419,0.2406131625175476,-0.21415524184703827,0.55078125,0.0028656874783337116,-0.04345500469207764,True,0.8018661737442017,1.1124516419158681e-07,1.3916223906562664e-07,256
internvl_2_5_8b,566644,6,REAL,cat,16,8383,454,True,289,41.75,3.25,0.0,0.0,0.19444873929023743,0.3736070692539215,0.4652695059776306,0.0916624665260315,0.3736070394515991,0.44921875,0.19735732674598694,-0.008434141054749489,True,0.6708306074142456,1.532657307734553e-07,7.976915128438122e-08,256
internvl_2_5_8b,566644,6,REAL,cat,24,8383,454,True,289,41.75,3.25,0.0,0.0,-0.010592997074127197,0.0003233460593037307,0.0031089361291378736,0.0027855904772877693,0.00032334565185010433,0.41015625,0.00030040586716495454,-0.00038936102646403015,True,0.054855313152074814,0.0,1.6201521475522895e-06,256
internvl_2_5_8b,566644,6,REAL,cat,32,8383,454,True,289,41.75,3.25,0.0,0.0,-0.3555607795715332,-0.36351102590560913,0.0912938192486763,0.45480483770370483,-0.36351102590560913,0.890625,0.0035232407972216606,-0.11863292753696442,True,0.6656509041786194,0.0,0.0,256
