model,split,metric,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,all,gross,prompt,0,1,916,1.0858272581671844,0.8793342714197934,0.6382980487542227,1.3600158363115042
qwen2_5_vl_7b,all,gross,prompt,0,2,916,9.69089964468756,8.620044831186533,6.817999796010554,11.684177872724831
qwen2_5_vl_7b,all,gross,prompt,0,3,916,4.557566758713433,4.141550017986447,3.31601824820973,5.29841272579506
qwen2_5_vl_7b,all,gross,prompt,0,4,916,4.70617998585229,4.306556988507509,3.4378780187107623,5.423670045216568
qwen2_5_vl_7b,all,gross,prompt,0,5,916,10.483359387930568,9.870878154877573,7.983835921855643,12.314224709873088
qwen2_5_vl_7b,all,gross,prompt,0,6,916,10.13156279804875,9.379601703258231,7.882812220981577,11.4389592371881
qwen2_5_vl_7b,all,gross,prompt,0,7,916,5.614251179244721,5.334376395563595,4.813269988815591,6.114525449927896
qwen2_5_vl_7b,all,gross,prompt,0,8,916,3.0035831098312014,2.849545229895739,2.514620560395997,3.244893447466893
qwen2_5_vl_7b,all,gross,prompt,0,9,916,3.6072898733276237,3.3636807707953267,2.986534927455068,3.9309541154070757
qwen2_5_vl_7b,all,gross,prompt,0,10,916,9.394231332936974,8.61778735119151,7.547432805033168,10.2389256884926
qwen2_5_vl_7b,all,gross,prompt,0,11,916,3.842781747161793,3.71347526050522,3.3188497570808977,4.1819606362550985
qwen2_5_vl_7b,all,gross,prompt,0,12,916,4.3499477066783445,4.21413615324127,3.7333987292549864,4.818266037622379
qwen2_5_vl_7b,all,gross,prompt,0,13,916,4.581282867392256,4.339967586827697,3.8348356099959346,5.023020629865641
qwen2_5_vl_7b,all,gross,prompt,0,14,916,4.750749305028376,4.606464587755909,4.064871027292611,5.261082520082709
qwen2_5_vl_7b,all,gross,prompt,0,15,916,4.172704729107317,3.944149337341514,3.4207156955380924,4.798685656958696
qwen2_5_vl_7b,all,gross,prompt,0,16,916,3.2701699723084623,3.1448268024541903,2.7800302647883655,3.6243513521330897
qwen2_5_vl_7b,all,gross,prompt,0,17,916,2.7626629220903522,2.594428314721881,2.129348331107394,3.265533640536887
qwen2_5_vl_7b,all,gross,prompt,0,18,916,2.669728472013102,2.5649357952643186,2.2319238140007656,2.978771552341641
qwen2_5_vl_7b,all,gross,prompt,0,19,916,3.7774155633101802,3.652372109492717,3.12587276440172,4.332384847140929
qwen2_5_vl_7b,all,gross,prompt,0,20,916,4.289094459412489,4.208113547283574,3.5788048299291404,4.86339135356684
qwen2_5_vl_7b,all,gross,prompt,0,21,916,2.0974348564308514,2.0014645290357294,1.7130445341936138,2.3524872634407075
qwen2_5_vl_7b,all,gross,prompt,0,22,916,2.490034642952367,2.355905164957221,2.0041401142570976,2.827516053315776
qwen2_5_vl_7b,all,gross,prompt,0,23,916,3.2187388011897817,3.008993840427138,2.5990716876549413,3.558404408835486
qwen2_5_vl_7b,all,gross,prompt,0,24,916,11.357804398462342,11.312333579815459,9.971547916065902,12.549621829355601
qwen2_5_vl_7b,all,gross,prompt,0,25,916,9.349129874797034,9.44763977790717,8.4142483399919,10.377405963488854
qwen2_5_vl_7b,all,gross,prompt,0,26,916,12.672185615582395,12.527964893146418,10.929757498990512,14.430379598605214
qwen2_5_vl_7b,all,gross,prompt,0,27,916,23.278075130369604,23.17178736704227,20.89771000952169,25.610229282145156
qwen2_5_vl_7b,all,gross,prompt,0,28,916,37.50785104153516,36.58505656386842,29.63919485663064,43.82012707761896
qwen2_5_vl_7b,all,gross,prompt,1,1,7801,1.868319003633698,1.6507193874567747,0.9265868021175265,2.7082434836775064
qwen2_5_vl_7b,all,gross,prompt,1,2,7801,14.041738762247936,14.082150176167488,9.067206606268883,18.957017347216606
qwen2_5_vl_7b,all,gross,prompt,1,3,7801,6.188344477070215,6.0353860054165125,4.262521775439382,7.988790765404701
qwen2_5_vl_7b,all,gross,prompt,1,4,7801,6.932148223666302,6.500659964047372,4.582848988473415,8.959661001339555
qwen2_5_vl_7b,all,gross,prompt,1,5,7801,12.519170198089919,11.523739112075418,9.146714332979172,15.27286673616618
qwen2_5_vl_7b,all,gross,prompt,1,6,7801,11.921893992480761,10.739518422167748,8.833431387552992,14.912254274822772
qwen2_5_vl_7b,all,gross,prompt,1,7,7801,6.245394888161575,6.102344399318099,5.322895662859082,7.178995717782527
qwen2_5_vl_7b,all,gross,prompt,1,8,7801,3.554862430991268,3.3142802715301514,2.8097173403948545,4.331684281118214
qwen2_5_vl_7b,all,gross,prompt,1,9,7801,4.455767033201207,3.9350041141733527,3.3349525623198133,5.4138153291423805
qwen2_5_vl_7b,all,gross,prompt,1,10,7801,11.357671903841336,10.37630804325454,8.618809773819521,13.35393669968471
qwen2_5_vl_7b,all,gross,prompt,1,11,7801,4.411684380267413,4.235984388622455,3.6616374645673204,5.113339382456616
qwen2_5_vl_7b,all,gross,prompt,1,12,7801,4.968487762270025,4.8276983019313775,4.124773398216348,5.732509950350504
qwen2_5_vl_7b,all,gross,prompt,1,13,7801,5.490335966545419,5.180030443589203,4.2434094812197145,6.472858409106266
qwen2_5_vl_7b,all,gross,prompt,1,14,7801,5.801971330129055,5.451228765072301,4.690580125665292,6.599297672975808
qwen2_5_vl_7b,all,gross,prompt,1,15,7801,4.869397801993371,4.510633842088282,3.6855227520572953,5.788415926625021
qwen2_5_vl_7b,all,gross,prompt,1,16,7801,4.215521980642405,3.9876414738828316,3.2924154378997628,4.842856933712028
qwen2_5_vl_7b,all,gross,prompt,1,17,7801,3.3922341124925657,3.13646349782357,2.4390367191699625,4.153590549249202
qwen2_5_vl_7b,all,gross,prompt,1,18,7801,3.2858525450491594,2.993235334288329,2.47382763310452,3.8489134933333844
qwen2_5_vl_7b,all,gross,prompt,1,19,7801,4.649733428723843,4.3892098317155614,3.589106836268911,5.499985220201779
qwen2_5_vl_7b,all,gross,prompt,1,20,7801,5.041708747449431,4.773782302916516,3.9702849618624896,5.903844411950558
qwen2_5_vl_7b,all,gross,prompt,1,21,7801,2.9937077887233,2.5040561629575677,1.9697952289134264,3.5822859083127696
qwen2_5_vl_7b,all,gross,prompt,1,22,7801,3.1400385092019123,2.8754517496563494,2.312368331826292,3.7742809352930635
qwen2_5_vl_7b,all,gross,prompt,1,23,7801,3.650156927021504,3.3970325455302373,2.7912447749404237,4.118957049329765
qwen2_5_vl_7b,all,gross,prompt,1,24,7801,11.744502748077263,11.58881059824489,10.452385282434989,12.638833246310242
qwen2_5_vl_7b,all,gross,prompt,1,25,7801,10.521104214539086,10.654944224981591,9.489405400818214,11.62238054140471
qwen2_5_vl_7b,all,gross,prompt,1,26,7801,14.080320122193866,14.246844894965761,12.456920322147198,15.71908201626502
qwen2_5_vl_7b,all,gross,prompt,1,27,7801,25.580574320755314,25.78032171772793,23.385923707624897,27.798165403073654
qwen2_5_vl_7b,all,gross,prompt,1,28,7801,43.62431142081071,41.907491544261575,33.528109485749155,51.49519366770983
qwen2_5_vl_7b,all,gross,generation,0,1,916,15.03553067114434,14.770799025893211,12.67444735346362,16.896595044992864
qwen2_5_vl_7b,all,gross,generation,0,2,916,34.62676551674216,34.23694480210543,29.790323288179934,39.40780846076086
qwen2_5_vl_7b,all,gross,generation,0,3,916,18.76791108526924,18.58705428056419,15.85490607097745,21.615875375457108
qwen2_5_vl_7b,all,gross,generation,0,4,916,28.754627548666026,29.218038391321898,25.298908922355622,31.959690201096237
qwen2_5_vl_7b,all,gross,generation,0,5,916,23.452424917430257,23.060590963810682,17.08212348073721,28.77934663882479
qwen2_5_vl_7b,all,gross,generation,0,6,916,31.399611861089408,30.50730829872191,24.867077806964517,37.64251804724336
qwen2_5_vl_7b,all,gross,generation,0,7,916,14.248547311140326,14.187219592742622,12.268846027553082,16.072101916652173
qwen2_5_vl_7b,all,gross,generation,0,8,916,14.635767616856972,14.60352208162658,11.714191111852415,17.312870339956135
