model,split,metric,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,all,gross,generation,0,9,916,14.347723113906648,14.125802430557087,11.603155827790033,16.862583132926375
qwen2_5_vl_7b,all,gross,generation,0,10,916,28.66925368924107,28.960358878597617,23.999517753953114,33.67375552235171
qwen2_5_vl_7b,all,gross,generation,0,11,916,13.165471529355623,13.075626899953932,11.317343374248594,14.83475882379571
qwen2_5_vl_7b,all,gross,generation,0,12,916,13.308155153439705,13.228219986893237,10.84577867621556,15.588828492211178
qwen2_5_vl_7b,all,gross,generation,0,13,916,14.856094852460098,14.934155256254598,12.78754319716245,16.983895471086726
qwen2_5_vl_7b,all,gross,generation,0,14,916,15.077205903136102,14.970185315527488,12.690075536025688,17.387494129536208
qwen2_5_vl_7b,all,gross,generation,0,15,916,12.150903221672095,11.852944194615702,10.350669439591002,13.611835486080963
qwen2_5_vl_7b,all,gross,generation,0,16,916,15.783660326219763,15.567967764800414,14.04788382339757,17.42450591281522
qwen2_5_vl_7b,all,gross,generation,0,17,916,12.907693342291994,12.66765101859346,9.91934228176251,15.275740110548213
qwen2_5_vl_7b,all,gross,generation,0,18,916,16.238379219777663,15.771088359411806,13.443691152147949,18.27228306233883
qwen2_5_vl_7b,all,gross,generation,0,19,916,20.673655305793492,20.148807347752154,17.808900812175125,22.825864189711865
qwen2_5_vl_7b,all,gross,generation,0,20,916,25.923333354629026,25.50139621272683,22.543782901018858,28.66938586998731
qwen2_5_vl_7b,all,gross,generation,0,21,916,21.50880095813639,21.387106102891266,17.65299943694845,24.837060679099523
qwen2_5_vl_7b,all,gross,generation,0,22,916,22.899155533979048,22.097671718802303,18.453924329485744,26.712941438308917
qwen2_5_vl_7b,all,gross,generation,0,23,916,15.034615296614858,14.484834551549284,11.458792477147654,18.03292310796678
qwen2_5_vl_7b,all,gross,generation,0,24,916,24.141531569674925,22.958660800009966,19.81459833937697,27.012576413573697
qwen2_5_vl_7b,all,gross,generation,0,25,916,24.89518997393227,24.198273902758956,19.744868056382984,28.736393080325797
qwen2_5_vl_7b,all,gross,generation,0,26,916,24.275691566882134,23.822284600581042,20.141741407220252,28.29448987962678
qwen2_5_vl_7b,all,gross,generation,0,27,916,25.782615989180638,24.469648647122085,19.823877312708646,29.365530082024634
qwen2_5_vl_7b,all,gross,generation,0,28,916,172.81935548650353,172.6377461925149,153.41154983453453,191.7415989730507
qwen2_5_vl_7b,all,gross,generation,1,1,7801,13.903729378555262,13.74412888288498,10.825658679008484,16.048510191962123
qwen2_5_vl_7b,all,gross,generation,1,2,7801,28.46024108644436,28.562651105225086,20.438448667526245,34.838875234127045
qwen2_5_vl_7b,all,gross,generation,1,3,7801,15.45217095659345,15.348082184791565,11.472287327051163,18.852704003453255
qwen2_5_vl_7b,all,gross,generation,1,4,7801,24.709751471788692,24.443979129195213,20.54373073577881,28.823139034211636
qwen2_5_vl_7b,all,gross,generation,1,5,7801,17.92601541916687,16.202460527420044,11.086827784776688,23.61958199739456
qwen2_5_vl_7b,all,gross,generation,1,6,7801,25.070106872352266,23.364784240722656,15.809343814849854,31.905309453606606
qwen2_5_vl_7b,all,gross,generation,1,7,7801,12.316548399323,12.013357013463974,9.795786798000336,14.426040085032582
qwen2_5_vl_7b,all,gross,generation,1,8,7801,10.863675033783217,10.111695257015526,6.760025382041931,14.02414771169424
qwen2_5_vl_7b,all,gross,generation,1,9,7801,11.169058522277533,10.131135657429695,8.220292031764984,13.959091265685856
qwen2_5_vl_7b,all,gross,generation,1,10,7801,21.08468394114868,20.161513160914183,13.913942664861679,27.31875478848815
qwen2_5_vl_7b,all,gross,generation,1,11,7801,10.605681348088702,10.3149669226259,8.084631152451038,12.72374196909368
qwen2_5_vl_7b,all,gross,generation,1,12,7801,9.819086850539124,9.569892980158329,5.995743215084076,12.742241445928812
qwen2_5_vl_7b,all,gross,generation,1,13,7801,11.556594441602622,11.344939112663269,8.162270307540894,14.526018686592579
qwen2_5_vl_7b,all,gross,generation,1,14,7801,11.072873509155903,10.889298483729362,7.305017963051796,14.291476474143565
qwen2_5_vl_7b,all,gross,generation,1,15,7801,9.828693138840416,9.553693354129791,7.447581127285957,11.644177777692676
qwen2_5_vl_7b,all,gross,generation,1,16,7801,13.15153268261726,13.090178122743964,10.36824518442154,15.611929526086897
qwen2_5_vl_7b,all,gross,generation,1,17,7801,10.026141361834059,9.413239430636168,5.680107399821281,13.007814045995474
qwen2_5_vl_7b,all,gross,generation,1,18,7801,14.357288182792509,13.752883061766624,10.803225249052048,16.73600262310356
qwen2_5_vl_7b,all,gross,generation,1,19,7801,18.677480082952474,17.780050694942474,14.611241802573204,21.425618171691895
qwen2_5_vl_7b,all,gross,generation,1,20,7801,22.92173606002376,22.157651427201927,19.20475959777832,25.46132997935638
qwen2_5_vl_7b,all,gross,generation,1,21,7801,18.03041617229851,16.99515127018094,12.718458771705627,22.12235231511295
qwen2_5_vl_7b,all,gross,generation,1,22,7801,18.885508005033437,18.207048097625375,13.412642627954483,23.103476429358125
qwen2_5_vl_7b,all,gross,generation,1,23,7801,11.67059417727913,10.750534795224667,6.668895177543163,15.391477048862725
qwen2_5_vl_7b,all,gross,generation,1,24,7801,21.850661813890348,20.1348369223997,17.520778864622116,24.88370857387781
qwen2_5_vl_7b,all,gross,generation,1,25,7801,20.677592097559103,19.6570589505136,15.071173511445522,24.738989488687366
qwen2_5_vl_7b,all,gross,generation,1,26,7801,20.91195691747289,19.568467363715172,14.947492480278015,25.348744552582502
qwen2_5_vl_7b,all,gross,generation,1,27,7801,21.49849844347134,19.008663532324135,14.152319386601448,25.798906955868006
qwen2_5_vl_7b,all,gross,generation,1,28,7801,155.08564542422047,154.9607150554657,131.3457703590393,177.36025321483612
qwen2_5_vl_7b,all,gross,visual,0,1,916,0.6691136020662742,0.5796388685703278,0.4197060540318489,0.8315935134887695
qwen2_5_vl_7b,all,gross,visual,0,2,916,2.2184432334384545,2.033717393875122,1.5150159895420074,2.708423614501953
qwen2_5_vl_7b,all,gross,visual,0,3,916,1.1136582688993761,0.9146764278411865,0.6966363936662674,1.2393900156021118
qwen2_5_vl_7b,all,gross,visual,0,4,916,2.197453542567757,1.7366061210632324,1.2360374629497528,2.5651118755340576
qwen2_5_vl_7b,all,gross,visual,0,5,916,2.8732673830340523,2.2837177515029907,1.4523979127407074,3.7199631333351135
qwen2_5_vl_7b,all,gross,visual,0,6,916,6.6383516804099605,5.775976181030273,3.733368456363678,8.871540069580078
qwen2_5_vl_7b,all,gross,visual,0,7,916,1.4184473736382468,1.2417137026786804,0.8203546106815338,1.8140819072723389
qwen2_5_vl_7b,all,gross,visual,0,8,916,2.8066299423640473,2.5549416542053223,1.3668984174728394,4.001896500587463
qwen2_5_vl_7b,all,gross,visual,0,9,916,5.3421503069229,4.613310098648071,2.945267140865326,7.126537084579468
qwen2_5_vl_7b,all,gross,visual,0,10,916,14.985717854385292,14.960370540618896,11.505774974822998,18.294623374938965
qwen2_5_vl_7b,all,gross,visual,0,11,916,3.1755676960580734,3.020131826400757,2.3757156133651733,3.903672695159912
qwen2_5_vl_7b,all,gross,visual,0,12,916,5.248189833031471,5.172591924667358,3.7179882526397705,6.682003736495972
qwen2_5_vl_7b,all,gross,visual,0,13,916,5.957141726688526,6.039998292922974,4.473987340927124,7.3383400440216064
qwen2_5_vl_7b,all,gross,visual,0,14,916,6.381553878495266,6.3036370277404785,4.857490062713623,7.863120913505554
qwen2_5_vl_7b,all,gross,visual,0,15,916,11.936040933475745,11.555659770965576,8.676557302474976,14.603331565856934
qwen2_5_vl_7b,all,gross,visual,0,16,916,5.201063315485762,4.591273546218872,3.456947445869446,6.4468278884887695
qwen2_5_vl_7b,all,gross,visual,0,17,916,8.607421749543935,8.401686191558838,5.925513386726379,11.328261852264404
qwen2_5_vl_7b,all,gross,visual,0,18,916,5.416560318304722,5.203415393829346,3.3436595797538757,7.048245549201965
qwen2_5_vl_7b,all,gross,visual,0,19,916,5.648992632153774,5.675981521606445,4.081954121589661,7.067804336547852
qwen2_5_vl_7b,all,gross,visual,0,20,916,12.836656113899432,12.907156944274902,9.906665086746216,15.614474058151245
qwen2_5_vl_7b,all,gross,visual,0,21,916,8.695787441912698,8.716253280639648,6.2463825941085815,10.976400375366211
qwen2_5_vl_7b,all,gross,visual,0,22,916,20.335717923776553,20.33853530883789,16.39548921585083,24.308363914489746
qwen2_5_vl_7b,all,gross,visual,0,23,916,19.575396415968648,19.816237449645996,13.876043796539307,24.256330490112305
qwen2_5_vl_7b,all,gross,visual,0,24,916,19.31368239777057,18.94594669342041,12.16356348991394,25.7098650932312
qwen2_5_vl_7b,all,gross,visual,0,25,916,12.936437991118327,12.002790927886963,7.796656608581543,17.54526424407959
qwen2_5_vl_7b,all,gross,visual,0,26,916,12.132417397012357,10.755934715270996,6.408934593200684,16.460620880126953
qwen2_5_vl_7b,all,gross,visual,0,27,916,28.2633555102036,26.978288650512695,17.58474349975586,37.626654624938965
qwen2_5_vl_7b,all,gross,visual,0,28,916,53.46883195508516,51.371585845947266,32.58113193511963,71.79787063598633
qwen2_5_vl_7b,all,gross,visual,1,1,7801,0.9563882250170221,0.8806040287017822,0.5618938207626343,1.22306489944458
qwen2_5_vl_7b,all,gross,visual,1,2,7801,2.8055052027199885,2.6845548152923584,1.9632961750030518,3.4435975551605225
qwen2_5_vl_7b,all,gross,visual,1,3,7801,1.618018183096481,1.2970525026321411,0.898978590965271,1.804644227027893
qwen2_5_vl_7b,all,gross,visual,1,4,7801,3.663474468027471,2.8511600494384766,1.771303415298462,5.188827991485596
qwen2_5_vl_7b,all,gross,visual,1,5,7801,4.1707446646604796,3.6544833183288574,2.0650620460510254,5.407462120056152
qwen2_5_vl_7b,all,gross,visual,1,6,7801,8.662592525895384,7.639651775360107,5.2247209548950195,11.149354934692383
qwen2_5_vl_7b,all,gross,visual,1,7,7801,2.306852740150983,2.009064197540283,1.223344087600708,3.2704615592956543
qwen2_5_vl_7b,all,gross,visual,1,8,7801,3.3227706487446835,3.4398910999298096,1.8360254764556885,4.446929931640625
qwen2_5_vl_7b,all,gross,visual,1,9,7801,6.533596427425209,6.020101070404053,3.9879908561706543,8.335845947265625
qwen2_5_vl_7b,all,gross,visual,1,10,7801,17.921530503597708,18.023479461669922,13.89185905456543,22.32976531982422
qwen2_5_vl_7b,all,gross,visual,1,11,7801,3.990143216499807,3.994682550430298,3.0446853637695312,4.934121608734131
qwen2_5_vl_7b,all,gross,visual,1,12,7801,5.836816023346125,5.647671699523926,4.458245277404785,7.167506217956543
qwen2_5_vl_7b,all,gross,visual,1,13,7801,6.931720282241115,7.0327043533325195,5.648109436035156,8.235065460205078
qwen2_5_vl_7b,all,gross,visual,1,14,7801,7.815931597358523,7.804450988769531,5.907018661499023,9.713732719421387
qwen2_5_vl_7b,all,gross,visual,1,15,7801,12.105685967128256,11.447614669799805,9.304967880249023,14.43996524810791
qwen2_5_vl_7b,all,gross,visual,1,16,7801,5.615645161936977,4.882211685180664,3.8989808559417725,6.834100246429443
qwen2_5_vl_7b,all,gross,visual,1,17,7801,10.146768936124035,9.938407897949219,8.097331047058105,12.24751091003418
qwen2_5_vl_7b,all,gross,visual,1,18,7801,6.903238447006506,6.65083122253418,5.158702850341797,8.531672477722168
qwen2_5_vl_7b,all,gross,visual,1,19,7801,6.9754456688296935,6.898658752441406,5.419985771179199,8.335319519042969
qwen2_5_vl_7b,all,gross,visual,1,20,7801,14.677665643257416,14.916303634643555,12.704766273498535,16.924850463867188
qwen2_5_vl_7b,all,gross,visual,1,21,7801,11.175189301128984,11.22785758972168,8.612256050109863,13.756857872009277
qwen2_5_vl_7b,all,gross,visual,1,22,7801,20.611075304972942,20.418760299682617,16.86345672607422,24.24272918701172
qwen2_5_vl_7b,all,gross,visual,1,23,7801,24.12338945548086,24.367595672607422,19.06121826171875,29.424724578857422
qwen2_5_vl_7b,all,gross,visual,1,24,7801,22.75468238591078,22.181278228759766,15.42012882232666,29.32393455505371
qwen2_5_vl_7b,all,gross,visual,1,25,7801,14.17561804265674,13.865550994873047,9.945637702941895,17.87078094482422
qwen2_5_vl_7b,all,gross,visual,1,26,7801,14.441331535864299,13.680343627929688,9.683114051818848,18.100345611572266
qwen2_5_vl_7b,all,gross,visual,1,27,7801,31.893243347004642,30.967079162597656,21.743873596191406,40.6485595703125
qwen2_5_vl_7b,all,gross,visual,1,28,7801,59.80149005960309,58.626487731933594,42.953834533691406,75.33840942382812
llava_1_5_7b,all,gross,prompt,0,1,3487,0.04786535346185335,0.03470611426746473,0.02915138637763448,0.054272207358735614
llava_1_5_7b,all,gross,prompt,0,2,3487,0.49947786447104653,0.47513532754965127,0.3986166219692677,0.5707481612917036
llava_1_5_7b,all,gross,prompt,0,3,3487,0.3538756828111706,0.35070759669179097,0.33075157319399295,0.37341845836272114
llava_1_5_7b,all,gross,prompt,0,4,3487,0.5501659752427903,0.5437725227129704,0.5151402425690321,0.5796339648077264
llava_1_5_7b,all,gross,prompt,0,5,3487,0.8809425816051413,0.8726807625498623,0.8283132409160316,0.927715289810294
llava_1_5_7b,all,gross,prompt,0,6,3487,1.055302851489599,1.0413881388521986,0.9796289442965644,1.1221762106288224
llava_1_5_7b,all,gross,prompt,0,7,3487,1.6341007032224255,1.5407105698177475,1.4362573366197466,1.7151895384704403
llava_1_5_7b,all,gross,prompt,0,8,3487,1.3983310691932314,1.3762690869625658,1.2935231341180042,1.4789554597009555
llava_1_5_7b,all,gross,prompt,0,9,3487,1.9522211638049363,1.9223006293759681,1.7196249087282922,2.148656162098632
llava_1_5_7b,all,gross,prompt,0,10,3487,1.5865576710465032,1.5548444711748743,1.4397846321880934,1.7081799459119793
llava_1_5_7b,all,gross,prompt,0,11,3487,1.671889466428394,1.674866747809574,1.51107452611177,1.8174430244907853
llava_1_5_7b,all,gross,prompt,0,12,3487,1.5370022188292047,1.517916664161021,1.3962295566598186,1.6499150159215787
llava_1_5_7b,all,gross,prompt,0,13,3487,1.3161898109090857,1.3026854963900405,1.21361579870063,1.3971898064337438
llava_1_5_7b,all,gross,prompt,0,14,3487,1.71744765025406,1.7070376509655034,1.59731597899372,1.8112783872929867
llava_1_5_7b,all,gross,prompt,0,15,3487,1.328146244337704,1.2952775381418178,1.1832815355955972,1.4375033475953387
llava_1_5_7b,all,gross,prompt,0,16,3487,1.8102242822325703,1.8187322669837158,1.6161595334560843,2.0072297604419873
llava_1_5_7b,all,gross,prompt,0,17,3487,1.480973224582024,1.4758856775879394,1.3625100653152913,1.5848220611806028
llava_1_5_7b,all,gross,prompt,0,18,3487,1.1957968797530065,1.1818429436680162,1.104866795005364,1.279827669772203
llava_1_5_7b,all,gross,prompt,0,19,3487,1.135907793826895,1.1132110081380233,1.0602459516667295,1.1835894099785946
llava_1_5_7b,all,gross,prompt,0,20,3487,0.7524450750809957,0.7153676114539849,0.6590809811241343,0.7983048808237072
llava_1_5_7b,all,gross,prompt,0,21,3487,0.8979536812995853,0.8620321798953228,0.8090398730710149,0.9397277952666627
llava_1_5_7b,all,gross,prompt,0,22,3487,0.6913067286458622,0.682084849308012,0.6359116039675428,0.7376306435544393
llava_1_5_7b,all,gross,prompt,0,23,3487,0.6214332888874803,0.6087124810583191,0.5766316733715939,0.6505362932221033
llava_1_5_7b,all,gross,prompt,0,24,3487,0.4432779289164279,0.43026175467821304,0.4074634928620071,0.4650642031992902
llava_1_5_7b,all,gross,prompt,0,25,3487,0.5067508304720277,0.4666139758192003,0.4254566552444885,0.5403751981320966
llava_1_5_7b,all,gross,prompt,0,26,3487,0.8469985901765397,0.8421354507736396,0.805845211376436,0.8803099278302398
llava_1_5_7b,all,gross,prompt,0,27,3487,0.4659238121774054,0.4457983111497015,0.4116647403279785,0.4918359898147173
llava_1_5_7b,all,gross,prompt,0,28,3487,0.6562819587203329,0.6594356740824878,0.6189425887714606,0.6927861881704303
llava_1_5_7b,all,gross,prompt,0,29,3487,1.2674135389630625,1.2743264337186702,1.1396301157947164,1.3730691222590394
llava_1_5_7b,all,gross,prompt,0,30,3487,0.781903978432962,0.7558959788293578,0.7156362586974865,0.8116517854941776
llava_1_5_7b,all,gross,prompt,0,31,3487,1.8243030831889733,1.7898475278634578,1.719674676656723,1.8804044027347118
llava_1_5_7b,all,gross,prompt,0,32,3487,3.6822894760466265,3.3235126454383135,2.8520475514233112,4.147232437971979
llava_1_5_7b,all,gross,prompt,1,1,11976,0.12056426865010222,0.09653696627356112,0.05227741851558676,0.17249078876920976
llava_1_5_7b,all,gross,prompt,1,2,11976,0.5850304760176868,0.5543037328170612,0.4702210311079398,0.6731324707507156
llava_1_5_7b,all,gross,prompt,1,3,11976,0.3948783708571685,0.38532960622433166,0.3499329368924009,0.42945901663097175
llava_1_5_7b,all,gross,prompt,1,4,11976,0.5788187100841101,0.5743013818755571,0.5307275113918877,0.6248822141806158
llava_1_5_7b,all,gross,prompt,1,5,11976,0.9719180576108291,0.9383580031972087,0.8651318433385313,1.0114734993476304
llava_1_5_7b,all,gross,prompt,1,6,11976,1.2049033191310592,1.1641556118338485,1.0464942226562925,1.3085647807456553
llava_1_5_7b,all,gross,prompt,1,7,11976,1.855282196176341,1.6293785606976599,1.4892831473607657,1.9051611518589198
llava_1_5_7b,all,gross,prompt,1,8,11976,1.5156207202245127,1.4831027937034378,1.364806750236312,1.6297453451988986
llava_1_5_7b,all,gross,prompt,1,9,11976,2.165211174082165,2.103599697329628,1.8857766432556673,2.3715999950618425
llava_1_5_7b,all,gross,prompt,1,10,11976,1.8091739689242456,1.717619224145892,1.5437866013853636,1.935092434330727
llava_1_5_7b,all,gross,prompt,1,11,11976,1.8349327441243448,1.8011302039813017,1.6122223154052335,2.050104329100577
llava_1_5_7b,all,gross,prompt,1,12,11976,1.8382134990815058,1.773308979565627,1.539630642560951,2.104738001478836
llava_1_5_7b,all,gross,prompt,1,13,11976,1.540624539572325,1.4746260551328305,1.3222037349260063,1.699896147591062
llava_1_5_7b,all,gross,prompt,1,14,11976,1.9114832074230916,1.8342841898847837,1.665113696415574,2.0811609376978595
llava_1_5_7b,all,gross,prompt,1,15,11976,1.6567396990241985,1.5403259462364076,1.2775593557016691,1.889774755387407
llava_1_5_7b,all,gross,prompt,1,16,11976,1.8477274275417506,1.7877232146711322,1.58868089945463,2.0736047217251325
llava_1_5_7b,all,gross,prompt,1,17,11976,1.6186689966549155,1.537426825329021,1.3765661716461182,1.7647056247506043
llava_1_5_7b,all,gross,prompt,1,18,11976,1.3483267631793137,1.280206771014491,1.1582426984168706,1.4584742371516768
llava_1_5_7b,all,gross,prompt,1,19,11976,1.4448669981891749,1.270379465597216,1.1507487074122764,1.4645907925114443
llava_1_5_7b,all,gross,prompt,1,20,11976,1.0215224324658145,0.9365593331531272,0.7885441054968396,1.163077711031292
llava_1_5_7b,all,gross,prompt,1,21,11976,1.1656986649980599,1.0770985668350477,0.9170989537233254,1.3356901198931155
llava_1_5_7b,all,gross,prompt,1,22,11976,0.7801640523890949,0.7586706833681092,0.6823716096369026,0.8481576496669732
llava_1_5_7b,all,gross,prompt,1,23,11976,0.7245591949500482,0.6967810969435959,0.6149983574377984,0.8033880068196595
llava_1_5_7b,all,gross,prompt,1,24,11976,0.4927933239464571,0.4817602982511744,0.42724876855390903,0.5429367715787521
llava_1_5_7b,all,gross,prompt,1,25,11976,0.7733199815094,0.7451601110151387,0.5431744966117549,0.9684015424027166
llava_1_5_7b,all,gross,prompt,1,26,11976,0.894857786769759,0.8918978844740195,0.8362966516433517,0.9527335159946233
llava_1_5_7b,all,gross,prompt,1,27,11976,0.7207503135141056,0.6150023794034496,0.4959072968485998,0.8495539455543621
llava_1_5_7b,all,gross,prompt,1,28,11976,0.7047969153851703,0.7026830834292923,0.6545449305704096,0.750838973421196
llava_1_5_7b,all,gross,prompt,1,29,11976,1.4207468781506403,1.36648771520413,1.1909575348472572,1.5771056923113065
