model,variant,seed,AUROC,HALL_AUPR
internvl_2_5_8b,raw_js_attention32,43,0.8686062290704546,0.610825384565738
internvl_2_5_8b,raw_js_attention32,44,0.8692847293659305,0.6190807216532305
internvl_2_5_8b,raw_js_attention32,45,0.8692245398235898,0.6136896717786628
internvl_2_5_8b,norm_js_attention32,43,0.8558952920834337,0.5800410493780698
internvl_2_5_8b,norm_js_attention32,44,0.8610825362778787,0.5819739833259729
internvl_2_5_8b,norm_js_attention32,45,0.8616406574886734,0.590756968754097
internvl_2_5_8b,raw_js_union32,43,0.8741217798594848,0.6290314896579385
internvl_2_5_8b,raw_js_union32,44,0.8731915778414936,0.6360607159243955
internvl_2_5_8b,raw_js_union32,45,0.8723106218126903,0.6256158735129437
internvl_2_5_8b,norm_js_union32,43,0.872217601610891,0.6117812319750673
internvl_2_5_8b,norm_js_union32,44,0.8693941648974589,0.6130368233517411
internvl_2_5_8b,norm_js_union32,45,0.8687375517082887,0.6052048192352502
internvl_2_5_8b,raw_full_product,43,0.8905097507058592,0.6482514400094227
internvl_2_5_8b,raw_full_product,44,0.8882936811924096,0.6269008576068804
internvl_2_5_8b,raw_full_product,45,0.8904495611635186,0.6518903049662408
internvl_2_5_8b,norm_full_product,43,0.8818534001619647,0.6195584527054604
internvl_2_5_8b,norm_full_product,44,0.883987393026768,0.6311851121681974
internvl_2_5_8b,norm_full_product,45,0.8849394821510648,0.6368833628028939
