model,seed,bn_was_already_disabled,reused_training,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,42,False,False,21,0.8828617685606353,0.4110463946150286
qwen2_5_vl_7b,43,False,False,28,0.8820908179785675,0.42430321283064454
qwen2_5_vl_7b,44,False,False,31,0.8791149487317864,0.41069630610551455
