model,support,comparison,metric,difference,low,high,valid_replicates,test_images,images_with_mentions
llava_1_5_7b,PVG,S minus I,AUROC,0.0012422846299067203,-0.005923248708918744,0.0077118008620297735,2000,400,398
llava_1_5_7b,PVG,S minus I,HALL_AUPR,0.020608110035952865,-0.005084110100212852,0.04340047735247575,2000,400,398
llava_1_5_7b,PVG,I+S minus I,AUROC,0.004058618879465681,-0.0014117263941641172,0.009259997549823389,2000,400,398
llava_1_5_7b,PVG,I+S minus I,HALL_AUPR,0.01858424388552804,0.0008763183505970497,0.03647670377556178,2000,400,398
llava_1_5_7b,PVG,I+S minus S,AUROC,0.0028163342495589605,-0.0013341172433316423,0.007148662378399831,2000,400,398
llava_1_5_7b,PVG,I+S minus S,HALL_AUPR,-0.0020238661504248245,-0.013926450935566919,0.011096228516733194,2000,400,398
llava_1_5_7b,ALL,S minus I,AUROC,0.006107899430374819,-0.004662135694750005,0.01638859135537669,2000,400,398
llava_1_5_7b,ALL,S minus I,HALL_AUPR,0.012660768597727357,-0.020324496458938128,0.04633266264017287,2000,400,398
llava_1_5_7b,ALL,I+S minus I,AUROC,0.017634898742390437,0.008732126901343345,0.027009487250111108,2000,400,398
llava_1_5_7b,ALL,I+S minus I,HALL_AUPR,0.03610619540587534,0.00795727492177869,0.06560384322986401,2000,400,398
llava_1_5_7b,ALL,I+S minus S,AUROC,0.011526999312015618,0.004452983055146862,0.018903065614910033,2000,400,398
llava_1_5_7b,ALL,I+S minus S,HALL_AUPR,0.023445426808147984,0.000235065369199386,0.04295035410333766,2000,400,398
