model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,amp_mean,REAL,1,7801,7801,0,1.0613302612077231,0.9365461310833566,1.0627804245035473,1.1523724696901103
qwen2_5_vl_7b,all,amp_mean,REAL,2,7801,7801,0,0.5234517165147357,0.43115813597083574,0.5034139330424843,0.601843712317429
qwen2_5_vl_7b,all,amp_mean,REAL,3,7801,7801,0,0.4207440449258881,0.3552851828595342,0.39870902987719214,0.46179696280379234
qwen2_5_vl_7b,all,amp_mean,REAL,4,7801,7801,0,0.46852396013322933,0.42408913199733567,0.47415351091994545,0.5069118889120202
qwen2_5_vl_7b,all,amp_mean,REAL,5,7801,7801,0,0.6420832616557768,0.5773328657047733,0.6384601662854866,0.7057378551380893
qwen2_5_vl_7b,all,amp_mean,REAL,6,7801,7801,0,0.6418494505209023,0.5760254262253398,0.6337280577258885,0.6996971114593434
qwen2_5_vl_7b,all,amp_mean,REAL,7,7801,7801,0,0.7183196097445063,0.6646881453225436,0.6945104358541435,0.7540359641708806
qwen2_5_vl_7b,all,amp_mean,REAL,8,7801,7801,0,0.8118028563929416,0.7507628888597874,0.796611619550809,0.8544732377493226
qwen2_5_vl_7b,all,amp_mean,REAL,9,7801,7801,0,0.7259715735124619,0.667880550237268,0.7055202491013124,0.7752637897116702
qwen2_5_vl_7b,all,amp_mean,REAL,10,7801,7801,0,0.8840469771094577,0.8226033322941567,0.8702894828210582,0.9387060863824951
qwen2_5_vl_7b,all,amp_mean,REAL,11,7801,7801,0,0.662014580432236,0.6307127764207434,0.6560070320706367,0.6848707023777064
qwen2_5_vl_7b,all,amp_mean,REAL,12,7801,7801,0,0.6716530903933923,0.6343251906809906,0.6651712929285456,0.6998724334701023
qwen2_5_vl_7b,all,amp_mean,REAL,13,7801,7801,0,0.6923050854917286,0.6544855964702668,0.6810681674907527,0.7138585766937908
qwen2_5_vl_7b,all,amp_mean,REAL,14,7801,7801,0,0.6776587059014125,0.6460701716522743,0.6704073121964973,0.7026737878320302
qwen2_5_vl_7b,all,amp_mean,REAL,15,7801,7801,0,0.6218680187731049,0.5921554602910388,0.6133286731817158,0.6427755236619085
qwen2_5_vl_7b,all,amp_mean,REAL,16,7801,7801,0,0.6140381755400999,0.579480057492208,0.6069606363519497,0.6339586736688744
qwen2_5_vl_7b,all,amp_mean,REAL,17,7801,7801,0,0.6035024642518897,0.5696350579540072,0.5995322485127886,0.6282686529945916
qwen2_5_vl_7b,all,amp_mean,REAL,18,7801,7801,0,0.5758567768743102,0.5423847987170985,0.5671035682695077,0.5954581069587751
qwen2_5_vl_7b,all,amp_mean,REAL,19,7801,7801,0,0.5902635658681558,0.5557321622630825,0.5773120602987712,0.6079190189772421
qwen2_5_vl_7b,all,amp_mean,REAL,20,7801,7801,0,0.5228770464590967,0.49661829178021144,0.5184312802039266,0.5432021925197338
qwen2_5_vl_7b,all,amp_mean,REAL,21,7801,7801,0,0.5709610206593124,0.5386222202290697,0.5669764188500718,0.5949404042254349
qwen2_5_vl_7b,all,amp_mean,REAL,22,7801,7801,0,0.5236114600484756,0.4915562880538396,0.517857041512483,0.5483566749166738
qwen2_5_vl_7b,all,amp_mean,REAL,23,7801,7801,0,0.5273402264175686,0.5031926344959572,0.5241137583568185,0.5465280536889565
qwen2_5_vl_7b,all,amp_mean,REAL,24,7801,7801,0,0.4828726472257961,0.4383654105574319,0.4770936328937712,0.5218249016120939
qwen2_5_vl_7b,all,amp_mean,REAL,25,7801,7801,0,0.42493580631324274,0.39348935368975485,0.4201568280233548,0.44844802358383445
qwen2_5_vl_7b,all,amp_mean,REAL,26,7801,7801,0,0.39053480271179325,0.35600600855624526,0.38208739838411243,0.41616402072942044
qwen2_5_vl_7b,all,amp_mean,REAL,27,7801,7801,0,0.42374486209746415,0.38765881869378577,0.4201840045979992,0.45248374527899893
qwen2_5_vl_7b,all,amp_mean,REAL,28,7801,7801,0,0.7615795540477239,0.6392631135200942,0.7113180765605626,0.8554809105518554
qwen2_5_vl_7b,all,amp_mean,HALL,1,916,916,0,1.0254974936201044,0.8831718563931545,1.0027202372898945,1.1333509550656855
qwen2_5_vl_7b,all,amp_mean,HALL,2,916,916,0,0.49075840638533536,0.4059959417586532,0.46733173819185936,0.5496661674487096
qwen2_5_vl_7b,all,amp_mean,HALL,3,916,916,0,0.4282958742045559,0.36657949615756363,0.4068622506503142,0.4718290002144524
qwen2_5_vl_7b,all,amp_mean,HALL,4,916,916,0,0.4672112340209024,0.4258713626113127,0.4694478503869244,0.5083893305576157
qwen2_5_vl_7b,all,amp_mean,HALL,5,916,916,0,0.6176364916890302,0.5526576744965226,0.6135848282115928,0.6701689942124616
qwen2_5_vl_7b,all,amp_mean,HALL,6,916,916,0,0.6243776924467631,0.5725821550247574,0.6251228217157921,0.6743242165839766
qwen2_5_vl_7b,all,amp_mean,HALL,7,916,916,0,0.7233528651598351,0.6700058037078478,0.7045629143667842,0.7516211154252365
qwen2_5_vl_7b,all,amp_mean,HALL,8,916,916,0,0.8267383561807776,0.7644321522930498,0.8172665093767666,0.8678464283549989
qwen2_5_vl_7b,all,amp_mean,HALL,9,916,916,0,0.7348405041630561,0.6740882565580586,0.7304527165501218,0.7842819258494804
qwen2_5_vl_7b,all,amp_mean,HALL,10,916,916,0,0.8848015671839768,0.8169138996838196,0.8718674536471249,0.9367840777813349
qwen2_5_vl_7b,all,amp_mean,HALL,11,916,916,0,0.6502456036351637,0.6170203075846021,0.6483322332005752,0.6799395991738839
qwen2_5_vl_7b,all,amp_mean,HALL,12,916,916,0,0.6806340262570847,0.6520994287948381,0.6769258498774153,0.7043934667399833
qwen2_5_vl_7b,all,amp_mean,HALL,13,916,916,0,0.6962848231199223,0.6689279113344894,0.6902789833431137,0.7169245763689795
qwen2_5_vl_7b,all,amp_mean,HALL,14,916,916,0,0.6828144903559714,0.6574874412058844,0.6819339792760408,0.7069490986289493
qwen2_5_vl_7b,all,amp_mean,HALL,15,916,916,0,0.6272207950436541,0.6010045539930924,0.6246711116942723,0.648889006595306
qwen2_5_vl_7b,all,amp_mean,HALL,16,916,916,0,0.6019473160146391,0.5716777266884074,0.5952307347528183,0.6205496635923282
qwen2_5_vl_7b,all,amp_mean,HALL,17,916,916,0,0.5919508999030717,0.5627028270927362,0.5884756967981736,0.6140606706677287
qwen2_5_vl_7b,all,amp_mean,HALL,18,916,916,0,0.5703342538675648,0.5415384898994178,0.564397845053662,0.5937433882953016
qwen2_5_vl_7b,all,amp_mean,HALL,19,916,916,0,0.5951960048391866,0.5620157729958184,0.5872483120254677,0.6169126477930349
