model,left,right,AUROC_delta,HALL_AUPR_delta
minigpt4_7b,gated_raw_prompt,attention_raw_prompt,-0.018033441970578323,-0.025810430539312534
minigpt4_7b,gated_raw_generation,attention_raw_generation,0.004526065151196468,0.033019041099631385
minigpt4_7b,gated_raw_visual,attention_raw_visual,0.0033771484086005943,0.04532260766823604
minigpt4_7b,gated_raw_concat,attention_raw_concat,0.002743187782787815,0.011331934992399262
minigpt4_7b,gated_raw_visual_prompt_sum,attention_raw_visual_prompt_sum,0.0019782978607417734,0.02239685365746824
minigpt4_7b,gated_log1p_prompt,attention_log1p_prompt,-0.018445698899609675,-0.03951241100982539
minigpt4_7b,gated_log1p_generation,attention_log1p_generation,0.0065739648311256005,0.03841088591154862
minigpt4_7b,gated_log1p_visual,attention_log1p_visual,0.0008067483587598234,0.041626348619808295
minigpt4_7b,gated_log1p_concat,attention_log1p_concat,0.004857038836841632,0.016686153561839334
minigpt4_7b,gated_log1p_visual_prompt_sum,attention_log1p_visual_prompt_sum,0.0006814164116223376,0.02247849440234484
minigpt4_7b,attention_log1p_prompt,attention_raw_prompt,-0.002643408951086057,-0.0010205498339972419
minigpt4_7b,attention_log1p_generation,attention_raw_generation,-0.00045411536574557765,-0.002280069074616642
minigpt4_7b,attention_log1p_visual,attention_raw_visual,0.002372059201457888,0.0027572930199359913
minigpt4_7b,attention_log1p_concat,attention_raw_concat,-0.0021235855742198773,-0.003929503745608631
minigpt4_7b,attention_log1p_visual_prompt_sum,attention_raw_visual_prompt_sum,0.0018731650429485436,0.005428122674946634
minigpt4_7b,gated_log1p_prompt,gated_raw_prompt,-0.0030556658801174086,-0.014722530304510095
minigpt4_7b,gated_log1p_generation,gated_raw_generation,0.001593784314183555,0.0031117757373005928
minigpt4_7b,gated_log1p_visual,gated_raw_visual,-0.00019834084838288302,-0.00093896602849175
minigpt4_7b,gated_log1p_concat,gated_raw_concat,-9.734520166060356e-06,0.001424714823831441
minigpt4_7b,gated_log1p_visual_prompt_sum,gated_raw_visual_prompt_sum,0.0005762835938291078,0.005509763419823233
minigpt4_7b,attention_raw_concat,attention_raw_prompt,0.013960032007102274,0.04553069381256769
minigpt4_7b,attention_log1p_concat,attention_log1p_prompt,0.014479855383968454,0.0426217399009563
minigpt4_7b,gated_raw_concat,gated_raw_visual,0.02108180696057138,0.05293379352397276
minigpt4_7b,gated_log1p_concat,gated_log1p_visual,0.021270413288788204,0.05529747437629595
shikra_7b,gated_raw_prompt,attention_raw_prompt,-0.00677791408437578,-0.03438081959007422
shikra_7b,gated_raw_generation,attention_raw_generation,-0.0010486703599591474,-0.002312539600719421
shikra_7b,gated_raw_visual,attention_raw_visual,-0.007437442806025318,-0.01241759348327176
shikra_7b,gated_raw_concat,attention_raw_concat,0.010422831286679535,0.022805929378889145
shikra_7b,gated_raw_visual_prompt_sum,attention_raw_visual_prompt_sum,-0.017749310932474116,-0.02430615561299576
shikra_7b,gated_log1p_prompt,attention_log1p_prompt,-0.006013501202785876,-0.03197844512532111
shikra_7b,gated_log1p_generation,attention_log1p_generation,-0.0002626813083239643,-0.0018887948250873032
shikra_7b,gated_log1p_visual,attention_log1p_visual,-0.009906373121160827,-0.011389846940857096
shikra_7b,gated_log1p_concat,attention_log1p_concat,0.010598522957044887,0.02434120856780575
shikra_7b,gated_log1p_visual_prompt_sum,attention_log1p_visual_prompt_sum,-0.01375763385444928,-0.0177969635544708
shikra_7b,attention_log1p_prompt,attention_raw_prompt,-0.0005400035891787169,0.0002284668334338047
shikra_7b,attention_log1p_generation,attention_raw_generation,-0.0019473349662728623,-0.004372790937071769
shikra_7b,attention_log1p_visual,attention_raw_visual,0.0025518958261414593,-1.5255972377614668e-05
shikra_7b,attention_log1p_concat,attention_raw_concat,-0.0009756367367516061,0.00028666987944347966
shikra_7b,attention_log1p_visual_prompt_sum,attention_raw_visual_prompt_sum,-0.00160853772473446,-0.0036985330719954135
shikra_7b,gated_log1p_prompt,gated_raw_prompt,0.00022440929241118734,0.0026308412981869145
shikra_7b,gated_log1p_generation,gated_raw_generation,-0.0011613459146376792,-0.003949046161439651
shikra_7b,gated_log1p_visual,gated_raw_visual,8.296551100595018e-05,0.0010124905700370501
shikra_7b,gated_log1p_concat,gated_raw_concat,-0.000799945066386254,0.0018219490683600847
shikra_7b,gated_log1p_visual_prompt_sum,gated_raw_visual_prompt_sum,0.0023831393532903755,0.002810658986529546
shikra_7b,attention_raw_concat,attention_raw_generation,-0.0005215097291403348,-0.004327327508577339
shikra_7b,attention_log1p_concat,attention_log1p_generation,0.0004501885003809214,0.00033213330793790963
shikra_7b,gated_raw_concat,gated_raw_generation,0.010949991917498347,0.020791141471031227
shikra_7b,gated_log1p_concat,gated_log1p_generation,0.011311392765749773,0.026562136700830963
qwen2_5_vl_7b,gated_raw_prompt,attention_raw_prompt,0.00940732666118671,0.03345093309062708
qwen2_5_vl_7b,gated_raw_generation,attention_raw_generation,0.004915916138386378,0.03073283208364358
qwen2_5_vl_7b,gated_raw_visual,attention_raw_visual,0.010420378151013487,0.026530277713972594
qwen2_5_vl_7b,gated_raw_concat,attention_raw_concat,0.02941729842744767,0.07261724467136976
qwen2_5_vl_7b,gated_raw_visual_prompt_sum,attention_raw_visual_prompt_sum,0.023868151613180344,0.0995182479587498
qwen2_5_vl_7b,gated_log1p_prompt,attention_log1p_prompt,0.008457186668407113,0.030312477724463827
qwen2_5_vl_7b,gated_log1p_generation,attention_log1p_generation,0.016078297179801027,0.04933151250359641
qwen2_5_vl_7b,gated_log1p_visual,attention_log1p_visual,0.0055409154034391506,0.020128969015478393
qwen2_5_vl_7b,gated_log1p_concat,attention_log1p_concat,0.03464600817731878,0.08393523571254824
qwen2_5_vl_7b,gated_log1p_visual_prompt_sum,attention_log1p_visual_prompt_sum,0.021957876343043026,0.08774041201908006
qwen2_5_vl_7b,attention_log1p_prompt,attention_raw_prompt,-0.000502116060540958,0.0011911160417899525
qwen2_5_vl_7b,attention_log1p_generation,attention_raw_generation,-0.004821842871774784,-0.008422041650359702
qwen2_5_vl_7b,attention_log1p_visual,attention_raw_visual,0.005262811309017623,0.008577314006821268
qwen2_5_vl_7b,attention_log1p_concat,attention_raw_concat,0.00033807580188638386,0.00014769998130881312
