model,group,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen3_vl_8b,visual,32,43,27,0.886748438558206,0.6370612522581175,0.8994446280991737,0.6741238415105628
qwen3_vl_8b,visual,32,44,39,0.8882071348773132,0.6410627780375251,0.8972396694214877,0.6798538946328558
qwen3_vl_8b,visual,32,45,46,0.8877758933067835,0.6417142311019526,0.899804958677686,0.6772385070218928
qwen3_vl_8b,visual,64,43,50,0.8915731345184277,0.6454780422854758,0.899996694214876,0.6830244154685483
qwen3_vl_8b,visual,64,44,41,0.8902070538386287,0.6397052735590374,0.8990479338842976,0.6787513028325886
qwen3_vl_8b,visual,64,45,59,0.8905398912923934,0.6395720692371081,0.8996727272727272,0.6802619277877482
qwen3_vl_8b,visual,128,43,49,0.889865533668679,0.6378010834693955,0.8985090909090909,0.6804139227358598
qwen3_vl_8b,visual,128,44,50,0.8900333995149257,0.6488659554436568,0.9011603305785124,0.6878231752130655
qwen3_vl_8b,visual,128,45,61,0.8921259341155494,0.6493258357527445,0.8994280991735536,0.6785011600977052
qwen3_vl_8b,visual,256,43,82,0.8909132480883554,0.6480260192373493,0.8999603305785124,0.6756720167985968
qwen3_vl_8b,visual,256,44,71,0.8875675081183397,0.6379295593315353,0.898995041322314,0.6781403224965613
qwen3_vl_8b,visual,256,45,65,0.8893329937426558,0.6461037353663616,0.9008826446280992,0.6768537188588437
qwen3_vl_8b,visual,512,43,88,0.8868511840330637,0.641872217595373,0.8984528925619835,0.6767972648489056
qwen3_vl_8b,visual,512,44,105,0.8875009406275867,0.6425785999969527,0.9013818181818182,0.6782016131079837
qwen3_vl_8b,visual,512,45,81,0.8880537402247087,0.6424668642673536,0.9001719008264463,0.67832182621655
qwen3_vl_8b,vp_generation,32,43,28,0.9032687532198405,0.6839723254484711,0.9284727272727273,0.7168936338617178
qwen3_vl_8b,vp_generation,32,44,34,0.9045798433638,0.6757780258323685,0.9310479338842975,0.7182608948123045
qwen3_vl_8b,vp_generation,32,45,32,0.9028809252302368,0.6612933069402764,0.9267471074380164,0.7087547524408543
qwen3_vl_8b,vp_generation,64,43,36,0.8998506572816152,0.6783670468587313,0.929897520661157,0.7252852965981825
qwen3_vl_8b,vp_generation,64,44,45,0.9040357264828632,0.6703240537103199,0.9300595041322313,0.71387150417584
qwen3_vl_8b,vp_generation,64,45,45,0.904698507151664,0.6818576269098506,0.932089256198347,0.7247848087520351
qwen3_vl_8b,vp_generation,128,43,26,0.899407838756172,0.6708986440993158,0.9260462809917355,0.712292395249102
qwen3_vl_8b,vp_generation,128,44,38,0.902906973378792,0.6772474617318139,0.9310909090909091,0.7222976066333465
qwen3_vl_8b,vp_generation,128,45,45,0.904258582864949,0.6720158852471898,0.9328793388429752,0.7275433699152266
qwen3_vl_8b,vp_generation,256,43,46,0.9023165486782012,0.6777761188394905,0.9304694214876033,0.7200289043130162
qwen3_vl_8b,vp_generation,256,44,40,0.9032050799678161,0.6697176218119548,0.9301421487603305,0.7190254387496934
qwen3_vl_8b,vp_generation,256,45,38,0.9015408926989935,0.6688683439084347,0.9281223140495869,0.7213512087966502
qwen3_vl_8b,vp_generation,512,43,74,0.8996943683902823,0.6735716631832878,0.9297289256198348,0.71903619452729
qwen3_vl_8b,vp_generation,512,44,69,0.90440040056264,0.6795932544791963,0.9304264462809917,0.7224115571562472
qwen3_vl_8b,vp_generation,512,45,67,0.9024902030019044,0.6738892591625743,0.9289950413223139,0.7214180297102659
