model,feature,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
qwen2_5_vl_7b,S_G,43,28,12,32,0.8114871636728086,0.3425487244246518
qwen2_5_vl_7b,S_G,44,28,9,29,0.8030529643049882,0.32962404515797444
qwen2_5_vl_7b,S_G,45,28,14,34,0.8072160974481535,0.33866127834665166
qwen2_5_vl_7b,S_G_per_position,43,28,45,65,0.8090509598334746,0.3159180168494328
qwen2_5_vl_7b,S_G_per_position,44,28,28,48,0.8010330737799707,0.28685561664129267
qwen2_5_vl_7b,S_G_per_position,45,28,45,65,0.8030221262817053,0.2985797202802541
qwen2_5_vl_7b,position,43,1,22,42,0.7357643975021202,0.2035524611088964
qwen2_5_vl_7b,position,44,1,3,23,0.7357643975021202,0.2035524611088964
qwen2_5_vl_7b,position,45,1,3,23,0.7357643975021202,0.2035524611088964
