model,comparison,metric,difference,low,high,replicates
qwen2_5_vl_7b,S_G_per_position minus S_G,AUROC,-0.0028833551769330557,-0.020861848474853652,0.015631204165166498,2000
qwen2_5_vl_7b,S_G_per_position minus S_G,HALL_AUPR,-0.036493564719432825,-0.08478149091252386,0.008648939622182624,2000
qwen2_5_vl_7b,S_G_per_position minus position,AUROC,0.06860432246293013,0.033070157089514246,0.11083937142206073,2000
qwen2_5_vl_7b,S_G_per_position minus position,HALL_AUPR,0.09689865681476337,0.032665025842123704,0.17216863871126933,2000
qwen2_5_vl_7b,S_G minus position,AUROC,0.07148767763986319,0.030819217487302927,0.11429125907124098,2000
qwen2_5_vl_7b,S_G minus position,HALL_AUPR,0.1333922215341962,0.050117189908163454,0.23206413993068176,2000
