model,feature,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,write_kappa,0.8395960218949964,0.003854321153832786,0.3590264423335876,0.0061695021701272754
qwen2_5_vl_7b,effect_kappa,0.8344023848071339,0.0008537347071398203,0.36125978992608326,0.004004378819759794
qwen2_5_vl_7b,F,0.8828720479017296,0.0023513978710245553,0.42387325944849835,0.008233149455695704
qwen2_5_vl_7b,F_plus_write_kappa,0.8916865828900367,0.0021698785754118754,0.4702028275791951,0.001689172475519865
qwen2_5_vl_7b,F_plus_effect_kappa,0.8896409940122839,0.002562413150450621,0.45538702627918964,0.013204092538161596
llava_1_5_7b,write_kappa,0.8723307998552298,0.0006936870805508404,0.6021356466084739,0.0066790006135738315
llava_1_5_7b,effect_kappa,0.8735111332831202,0.0003193110374914841,0.5989697355867848,0.0003985458937825511
llava_1_5_7b,F,0.8982997655636092,0.0006193532605916839,0.6854632942213019,0.0037150517065220024
llava_1_5_7b,F_plus_write_kappa,0.9047263876254102,0.0012997340531362134,0.6911727455230426,0.00719464172326927
llava_1_5_7b,F_plus_effect_kappa,0.905938511801704,0.0019236487193196087,0.6874093274095058,0.007095124876610545
qwen3_vl_8b,write_kappa,0.8717663911845731,0.0021983120332475133,0.5814231200473877,0.0035975826023090063
qwen3_vl_8b,effect_kappa,0.8756853994490359,0.00042363593011645576,0.5782076075114838,0.0015884485702058616
qwen3_vl_8b,F,0.898537741046832,0.0008278306128614588,0.6783558288140105,0.003270693992660331
qwen3_vl_8b,F_plus_write_kappa,0.9148738292011019,0.0014489758966967424,0.6980174969736205,0.005441883533698252
qwen3_vl_8b,F_plus_effect_kappa,0.919273829201102,0.0020597019274253923,0.7192143223862585,0.006621884434845597
internvl_2_5_8b,write_kappa,0.8543695777906305,0.0014713855877455195,0.5147829906233471,0.006488635494527859
internvl_2_5_8b,effect_kappa,0.8536755349913244,0.001980579579157639,0.48701013273061716,0.0035999883843231967
internvl_2_5_8b,F,0.8624108347792557,0.0037432237450266913,0.5385904754675755,0.0035292282152722815
internvl_2_5_8b,F_plus_write_kappa,0.8796751494119915,0.001951772343124606,0.5732316581177065,0.0016968761928183524
internvl_2_5_8b,F_plus_effect_kappa,0.8817167919799499,0.0010006656591641863,0.5684684598588124,0.002200650632430781
