model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,write_kappa,43,28,21,41,0.8166770525003895,0.37164898417243053,0.8371289800323798,0.3669645062140133
qwen2_5_vl_7b,write_kappa,44,28,23,43,0.8152360180713507,0.3591063444023492,0.8366201526482152,0.3519214110449184
qwen2_5_vl_7b,write_kappa,45,28,30,50,0.8206755984836684,0.3721563098637784,0.8450389330043944,0.358193409741831
qwen2_5_vl_7b,F_plus_write_kappa,43,84,21,41,0.8769148880926416,0.4442080667337863,0.8947035695011949,0.4700364241575369
qwen2_5_vl_7b,F_plus_write_kappa,44,84,22,42,0.8813807965934466,0.4690828373646939,0.8906637884511601,0.46822224928623835
qwen2_5_vl_7b,F_plus_write_kappa,45,84,17,37,0.8750194734382302,0.45178529890077385,0.889692390717755,0.47234980929381
llava_1_5_7b,write_kappa,43,32,39,59,0.8878139133801454,0.6850204512415623,0.8732771859807689,0.5939446888353308
llava_1_5_7b,write_kappa,44,32,25,45,0.8862190486246766,0.6874674766873962,0.8716338488325459,0.610304788694565
llava_1_5_7b,write_kappa,45,32,32,52,0.8867580029213523,0.6816303903463963,0.8720813647523744,0.6021574622955257
llava_1_5_7b,F_plus_write_kappa,43,96,20,40,0.9092752934551152,0.7528568254562852,0.9034050336981931,0.6810603266555542
llava_1_5_7b,F_plus_write_kappa,44,96,33,53,0.9112375270577056,0.7571936887577012,0.9042805020003717,0.6952550233495065
llava_1_5_7b,F_plus_write_kappa,45,96,31,51,0.9095260721890784,0.7507825745909388,0.9064936271776661,0.6972028865640669
qwen3_vl_8b,write_kappa,43,36,44,64,0.8438500321260498,0.5157907366765667,0.8687768595041323,0.577937697601042
qwen3_vl_8b,write_kappa,44,36,52,72,0.8456242004665513,0.5154022434625809,0.874,0.5863756246671107
qwen3_vl_8b,write_kappa,45,36,44,64,0.8479294616137116,0.5165158640796846,0.8725223140495868,0.5799560378740105
qwen3_vl_8b,F_plus_write_kappa,43,108,25,45,0.9079429487661861,0.6857143816470401,0.9129090909090909,0.7025171109348017
qwen3_vl_8b,F_plus_write_kappa,44,108,22,42,0.9028114635007554,0.6712051939345861,0.9153520661157025,0.6903606343948543
qwen3_vl_8b,F_plus_write_kappa,45,108,27,47,0.9035118692730252,0.6683553522581787,0.9163603305785124,0.7011747455912053
internvl_2_5_8b,write_kappa,43,32,51,71,0.8478213507625273,0.5224968735756459,0.8522932330827069,0.5239575203033533
internvl_2_5_8b,write_kappa,44,32,66,86,0.8509655377302436,0.5386159110457998,0.8555263157894737,0.5100389146412554
internvl_2_5_8b,write_kappa,45,32,54,74,0.8463210536739947,0.5228955089720393,0.8552891844997108,0.5103525369254324
internvl_2_5_8b,F_plus_write_kappa,43,96,17,37,0.8728560110913052,0.5634844608722736,0.8769201850780797,0.5714067891282905
internvl_2_5_8b,F_plus_write_kappa,44,96,16,36,0.8742919389978213,0.5716100998932191,0.8809051474840949,0.575493712225206
internvl_2_5_8b,F_plus_write_kappa,45,96,12,32,0.8743909685086155,0.5741927817979835,0.8812001156738,0.572794472999623
