model,variant,seed,AUROC,HALL_AUPR
llava_1_5_7b,ae_logs,43,0.9021629601855975,0.7253571724112514
llava_1_5_7b,ae_logs,44,0.9036828238665466,0.7259054351012034
llava_1_5_7b,ae_logs,45,0.9057717994985119,0.7275734131368189
llava_1_5_7b,raw_top16,43,0.9194405294749776,0.7629818007343778
llava_1_5_7b,raw_top16,44,0.917562460036624,0.7607033539043533
llava_1_5_7b,raw_top16,45,0.9193032730632618,0.7630752133539124
llava_1_5_7b,raw_top32,43,0.9176093280796489,0.7616388849835908
llava_1_5_7b,raw_top32,44,0.9165280153727181,0.7536905804431291
llava_1_5_7b,raw_top32,45,0.9161329847243658,0.757388972716543
llava_1_5_7b,norm_top16,43,0.9191760598036228,0.759398726766094
llava_1_5_7b,norm_top16,44,0.9192999253459029,0.7630959304841339
llava_1_5_7b,norm_top16,45,0.9200933343599665,0.7647021569323238
llava_1_5_7b,norm_top32,43,0.9244554100786377,0.7696245329604154
llava_1_5_7b,norm_top32,44,0.9265845583189103,0.777978553800103
llava_1_5_7b,norm_top32,45,0.9212884694571006,0.7620448513405491
