gate,label,layer,n,mean,std,sem,ci95_low,ci95_high
hpre_raw_logit_gauss,REAL,1,11976,0.06271445979877859,0.038877361850128,0.00035525556773346556,0.06201815888602099,0.06341076071153617
hpre_raw_logit_gauss,REAL,2,11976,0.05801808862509029,0.036593517459972504,0.0003343861363515903,0.05736269179784117,0.058673485452339406
hpre_raw_logit_gauss,REAL,3,11976,0.0841334259438698,0.06298449299346277,0.000575542957442814,0.08300536174728189,0.08526149014045771
hpre_raw_logit_gauss,REAL,4,11976,0.11658873813589674,0.05959366625584971,0.0005445580855165679,0.11552140428828427,0.1176560719835092
hpre_raw_logit_gauss,REAL,5,11976,0.1324213031942551,0.057138563373663416,0.0005221237194292433,0.1313979407041738,0.1334446656843364
hpre_raw_logit_gauss,REAL,6,11976,0.1432269407113446,0.05851748865803134,0.0005347241342065783,0.1421788814082997,0.14427500001438948
hpre_raw_logit_gauss,REAL,7,11976,0.13062402039506418,0.06265679464512679,0.0005725484985278237,0.12950182533794966,0.1317462154521787
hpre_raw_logit_gauss,REAL,8,11976,0.14006134781009894,0.06607368588284097,0.0006037715439910708,0.13887795558387644,0.14124474003632143
hpre_raw_logit_gauss,REAL,9,11976,0.11722895279288748,0.05976287723565209,0.0005461043103588852,0.11615858834458406,0.11829931724119089
hpre_raw_logit_gauss,REAL,10,11976,0.11700688055103273,0.0642638698331634,0.0005872337132941243,0.11585590247297624,0.11815785862908922
hpre_raw_logit_gauss,REAL,11,11976,0.10359146034169436,0.06096962100811817,0.0005571313560120575,0.10249948288391073,0.104683437799478
hpre_raw_logit_gauss,REAL,12,11976,0.09643131237716271,0.056795116544897044,0.0005189853532353124,0.0954141010848215,0.09744852366950392
hpre_raw_logit_gauss,REAL,13,11976,0.09951753650516497,0.05743048363251936,0.0005247912434678485,0.09848894566796798,0.10054612734236196
hpre_raw_logit_gauss,REAL,14,11976,0.09346636913758165,0.05122557746082062,0.0004680917309531518,0.09254890934491347,0.09438382893024982
