model,family,metric,mean,std
qwen2_5_vl_7b,F0,auc,0.8747485010012923,0.0048898875986956095
qwen2_5_vl_7b,F0,hall_aupr,0.4819518720432247,0.01564204436394011
qwen2_5_vl_7b,F1_raw,auc,0.8653182439813688,0.0067247575577929816
qwen2_5_vl_7b,F1_raw,hall_aupr,0.44603059534985817,0.006230618389759607
qwen2_5_vl_7b,F1_log1p,auc,0.8562678077753906,0.003965346769253724
qwen2_5_vl_7b,F1_log1p,hall_aupr,0.4576490849199235,0.005794666736601463
qwen2_5_vl_7b,F2,auc,0.8564089176753086,0.007224031069584517
qwen2_5_vl_7b,F2,hall_aupr,0.4719733124892053,0.004255229595293521
qwen2_5_vl_7b,b1_F3_raw,auc,0.8589694744009003,0.000480902852911385
qwen2_5_vl_7b,b1_F3_raw,hall_aupr,0.4406564153533518,0.002485018335913182
qwen2_5_vl_7b,b1_F3_log1p,auc,0.8497967429483267,0.01088198683993308
qwen2_5_vl_7b,b1_F3_log1p,hall_aupr,0.4153955705368144,0.031643848969175305
qwen2_5_vl_7b,b1_F4,auc,0.8400695671806595,0.006623545485601094
qwen2_5_vl_7b,b1_F4,hall_aupr,0.42780060075659,0.007523835325464086
qwen2_5_vl_7b,b1_F5,auc,0.8460714415904969,0.0022392409470100576
qwen2_5_vl_7b,b1_F5,hall_aupr,0.454221131224754,0.008347098397810745
qwen2_5_vl_7b,b1_F6,auc,0.8558356587068924,0.006142715817361938
qwen2_5_vl_7b,b1_F6,hall_aupr,0.4518155985622338,0.008659384755305966
qwen2_5_vl_7b,b2_F3_raw,auc,0.8616152850243591,0.0031494007361490503
qwen2_5_vl_7b,b2_F3_raw,hall_aupr,0.43579298750952233,0.005860119600851589
qwen2_5_vl_7b,b2_F3_log1p,auc,0.8634655885870314,0.002484928576855866
qwen2_5_vl_7b,b2_F3_log1p,hall_aupr,0.44848699255005053,0.012284229972267163
qwen2_5_vl_7b,b2_F4,auc,0.8614159672907252,0.006160866855852926
qwen2_5_vl_7b,b2_F4,hall_aupr,0.4490217643217447,0.008467078529447307
qwen2_5_vl_7b,b2_F5,auc,0.8683779769779197,0.01384354741332398
