model,family,metric,mean,std
qwen2_5_vl_7b,b2_F5,hall_aupr,0.4817189149262744,0.02418168704812369
qwen2_5_vl_7b,b2_F6,auc,0.8762995339845555,0.006395793728169423
qwen2_5_vl_7b,b2_F6,hall_aupr,0.5117321310785273,0.010214590656226357
qwen2_5_vl_7b,length,auc,0.7233840270648789,0.0009464855154342085
qwen2_5_vl_7b,length,hall_aupr,0.21143901444520755,0.001985987996066008
llava_1_5_7b,F0,auc,0.8954139858037977,0.00199100628494951
llava_1_5_7b,F0,hall_aupr,0.6936133744098911,0.0017150340257450756
llava_1_5_7b,F1_raw,auc,0.895444370684744,0.0009382251969904527
llava_1_5_7b,F1_raw,hall_aupr,0.6692457452105002,0.001461726044538019
llava_1_5_7b,F1_log1p,auc,0.8908354183149259,0.0028033078554821427
llava_1_5_7b,F1_log1p,hall_aupr,0.6581380817720532,0.006145824851142201
llava_1_5_7b,F2,auc,0.8943233132677367,0.003948697781354097
llava_1_5_7b,F2,hall_aupr,0.6748828451440788,0.005046676060465372
llava_1_5_7b,b1_F3_raw,auc,0.8938206605229402,0.0013494464980477808
llava_1_5_7b,b1_F3_raw,hall_aupr,0.6825328708309613,0.007325777445531728
llava_1_5_7b,b1_F3_log1p,auc,0.889405978471299,0.0023313666049446786
llava_1_5_7b,b1_F3_log1p,hall_aupr,0.6653505224287234,0.006824701328686911
llava_1_5_7b,b1_F4,auc,0.8903976831094208,0.0014851023223726694
llava_1_5_7b,b1_F4,hall_aupr,0.66074725236619,0.00699709201233177
llava_1_5_7b,b1_F5,auc,0.8927235251709318,0.0020778137357744
llava_1_5_7b,b1_F5,hall_aupr,0.686858041391042,0.005535932094713419
llava_1_5_7b,b1_F6,auc,0.8985597373511599,0.0003053234871443905
llava_1_5_7b,b1_F6,hall_aupr,0.6968096564144682,0.0011914238356562315
llava_1_5_7b,b2_F3_raw,auc,0.8976798297829324,0.0038733987750750516
llava_1_5_7b,b2_F3_raw,hall_aupr,0.6940893880057416,0.010047186874080629
llava_1_5_7b,b2_F3_log1p,auc,0.8936204096885133,0.002252626094645814
llava_1_5_7b,b2_F3_log1p,hall_aupr,0.679633280581032,0.00995034598414761
llava_1_5_7b,b2_F4,auc,0.8922843430663341,0.0017478813542084332
llava_1_5_7b,b2_F4,hall_aupr,0.6726519228553709,0.008228364833140713
llava_1_5_7b,b2_F5,auc,0.8955501872383885,0.0016986098306423312
llava_1_5_7b,b2_F5,hall_aupr,0.686882535677678,0.00701099497848372
llava_1_5_7b,b2_F6,auc,0.9004037620148089,0.002503030552578672
llava_1_5_7b,b2_F6,hall_aupr,0.7036308760416725,0.005830009092060981
llava_1_5_7b,length,auc,0.8210780980183462,5.014061512690778e-06
llava_1_5_7b,length,hall_aupr,0.532889559528733,1.4551843266273797e-05
qwen3_vl_8b,F0,auc,0.8990429191660055,0.0024511504100927423
qwen3_vl_8b,F0,hall_aupr,0.6692841244026667,0.002208531057597542
qwen3_vl_8b,F1_raw,auc,0.8984198210046337,0.005760987257010132
qwen3_vl_8b,F1_raw,hall_aupr,0.6551660891432683,0.011016798438338492
qwen3_vl_8b,F1_log1p,auc,0.8879942465040128,0.0141352317577167
qwen3_vl_8b,F1_log1p,hall_aupr,0.6233452830862874,0.035796860120064354
qwen3_vl_8b,F2,auc,0.898491083676269,0.0010212348425130149
qwen3_vl_8b,F2,hall_aupr,0.6636881078228326,0.004723860180558144
qwen3_vl_8b,b1_F3_raw,auc,0.9011835006076624,0.0020258100013253563
qwen3_vl_8b,b1_F3_raw,hall_aupr,0.651489905081057,0.008347046048030996
qwen3_vl_8b,b1_F3_log1p,auc,0.8768488418400896,0.008523560205577688
qwen3_vl_8b,b1_F3_log1p,hall_aupr,0.5981500948058266,0.016050910532682747
qwen3_vl_8b,b1_F4,auc,0.8892093136452837,0.002342952746053956
qwen3_vl_8b,b1_F4,hall_aupr,0.6476464966435761,0.0058541994851854465
qwen3_vl_8b,b1_F5,auc,0.9022762377837258,0.002868251028868185
qwen3_vl_8b,b1_F5,hall_aupr,0.6751092965077885,0.009765050485136885
qwen3_vl_8b,b1_F6,auc,0.9075750161820291,0.002051846840995808
qwen3_vl_8b,b1_F6,hall_aupr,0.6897960999903354,0.006321809945448016
qwen3_vl_8b,b2_F3_raw,auc,0.9009796173323167,0.0032243270050073256
qwen3_vl_8b,b2_F3_raw,hall_aupr,0.6448853517825551,0.008602606141440991
qwen3_vl_8b,b2_F3_log1p,auc,0.8792028253977074,0.009451103165478383
qwen3_vl_8b,b2_F3_log1p,hall_aupr,0.6089703283565212,0.01896245924410716
qwen3_vl_8b,b2_F4,auc,0.8903187731089149,0.004925064167094117
qwen3_vl_8b,b2_F4,hall_aupr,0.6330444938019953,0.009200287752229162
qwen3_vl_8b,b2_F5,auc,0.9061221066583518,0.0013977848680957847
qwen3_vl_8b,b2_F5,hall_aupr,0.6836931025437915,0.00850128048681605
qwen3_vl_8b,b2_F6,auc,0.9084234793266216,0.0025110613198149018
qwen3_vl_8b,b2_F6,hall_aupr,0.699491767819454,0.004595682711927528
qwen3_vl_8b,length,auc,0.655782258321782,0.0016300923592084025
qwen3_vl_8b,length,hall_aupr,0.24009872245956665,0.00397452164130998
internvl_2_5_8b,F0,auc,0.8741239243205907,0.0017056776025886017
internvl_2_5_8b,F0,hall_aupr,0.5641410249648707,0.0050654378595408455
internvl_2_5_8b,F1_raw,auc,0.8728408528531094,0.006362921121812068
internvl_2_5_8b,F1_raw,hall_aupr,0.57431783113223,0.025454439074724066
internvl_2_5_8b,F1_log1p,auc,0.8670583528264068,0.003028133383649411
internvl_2_5_8b,F1_log1p,hall_aupr,0.568665689290832,0.01366887644809394
internvl_2_5_8b,F2,auc,0.873992412833029,0.004256132643330282
internvl_2_5_8b,F2,hall_aupr,0.5805382710789891,0.014127308465131399
internvl_2_5_8b,b1_F3_raw,auc,0.875038941641833,0.0018893479945189477
internvl_2_5_8b,b1_F3_raw,hall_aupr,0.5534402364053014,0.01149774300434549
internvl_2_5_8b,b1_F3_log1p,auc,0.8431922444271173,0.019678980934640412
internvl_2_5_8b,b1_F3_log1p,hall_aupr,0.4926440266536445,0.05123920485980906
internvl_2_5_8b,b1_F4,auc,0.8632801234739328,0.002238217605692225
internvl_2_5_8b,b1_F4,hall_aupr,0.5484786551519399,0.014579233802279842
internvl_2_5_8b,b1_F5,auc,0.8681220159576172,0.0029511006414189036
internvl_2_5_8b,b1_F5,hall_aupr,0.5801226594087963,0.012969281867426269
internvl_2_5_8b,b1_F6,auc,0.8768444986808798,0.00364768057227485
internvl_2_5_8b,b1_F6,hall_aupr,0.5911906593461401,0.005947788605150705
internvl_2_5_8b,b2_F3_raw,auc,0.8691543032516938,0.0016368596260465072
internvl_2_5_8b,b2_F3_raw,hall_aupr,0.535331243839552,0.006468525921378541
internvl_2_5_8b,b2_F3_log1p,auc,0.8545992526765147,0.010311478136030396
internvl_2_5_8b,b2_F3_log1p,hall_aupr,0.5059261245576504,0.02817413846696931
internvl_2_5_8b,b2_F4,auc,0.8713325874339994,0.004116822866444565
internvl_2_5_8b,b2_F4,hall_aupr,0.5822636986848853,0.016032757790471093
internvl_2_5_8b,b2_F5,auc,0.875776830123652,0.0014481231652313882
internvl_2_5_8b,b2_F5,hall_aupr,0.6059083549284071,0.010214151078694644
internvl_2_5_8b,b2_F6,auc,0.8806080414712909,0.006391621124019582
internvl_2_5_8b,b2_F6,hall_aupr,0.608411705934666,0.011765723984306259
internvl_2_5_8b,length,auc,0.6989559634562732,0.0001070008011686682
internvl_2_5_8b,length,hall_aupr,0.2589923290074453,9.930578208008987e-05
