model,family,seed,auc,hall_aupr
qwen2_5_vl_7b,F0,43,0.8795803391576446,0.4674429240887588
qwen2_5_vl_7b,F0,44,0.8766170312593706,0.5036676097884053
qwen2_5_vl_7b,F0,45,0.868048132586862,0.47474508225250994
qwen2_5_vl_7b,F1_raw,43,0.870360571071765,0.451336478265503
qwen2_5_vl_7b,F1_raw,44,0.8558139042639885,0.43728531336131055
qwen2_5_vl_7b,F1_raw,45,0.8697802566083529,0.449469994422761
qwen2_5_vl_7b,F1_log1p,43,0.8588601142284641,0.4577021134129318
qwen2_5_vl_7b,F1_log1p,44,0.8506651567907375,0.46471941045367443
qwen2_5_vl_7b,F1_log1p,45,0.8592781523069704,0.4505257308931644
qwen2_5_vl_7b,F2,43,0.8508627106506225,0.475950753821335
qwen2_5_vl_7b,F2,44,0.8666123393551983,0.47389553016324404
qwen2_5_vl_7b,F2,45,0.8517517030201047,0.4660736534830368
qwen2_5_vl_7b,b1_F3_raw,43,0.8584350206549616,0.44229463034898453
qwen2_5_vl_7b,b1_F3_raw,44,0.8588724613447067,0.43714469519943355
qwen2_5_vl_7b,b1_F3_raw,45,0.8596009412030324,0.44252992051163736
qwen2_5_vl_7b,b1_F3_log1p,43,0.8354887870545777,0.37849833063627464
qwen2_5_vl_7b,b1_F3_log1p,44,0.8520427421886849,0.41191373148214155
qwen2_5_vl_7b,b1_F3_log1p,45,0.8618586996017173,0.4557746494920271
qwen2_5_vl_7b,b1_F4,43,0.8371627032423528,0.42358368782085304
qwen2_5_vl_7b,b1_F4,44,0.8492346551803208,0.42144883376544967
qwen2_5_vl_7b,b1_F4,45,0.833811343119305,0.43836928068346726
qwen2_5_vl_7b,b1_F5,43,0.8478270839286408,0.4509692523226224
qwen2_5_vl_7b,b1_F5,44,0.8474760730525952,0.4656745851224388
qwen2_5_vl_7b,b1_F5,45,0.8429111677902543,0.44601955622920075
qwen2_5_vl_7b,b1_F6,43,0.8589483079159126,0.4603879620899211
qwen2_5_vl_7b,b1_F6,44,0.8613030793707909,0.439955556872796
qwen2_5_vl_7b,b1_F6,45,0.8472555888339737,0.4551032767239842
qwen2_5_vl_7b,b2_F3_raw,43,0.8614353699019639,0.4292556226920621
qwen2_5_vl_7b,b2_F3_raw,44,0.8655593067270617,0.4346504741011296
qwen2_5_vl_7b,b2_F3_raw,45,0.8578511784440518,0.4434728657353753
qwen2_5_vl_7b,b2_F3_log1p,43,0.8669157256400217,0.4324411994232884
qwen2_5_vl_7b,b2_F3_log1p,44,0.8611619694708731,0.4622764176373518
qwen2_5_vl_7b,b2_F3_log1p,45,0.8623190706501992,0.45074336058951153
qwen2_5_vl_7b,b2_F4,43,0.8694010237523239,0.45464578224906943
qwen2_5_vl_7b,b2_F4,44,0.8604423089812923,0.45536480560374387
qwen2_5_vl_7b,b2_F4,45,0.8544045691385593,0.43705470511242067
qwen2_5_vl_7b,b2_F5,43,0.8491658641041109,0.44753206328076944
qwen2_5_vl_7b,b2_F5,44,0.8812454359766745,0.49805381344809074
qwen2_5_vl_7b,b2_F5,45,0.874722630852974,0.49957086804996303
qwen2_5_vl_7b,b2_F6,43,0.8809702716718348,0.5163242416433679
qwen2_5_vl_7b,b2_F6,44,0.8806721770082584,0.5212974072488408
qwen2_5_vl_7b,b2_F6,45,0.8672561532735733,0.49757474434337334
