model,family,seed,auc,hall_aupr
qwen2_5_vl_7b,length,43,0.7224474101041745,0.20987296335891303
qwen2_5_vl_7b,length,44,0.7246804742703736,0.2142411574879358
qwen2_5_vl_7b,length,45,0.7230241968200884,0.21020292248877376
llava_1_5_7b,F0,43,0.892663816468374,0.6954896229990257
llava_1_5_7b,F0,44,0.8973121244935129,0.6940063327528874
llava_1_5_7b,F0,45,0.8962660164495063,0.6913441674777604
llava_1_5_7b,F1_raw,43,0.8966022757986448,0.6672902416572867
llava_1_5_7b,F1_raw,44,0.8943043106596528,0.6708039872402104
llava_1_5_7b,F1_raw,45,0.8954265255959343,0.6696430067340036
llava_1_5_7b,F1_log1p,43,0.8939506885214021,0.6666053859181957
llava_1_5_7b,F1_log1p,44,0.8871543141032727,0.6522058081920199
llava_1_5_7b,F1_log1p,45,0.8914012523201027,0.6556030512059441
llava_1_5_7b,F2,43,0.8893246627422906,0.6727034588330455
llava_1_5_7b,F2,44,0.8946666141924596,0.6700868679580478
llava_1_5_7b,F2,45,0.89897866286846,0.6818582086411429
llava_1_5_7b,b1_F3_raw,43,0.8938609807776562,0.6830646703931125
llava_1_5_7b,b1_F3_raw,44,0.895452859159421,0.6912273513259376
llava_1_5_7b,b1_F3_raw,45,0.8921481416317434,0.6733065907738334
llava_1_5_7b,b1_F3_log1p,43,0.8926889925125866,0.6731675164987939
llava_1_5_7b,b1_F3_log1p,44,0.8875012805056969,0.6663446548024882
llava_1_5_7b,b1_F3_log1p,45,0.8880276623956134,0.6565393959848879
llava_1_5_7b,b1_F4,43,0.8924519904412058,0.6660311964088065
llava_1_5_7b,b1_F4,44,0.8897488935562637,0.6653508925660423
llava_1_5_7b,b1_F4,45,0.8889921653307931,0.6508596681237214
llava_1_5_7b,b1_F5,43,0.8906427878157206,0.684357368230543
llava_1_5_7b,b1_F5,44,0.8919669898653401,0.6816834428319933
llava_1_5_7b,b1_F5,45,0.8955607978317348,0.6945333131105895
llava_1_5_7b,b1_F6,43,0.8987104077766775,0.6959965648425078
llava_1_5_7b,b1_F6,44,0.8988348410986478,0.698494246685574
llava_1_5_7b,b1_F6,45,0.8981339631781544,0.6959381577153229
llava_1_5_7b,b2_F3_raw,43,0.8928895327268318,0.6799177547955438
llava_1_5_7b,b2_F3_raw,44,0.8977739746838961,0.7002849488943399
llava_1_5_7b,b2_F3_raw,45,0.9023759819380691,0.7020654603273411
llava_1_5_7b,b2_F3_log1p,43,0.8946055550507485,0.676234199974598
llava_1_5_7b,b2_F3_log1p,44,0.89575149913215,0.6931585879240476
llava_1_5_7b,b2_F3_log1p,45,0.8905041748826419,0.6695070538444504
llava_1_5_7b,b2_F4,43,0.8900993325165106,0.6773518900712335
llava_1_5_7b,b2_F4,44,0.8943778131335609,0.6795210342609571
llava_1_5_7b,b2_F4,45,0.8923758835489309,0.6610828442339222
llava_1_5_7b,b2_F5,43,0.8971761159788011,0.6953332708473918
llava_1_5_7b,b2_F5,44,0.8962686208678733,0.6871482572926708
llava_1_5_7b,b2_F5,45,0.8932058248684913,0.6781660788929713
llava_1_5_7b,b2_F6,43,0.8992402622244162,0.6955457010916174
llava_1_5_7b,b2_F6,44,0.8980902668255555,0.7062749040647918
llava_1_5_7b,b2_F6,45,0.903880756994455,0.7090720229686083
llava_1_5_7b,length,43,0.8210712493626408,0.5328689852591241
llava_1_5_7b,length,44,0.8210831139352008,0.5329002451434204
llava_1_5_7b,length,45,0.8210799307571969,0.5328994481836542
qwen3_vl_8b,F0,43,0.8968198839833414,0.6716494607632565
qwen3_vl_8b,F0,44,0.8978510059613669,0.6663350185431673
qwen3_vl_8b,F0,45,0.9024578675533079,0.6698678939015763
qwen3_vl_8b,F1_raw,43,0.900998397747585,0.6664446139929554
qwen3_vl_8b,F1_raw,44,0.9038235639156701,0.6588354748296011
qwen3_vl_8b,F1_raw,45,0.8904375013506463,0.6402181786072483
qwen3_vl_8b,F1_log1p,43,0.8683266495636253,0.5727516743156115
qwen3_vl_8b,F1_log1p,44,0.894730241202276,0.650171092165212
qwen3_vl_8b,F1_log1p,45,0.9009258487461372,0.6471130827780391
qwen3_vl_8b,F2,43,0.8997484710683844,0.6622337165134426
qwen3_vl_8b,F2,44,0.8984777058462146,0.6587685484848285
qwen3_vl_8b,F2,45,0.8972470741142077,0.6700620584702267
qwen3_vl_8b,b1_F3_raw,43,0.900321531000034,0.6397412269747815
qwen3_vl_8b,b1_F3_raw,44,0.9039806247858263,0.6583573144530888
qwen3_vl_8b,b1_F3_raw,45,0.8992483460371267,0.6563711738153005
qwen3_vl_8b,b1_F3_log1p,43,0.8649268798681151,0.5754635407892975
qwen3_vl_8b,b1_F3_log1p,44,0.8843514891068447,0.6088317121329785
qwen3_vl_8b,b1_F3_log1p,45,0.8812681565453091,0.6101550314952038
qwen3_vl_8b,b1_F4,43,0.8924194783263716,0.6523424976049592
qwen3_vl_8b,b1_F4,44,0.886893405450128,0.6512034228048112
qwen3_vl_8b,b1_F4,45,0.8883150571593516,0.6393935695209579
qwen3_vl_8b,b1_F5,43,0.9042978337176887,0.6889039799046427
qwen3_vl_8b,b1_F5,44,0.8982199253517084,0.6676512865016037
qwen3_vl_8b,b1_F5,45,0.9043109542817804,0.668772623117119
qwen3_vl_8b,b1_F6,43,0.9046733133900758,0.6950352009180849
qwen3_vl_8b,b1_F6,44,0.9090115893170824,0.6809026522065177
qwen3_vl_8b,b1_F6,45,0.9090401458389289,0.693450446846404
qwen3_vl_8b,b2_F3_raw,43,0.9033091606234892,0.6472850223372347
qwen3_vl_8b,b2_F3_raw,44,0.8964200926774903,0.6333565071355377
qwen3_vl_8b,b2_F3_raw,45,0.9032095986959703,0.6540145258748932
qwen3_vl_8b,b2_F3_log1p,43,0.8658464770513616,0.588315633246015
qwen3_vl_8b,b2_F3_log1p,44,0.8854439690169456,0.6341098320105892
qwen3_vl_8b,b2_F3_log1p,45,0.8863180301248151,0.6044855198129593
qwen3_vl_8b,b2_F4,43,0.8964220221722096,0.6386009195571926
qwen3_vl_8b,b2_F4,44,0.8843607506814976,0.6200774369415908
qwen3_vl_8b,b2_F4,45,0.890173546473038,0.6404551249072029
qwen3_vl_8b,b2_F5,43,0.9080136546482299,0.6890625878463004
qwen3_vl_8b,b2_F5,44,0.9056735634525915,0.671692560111365
qwen3_vl_8b,b2_F5,45,0.904679101874234,0.6903241596737091
qwen3_vl_8b,b2_F6,43,0.9112799033091605,0.703951734684751
qwen3_vl_8b,b2_F6,44,0.9051680358361195,0.7013559230084698
qwen3_vl_8b,b2_F6,45,0.9088224988345852,0.6931676457651411
qwen3_vl_8b,length,43,0.6545247422966852,0.23727509603402233
qwen3_vl_8b,length,44,0.6547377585137024,0.2373015472222967
qwen3_vl_8b,length,45,0.6580842741549585,0.24571952412238093
internvl_2_5_8b,F0,43,0.8717756320562255,0.5592357901909025
internvl_2_5_8b,F0,44,0.8748204234002328,0.5620723599096161
internvl_2_5_8b,F0,45,0.8757757175053138,0.5711149247940933
internvl_2_5_8b,F1_raw,43,0.8674444313897226,0.5512439167410085
internvl_2_5_8b,F1_raw,44,0.8817751781079436,0.6097836110927239
internvl_2_5_8b,F1_raw,45,0.8693029490616622,0.5619259655629574
internvl_2_5_8b,F1_log1p,43,0.8705619879730409,0.5509185995295379
internvl_2_5_8b,F1_log1p,44,0.8631739796844794,0.5841753383586745
internvl_2_5_8b,F1_log1p,45,0.8674390908216998,0.5709031299842838
internvl_2_5_8b,F2,43,0.8761115057197484,0.5767549051066954
internvl_2_5_8b,F2,44,0.8680539237153264,0.5654406670541038
internvl_2_5_8b,F2,45,0.8778118090640121,0.5994192410761682
internvl_2_5_8b,b1_F3_raw,43,0.8727849994125376,0.5371866114114379
internvl_2_5_8b,b1_F3_raw,44,0.8774085961782895,0.5619694134261498
internvl_2_5_8b,b1_F3_raw,45,0.874923229334672,0.5611646843783162
internvl_2_5_8b,b1_F3_log1p,43,0.8168245249564743,0.4210768802933234
internvl_2_5_8b,b1_F3_log1p,44,0.8640865492453778,0.538265884408796
internvl_2_5_8b,b1_F3_log1p,45,0.8486656590794996,0.5185893152588141
internvl_2_5_8b,b1_F4,43,0.8604776604039606,0.5374699211186321
internvl_2_5_8b,b1_F4,44,0.865955748053363,0.538885442275438
internvl_2_5_8b,b1_F4,45,0.8634069619644746,0.5690806020617498
internvl_2_5_8b,b1_F5,43,0.8692775813635538,0.5707247430632025
internvl_2_5_8b,b1_F5,44,0.8640711951123121,0.5711811342871478
internvl_2_5_8b,b1_F5,45,0.8710172713969858,0.5984621008760386
internvl_2_5_8b,b1_F6,43,0.8805915747198872,0.5862164440726887
internvl_2_5_8b,b1_F6,44,0.8780414534889932,0.5995520474279384
internvl_2_5_8b,b1_F6,45,0.8719004678337587,0.5878034865377931
internvl_2_5_8b,b2_F3_raw,43,0.8674637909488053,0.5439022985137182
internvl_2_5_8b,b2_F3_raw,44,0.8713690813154887,0.5338143818348378
internvl_2_5_8b,b2_F3_raw,45,0.8686300374907874,0.5282770511701003
internvl_2_5_8b,b2_F3_log1p,43,0.8460073913461436,0.47523804863967667
internvl_2_5_8b,b2_F3_log1p,44,0.8690993399057924,0.5432782204698836
internvl_2_5_8b,b2_F3_log1p,45,0.8486910267776081,0.4992621045633909
internvl_2_5_8b,b2_F4,43,0.8768044444207085,0.5932188102025071
internvl_2_5_8b,b2_F4,44,0.8703189921280028,0.5939780925618551
internvl_2_5_8b,b2_F4,45,0.8668743257532872,0.5595941932902937
internvl_2_5_8b,b2_F5,43,0.8758858667207845,0.6176604029873252
internvl_2_5_8b,b2_F5,44,0.8774933776956518,0.6073062808715051
internvl_2_5_8b,b2_F5,45,0.8739512459545197,0.5927583809263913
internvl_2_5_8b,b2_F6,43,0.875522708095233,0.5951893956303227
internvl_2_5_8b,b2_F6,44,0.8766789410721725,0.6062749313903857
internvl_2_5_8b,b2_F6,45,0.8896224752464672,0.6237707907832893
internvl_2_5_8b,length,43,0.698829347489399,0.2588665722662029
internvl_2_5_8b,length,44,0.6989475075569037,0.25900106507431164
internvl_2_5_8b,length,45,0.6990910353225169,0.2591093496818213
