feature,label,layer,n,mean,std,ci95_low,ci95_high
N,REAL,1,11976,0.055351731975226304,0.015054640466108582,0.055082100513652366,0.05562136343680024
N,HALL,1,3487,0.04929879373609849,0.015192434495750412,0.048794530310035104,0.04980305716216187
N,REAL,2,11976,0.038648938781469216,0.01177425083140963,0.03843805971944458,0.038859817843493856
N,HALL,2,3487,0.03619792634540603,0.011953151213050234,0.03580118038710472,0.03659467230370734
N,REAL,3,11976,0.03295883383583551,0.01327351124643212,0.032721102735869985,0.03319656493580104
N,HALL,3,3487,0.034877912624003825,0.013597002765631578,0.03442660436259855,0.0353292208854091
N,REAL,4,11976,0.03384066192199474,0.014732023067638416,0.033576808599119934,0.03410451524486954
N,HALL,4,3487,0.02760319908344245,0.011912668087902123,0.027207796830746096,0.027998601336138802
N,REAL,5,11976,0.03870146086107586,0.020376838704244817,0.03833650782121745,0.03906641390093428
N,HALL,5,3487,0.030615089689831457,0.015194305293790228,0.03011076416871482,0.031119415210948093
N,REAL,6,11976,0.05346157388984361,0.03251674066708565,0.052879192906954996,0.05404395487273222
N,HALL,6,3487,0.035704719578964275,0.024037035718764352,0.034906888396125046,0.036502550761803504
N,REAL,7,11976,0.10144402865830898,0.06746691682399522,0.10023568340210087,0.10265237391451709
N,HALL,7,3487,0.05097830187660731,0.039858970698620454,0.04965531304756424,0.052301290705650386
N,REAL,8,11976,0.09161701478293002,0.05608379835739527,0.09061254333402592,0.09262148623183412
N,HALL,8,3487,0.04932370619698269,0.032851140887164565,0.048233319474664665,0.05041409291930071
N,REAL,9,11976,0.1019281507049001,0.06010925616128431,0.10085158254444648,0.10300471886535373
N,HALL,9,3487,0.05746189416991133,0.038592048903096095,0.056180956687237014,0.05874283165258564
N,REAL,10,11976,0.13021528730335358,0.06002957040105311,0.1291401463299554,0.13129042827675175
N,HALL,10,3487,0.07696329497531641,0.041951620386440854,0.0755708474494841,0.07835574250114873
N,REAL,11,11976,0.1893335328185116,0.07676126618190338,0.18795872400527644,0.19070834163174674
N,HALL,11,3487,0.11820933143233019,0.0602037312693073,0.11621106447912054,0.12020759838553984
N,REAL,12,11976,0.29412528233286606,0.11783267295274874,0.2920148768468674,0.2962356878188647
