feature,label,layer,n,mean,std,ci95_low,ci95_high
I,REAL,1,11976,0.5339503111087567,0.09935949997961627,0.532170763648884,0.5357298585686293
I,HALL,1,3487,0.43532259966980463,0.06876819700290875,0.4330400631458138,0.4376051361937955
I,REAL,2,11976,0.4871061100358854,0.11285359240429471,0.48508488082537443,0.48912733924639634
I,HALL,2,3487,0.397373465256531,0.07064448083222884,0.39502865159635736,0.39971827891670464
I,REAL,3,11976,0.5216430593244656,0.10138761315904053,0.5198271879734954,0.5234589306754359
I,HALL,3,3487,0.4945260415856326,0.0929778601621664,0.4914399440726546,0.49761213909861063
I,REAL,4,11976,0.47187840170491396,0.1896057256544323,0.4684825272537052,0.4752742761561227
I,HALL,4,3487,0.3435136187903889,0.10383805650310238,0.34006705239955376,0.346960185181224
I,REAL,5,11976,0.5272382162374482,0.25198752789160583,0.5227250718952253,0.531751360579671
I,HALL,5,3487,0.37530413206964774,0.1415528956130235,0.3706057443207335,0.380002519818562
I,REAL,6,11976,0.7232251400868337,0.44407642956940613,0.7152716471405963,0.7311786330330711
I,HALL,6,3487,0.4244185300655545,0.24311987299172774,0.4163489570071223,0.4324881031239867
I,REAL,7,11976,1.4145931176450564,1.0155506593585713,1.3964044130259279,1.4327818222641848
I,HALL,7,3487,0.6134775570129849,0.47211439795267246,0.5978072558593377,0.6291478581666321
I,REAL,8,11976,1.2772037241354077,0.8510464812192767,1.2619613204981308,1.2924461277726846
I,HALL,8,3487,0.5803849664977467,0.41593143526798443,0.5665794759679463,0.5941904570275471
I,REAL,9,11976,1.549356702979562,1.0553401576843016,1.530455360910671,1.5682580450484531
I,HALL,9,3487,0.7358133332659086,0.5649949763396399,0.7170601635512508,0.7545665029805664
I,REAL,10,11976,1.9325048273153052,1.0355915739707051,1.9139571861204205,1.9510524685101898
I,HALL,10,3487,1.0070469610143056,0.6276089768775188,0.9862155233012176,1.0278783987273936
