model,run,group,seed,threshold_rule,threshold,train_images,epochs,config,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
llava_1_5_7b,refit3200,fixed_arch3,45,fixed_0.5,0.5,3200,22,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9001384971811512,0.9686433619404587,0.8985801217038539,0.9089043906442347,0.9037127702978376,0.7108360098120166,0.6740088105726872,0.6473906911142454,0.660431654676259
llava_1_5_7b,refit3200,fixed_arch3,45,train_f1,0.4500036835670471,3200,22,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9001384971811512,0.9686433619404587,0.8836662749706228,0.9257283545342634,0.9042084168336674,0.7108360098120166,0.6947723440134908,0.5811001410437235,0.6328725038402457
llava_1_5_7b,refit3200,fixed_arch3,ensemble,fixed_0.5,0.5,3200,22,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9036570663947268,0.9699872999699747,0.8945891783567135,0.9158801805498564,0.9051094890510949,0.7204406930130696,0.685099846390169,0.6290550070521862,0.6558823529411765
llava_1_5_7b,refit3200,fixed_arch3,ensemble,train_f1,0.4967094361782074,3200,22,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9036570663947268,0.9699872999699747,0.8936,0.9167008617152236,0.9050030382823577,0.7204406930130696,0.6857585139318886,0.6248236953455572,0.6538745387453875
llava_1_5_7b,refit3200,fixed_arch4,43,fixed_0.5,0.5,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8931493958038769,0.966447473622339,0.8854992076069731,0.9171112022979072,0.9010280185446482,0.6898913057114959,0.6752411575562701,0.5923836389280677,0.6311044327573253
llava_1_5_7b,refit3200,fixed_arch4,43,train_f1,0.46747204661369324,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8931493958038769,0.966447473622339,0.8785519657454263,0.926138695116947,0.9017179384738314,0.6898913057114959,0.6880415944540728,0.5599435825105783,0.6174183514774495
llava_1_5_7b,refit3200,fixed_arch4,44,fixed_0.5,0.5,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8966621774210818,0.9661847882755645,0.8895974491829414,0.9158801805498564,0.9025475131419328,0.7140568317305844,0.6781789638932496,0.609308885754584,0.6419019316493314
llava_1_5_7b,refit3200,fixed_arch4,44,train_f1,0.4923776090145111,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8966621774210818,0.9661847882755645,0.887390959555908,0.9183422240459581,0.9026013309134906,0.7140568317305844,0.6810897435897436,0.5994358251057827,0.6376594148537135
llava_1_5_7b,refit3200,fixed_arch4,45,fixed_0.5,0.5,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8951183360891937,0.967505409778323,0.8850437549721559,0.913007796471071,0.8988083215512018,0.6791854276845682,0.6645569620253164,0.5923836389280677,0.6263982102908278
llava_1_5_7b,refit3200,fixed_arch4,45,train_f1,0.5150590538978577,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8951183360891937,0.967505409778323,0.8890675241157556,0.9076733688961839,0.8982741116751269,0.6791854276845682,0.6580547112462006,0.610719322990127,0.6335040234089246
llava_1_5_7b,refit3200,fixed_arch4,ensemble,fixed_0.5,0.5,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8995823091699255,0.9683234892114655,0.888622754491018,0.9134181370537546,0.9008498583569405,0.713883162426304,0.6708268330733229,0.6064880112834978,0.6370370370370371
llava_1_5_7b,refit3200,fixed_arch4,ensemble,train_f1,0.4985933303833008,3200,11,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8995823091699255,0.9683234892114655,0.8879585326953748,0.9138284776364383,0.9007077856420627,0.713883162426304,0.670846394984326,0.6036671368124118,0.635486265775798
llava_1_5_7b,refit3200,fixed_arch5,43,fixed_0.5,0.5,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8964176514744192,0.9682534096075929,0.8863275039745628,0.9150594993844892,0.9004643650312941,0.6904123040656208,0.6714285714285714,0.5966149506346967,0.6318147871545929
llava_1_5_7b,refit3200,fixed_arch5,43,train_f1,0.532861053943634,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8964176514744192,0.9682534096075929,0.8955954323001631,0.9011079195732458,0.8983432194722847,0.6904123040656208,0.6527377521613833,0.6389280677009873,0.6457590876692801
llava_1_5_7b,refit3200,fixed_arch5,44,fixed_0.5,0.5,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9000331629272041,0.9686186696627379,0.8928860145513339,0.906442347148133,0.8996131134188556,0.7030269905030616,0.6607142857142857,0.6262341325811002,0.6430123099203475
llava_1_5_7b,refit3200,fixed_arch5,44,train_f1,0.48730042576789856,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9000331629272041,0.9686186696627379,0.8896911351784998,0.9101354123922856,0.8997971602434077,0.7030269905030616,0.664624808575804,0.61212976022567,0.6372980910425844
llava_1_5_7b,refit3200,fixed_arch5,45,fixed_0.5,0.5,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9004863317230312,0.9690040058292575,0.9129332206255283,0.8863356585966352,0.8994378513429107,0.7003764843106068,0.6448717948717949,0.7094499294781382,0.6756212222968435
llava_1_5_7b,refit3200,fixed_arch5,45,train_f1,0.41249072551727295,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.9004863317230312,0.9690040058292575,0.886408927859705,0.9125974558883874,0.8993125758188435,0.7003764843106068,0.6656200941915228,0.5980253878702397,0.6300148588410104
llava_1_5_7b,refit3200,fixed_arch5,ensemble,fixed_0.5,0.5,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.904047150390113,0.9704388951444802,0.8984088127294981,0.9035699630693476,0.9009819967266776,0.7120976514853289,0.6618705035971223,0.6488011283497884,0.6552706552706553
llava_1_5_7b,refit3200,fixed_arch5,ensemble,train_f1,0.48491427302360535,3200,20,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.904047150390113,0.9704388951444802,0.8945880452342488,0.9089043906442347,0.9016893954813759,0.7120976514853289,0.6686567164179105,0.6318758815232722,0.649746192893401
llava_1_5_7b,refit3200,matched_BN_on,43,fixed_0.5,0.5,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8971891380706354,0.967979746217246,0.893866020984665,0.9089043906442347,0.901322482197355,0.7045745892586153,0.6676646706586826,0.6290550070521862,0.6477850399419027
llava_1_5_7b,refit3200,matched_BN_on,43,train_f1,0.515703558921814,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8971891380706354,0.967979746217246,0.9009009009009009,0.9027492819039803,0.9018241442918631,0.7045745892586153,0.6633522727272727,0.6586741889985895,0.6610049539985846
llava_1_5_7b,refit3200,matched_BN_on,44,fixed_0.5,0.5,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8953139568465239,0.9673995477616106,0.8831628638867034,0.9212146081247435,0.9017875075316328,0.7018034207662733,0.6821192052980133,0.5811001410437235,0.6275704493526276
llava_1_5_7b,refit3200,matched_BN_on,44,train_f1,0.544537365436554,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8953139568465239,0.9673995477616106,0.8966074313408724,0.9109560935576528,0.9037248117239975,0.7018034207662733,0.6761194029850747,0.6389280677009873,0.6569978245105149
llava_1_5_7b,refit3200,matched_BN_on,45,fixed_0.5,0.5,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8940719386653687,0.9669491631215331,0.8897292993630573,0.9171112022979072,0.9032127702566175,0.6906227343635135,0.6813880126182965,0.609308885754584,0.6433358153387937
llava_1_5_7b,refit3200,matched_BN_on,45,train_f1,0.5006716251373291,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.8940719386653687,0.9669491631215331,0.8897292993630573,0.9171112022979072,0.9032127702566175,0.6906227343635135,0.6813880126182965,0.609308885754584,0.6433358153387937
llava_1_5_7b,refit3200,matched_BN_on,ensemble,fixed_0.5,0.5,3200,49,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0}",0.897843715220163,0.9682850188761747,0.888405223585279,0.9212146081247435,0.9045124899274778,0.7055343111472799,0.6898222940226171,0.6022566995768688,0.6430722891566265
