model,seed,standardization_was_already_enabled,reused_training,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,42,False,False,15,0.8822295890833397,0.4348301901095947
qwen2_5_vl_7b,43,False,True,26,0.8844961837946188,0.43760865797023407
qwen2_5_vl_7b,44,False,False,23,0.8796546141392336,0.4268395049597427
