model,classifier,ae_group,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen2_5_vl_7b,three_hidden,visual,svar,-0.2636650990671452,-4.083698057077068
qwen2_5_vl_7b,three_hidden,visual_prompt_sum,svar,-0.26392208259451433,-3.3109060190287587
qwen2_5_vl_7b,three_hidden,generation,svar,-4.4566083314059535,-8.11760454763264
qwen2_5_vl_7b,three_hidden,vp_generation,svar,0.8778557294477629,3.4957842969417507
qwen2_5_vl_7b,three_hidden,legacy_visual,svar,-0.7925371983655838,-6.127886105458008
qwen2_5_vl_7b,one_hidden,visual,svar,-4.756251124302901,-13.655293226549054
qwen2_5_vl_7b,one_hidden,visual_prompt_sum,svar,-5.015290519877668,-12.88020588638885
qwen2_5_vl_7b,one_hidden,generation,svar,-6.16452085421324,-16.810801533383014
qwen2_5_vl_7b,one_hidden,vp_generation,svar,-3.0565620743710276,-8.921777261419727
qwen2_5_vl_7b,one_hidden,legacy_visual,svar,-4.115848174132031,-12.885693401109243
qwen2_5_vl_7b,xgb,visual,svar,-0.932850204301916,-3.599399248703339
qwen2_5_vl_7b,xgb,visual_prompt_sum,svar,-1.1163364428340095,1.2503907046194418
qwen2_5_vl_7b,xgb,generation,svar,-5.035849202066145,-9.44820312654564
qwen2_5_vl_7b,xgb,vp_generation,svar,0.052424639580594956,4.009898674519841
qwen2_5_vl_7b,xgb,legacy_visual,svar,-1.7701025364274203,-5.546451183280943
qwen2_5_vl_7b,three_hidden,visual,metatoken,9.36396576979417,17.051646555228434
qwen2_5_vl_7b,three_hidden,visual_prompt_sum,metatoken,9.3637087862668,17.824438593276742
qwen2_5_vl_7b,three_hidden,generation,metatoken,5.171022537455361,13.01774006467286
qwen2_5_vl_7b,three_hidden,vp_generation,metatoken,10.505486598309076,24.631128909247252
qwen2_5_vl_7b,three_hidden,legacy_visual,metatoken,8.83509367049573,15.007458506847493
qwen2_5_vl_7b,one_hidden,visual,metatoken,4.128440366972508,5.125132148413619
qwen2_5_vl_7b,one_hidden,visual_prompt_sum,metatoken,3.8694009713977406,5.900219488573821
qwen2_5_vl_7b,one_hidden,generation,metatoken,2.720170637062169,1.9696238415796596
qwen2_5_vl_7b,one_hidden,vp_generation,metatoken,5.828129416904382,9.858648113542944
qwen2_5_vl_7b,one_hidden,legacy_visual,metatoken,4.768843317143379,5.894731973853428
qwen2_5_vl_7b,xgb,visual,metatoken,2.8139696245470525,2.1329705602770033
qwen2_5_vl_7b,xgb,visual_prompt_sum,metatoken,2.630483386014959,6.982760513599784
qwen2_5_vl_7b,xgb,generation,metatoken,-1.2890293732171765,-3.715833317565298
qwen2_5_vl_7b,xgb,vp_generation,metatoken,3.7992444684295634,9.742268483500183
qwen2_5_vl_7b,xgb,legacy_visual,metatoken,1.9767172924215481,0.18591862569939943
