layer,label,n,mean,median
1,0,122,0.2885156571865082,0.29414159059524536
2,0,122,0.24150055646896362,0.24376001954078674
3,0,122,0.17504878342151642,0.17083361744880676
4,0,122,0.17445994913578033,0.17316649854183197
5,0,122,0.16171646118164062,0.15495067834854126
6,0,122,0.12753978371620178,0.11952140927314758
7,0,122,0.13466154038906097,0.1317601054906845
8,0,122,0.11096407473087311,0.10979101061820984
9,0,122,0.16004684567451477,0.15377256274223328
10,0,122,0.1821223348379135,0.17402930557727814
11,0,122,0.13696235418319702,0.1365339159965515
12,0,122,0.18927043676376343,0.18567600846290588
13,0,122,0.19871781766414642,0.1962030827999115
14,0,122,0.20193728804588318,0.19470816850662231
15,0,122,0.27317848801612854,0.2699481248855591
16,0,122,0.2360076904296875,0.22990654408931732
17,0,122,0.3252606987953186,0.3209729790687561
18,0,122,0.2514980733394623,0.24193570017814636
19,0,122,0.27162986993789673,0.26638075709342957
20,0,122,0.35541579127311707,0.3566722571849823
21,0,122,0.3113764226436615,0.3184237480163574
22,0,122,0.3121092617511749,0.3106750249862671
23,0,122,0.3385002315044403,0.33179783821105957
24,0,122,0.3003402054309845,0.28648900985717773
25,0,122,0.3169150650501251,0.30908799171447754
26,0,122,0.3145616054534912,0.3102280795574188
27,0,122,0.3325224220752716,0.32747912406921387
28,0,122,0.3389083743095398,0.3365306556224823
1,1,1006,0.2649715840816498,0.2652365565299988
2,1,1006,0.22309266030788422,0.22098490595817566
3,1,1006,0.17593559622764587,0.1742458939552307
4,1,1006,0.1866661161184311,0.18280044198036194
5,1,1006,0.17569810152053833,0.16821007430553436
6,1,1006,0.13718602061271667,0.12670984864234924
7,1,1006,0.1493501365184784,0.14683791995048523
8,1,1006,0.11945676803588867,0.11432305723428726
9,1,1006,0.17980335652828217,0.17330306768417358
10,1,1006,0.1830793172121048,0.17815440893173218
11,1,1006,0.14788924157619476,0.14673814177513123
12,1,1006,0.18951669335365295,0.18566563725471497
13,1,1006,0.1922096610069275,0.18777313828468323
14,1,1006,0.1881096214056015,0.18315938115119934
15,1,1006,0.2430608570575714,0.23814848065376282
16,1,1006,0.22691646218299866,0.2242448776960373
17,1,1006,0.3030335307121277,0.2991475760936737
18,1,1006,0.25137194991111755,0.2501445412635803
19,1,1006,0.24855820834636688,0.2455632984638214
20,1,1006,0.3267562985420227,0.3308004140853882
21,1,1006,0.28541186451911926,0.2846720218658447
22,1,1006,0.2788803279399872,0.2756185233592987
23,1,1006,0.31511151790618896,0.3130110502243042
24,1,1006,0.2796366214752197,0.27821293473243713
25,1,1006,0.30285966396331787,0.3023034930229187
26,1,1006,0.3044005036354065,0.30279070138931274
27,1,1006,0.3143932521343231,0.3163192570209503
28,1,1006,0.30556410551071167,0.30482929944992065
