model,feature,feature_dim,group,seed,threshold_rule,threshold,optimization_images,config,auc,accuracy,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch1,44,train_f1,0.47877171635627747,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.858346826967513,0.8978060046189377,0.9801968912938935,0.9142512077294686,0.9774047772756617,0.944773790951638,0.41448430341848636,0.5394736842105263,0.22404371584699453,0.3166023166023166
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch1,45,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8625307355000759,0.9035796766743649,0.9809839412831298,0.9172705314009661,0.9806326662362814,0.9478939157566303,0.4233343158389278,0.6052631578947368,0.25136612021857924,0.3552123552123552
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch1,45,train_f1,0.5666446685791016,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8625307355000759,0.9018475750577367,0.9809839412831298,0.9201706276660573,0.9748224661071659,0.9467084639498433,0.4233343158389278,0.5714285714285714,0.28415300546448086,0.3795620437956204
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch1,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8664959236877661,0.8995381062355658,0.9815201007964929,0.9149064574532287,0.9786959328599096,0.9457267623206488,0.43033134855612465,0.56,0.22950819672131148,0.32558139534883723
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch1,ensemble,train_f1,0.5688642859458923,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8664959236877661,0.8983833718244804,0.9815201007964929,0.9209074187614961,0.9696578437701743,0.9446540880503145,0.43033134855612465,0.5346534653465347,0.29508196721311475,0.38028169014084506
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,43,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8639453622467519,0.9053117782909931,0.9809589685514225,0.9169175195665262,0.9832149774047773,0.9489096573208723,0.43500143974659755,0.6338028169014085,0.2459016393442623,0.3543307086614173
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,43,train_f1,0.6438159942626953,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8639453622467519,0.8995381062355658,0.9809589685514225,0.9251700680272109,0.9657843770174306,0.9450410612760581,0.43500143974659755,0.5391304347826087,0.33879781420765026,0.4161073825503356
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,44,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8721015144620009,0.9030023094688222,0.9826673893742954,0.9172205438066465,0.9799870884441575,0.947565543071161,0.45375189031855906,0.5974025974025974,0.25136612021857924,0.35384615384615387
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,44,train_f1,0.6102676391601562,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8721015144620009,0.8983833718244804,0.9826673893742954,0.9235040098704503,0.9664299548095545,0.9444794952681388,0.45375189031855906,0.5315315315315315,0.3224043715846995,0.4013605442176871
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch2,45,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [256], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8637160586593854,0.9030023094688222,0.9811097599297032,0.9137207908927502,0.9845061329890252,0.9477936606587943,0.4319592778515044,0.6190476190476191,0.21311475409836064,0.3170731707317073
