model,head_id,roles,seed,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,batch_norm,standardize,parameter_count,best_epoch,epochs_run,validation_auc,validation_hall_aupr,fit_seconds,peak_cuda_allocated_bytes,max_checkpoint_error
qwen2_5_vl_7b,f9580df5c2adb1a89162,stage2_arch4/grid,43,"[256, 128]",0.0,0.0003,0.0,128,False,True,47617,35,50,0.8502902452476777,0.48326817262716737,3.6301984519232064,19302400,0.0
llava_1_5_7b,023acefbf3e9c6c638af,stage2_arch2/grid,43,[256],0.1,0.001,0.0,128,False,True,16897,42,57,0.9077535507461745,0.7449072916738626,6.1334701490122825,18688000,0.0
llava_1_5_7b,03169bf83fd931cd1ee7,stage2_arch3/grid,43,"[128, 64]",0.0,0.0001,0.0,128,False,True,16641,91,106,0.8989678744157141,0.7203784450133031,12.156365521950647,18620416,0.0
llava_1_5_7b,035ebd311db086773830,stage2_arch2/grid,43,[256],0.1,0.0001,1e-05,128,False,True,16897,146,150,0.9035656066214549,0.7398440825314931,16.477974446024746,18688000,0.0
llava_1_5_7b,058697fdb50bed4fb63a,stage2_arch3/grid,43,"[128, 64]",0.1,0.003,0.0001,128,False,True,16641,16,31,0.9052754586474291,0.7468308147009616,3.754954463103786,18620416,0.0
llava_1_5_7b,05d26e7e918381dcc9a1,stage2_arch2/grid,43,[256],0.3,0.001,0.0001,128,False,True,16897,59,74,0.9094917727162195,0.7531844222207088,8.080673882970586,18688000,0.0
llava_1_5_7b,0a86930b57a0384b3e91,stage2_arch3/grid,43,"[128, 64]",0.2,0.003,0.0001,128,False,True,16641,21,36,0.9071068961479921,0.7332940570153597,4.337172480998561,18620416,0.0
llava_1_5_7b,0c68209008fc06744875,stage2_arch2/grid,43,[256],0.2,0.003,0.0001,128,False,True,16897,35,50,0.9091117055289869,0.748689982563771,5.389275516150519,18688000,0.0
llava_1_5_7b,0cefd2703bc967d74453,stage2_arch2/grid,43,[256],0.1,0.0003,0.0001,128,False,True,16897,95,110,0.9074401304116795,0.7465160552814856,11.902401969069615,18688000,0.0
llava_1_5_7b,0fc1e15886e1753a34b2,final/fixed_arch3,44,"[128, 64]",0.1,0.001,1e-05,128,False,True,16641,14,29,0.9048436050543531,0.7415144072692065,3.4483135459013283,18620416,0.0
llava_1_5_7b,12e1c957181c0db7dbe0,stage2_arch3/grid,43,"[128, 64]",0.3,0.001,1e-05,128,False,True,16641,31,46,0.9102383975935084,0.7497412006153806,5.862331371055916,18620416,0.0
llava_1_5_7b,1462169ea96c4519c5f9,final/fixed_arch4,44,"[256, 128]",0.1,0.001,1e-05,128,False,True,49665,11,26,0.90740140318644,0.7453806712015165,3.1360791858751327,19343360,0.0
llava_1_5_7b,1503e6d1eae069799756,final/fixed_arch1,44,[128],0.1,0.001,1e-05,128,False,True,8449,50,65,0.9060135275098393,0.7366819837856359,8.132736735977232,18421760,0.0
llava_1_5_7b,18562b166775a434b92b,stage2_arch3/grid,43,"[128, 64]",0.1,0.0001,0.0,128,False,True,16641,150,150,0.9057847666909837,0.7395170124715909,18.29604771710001,18620416,0.0
llava_1_5_7b,1957e39a41317b8d763e,stage2_arch3/grid,43,"[128, 64]",0.1,0.0003,0.0001,128,False,True,16641,80,95,0.9088325092540055,0.7547635983607637,11.52474083402194,18620416,0.0
llava_1_5_7b,19d56aa73cecdee1f7b6,stage2_arch3/grid,43,"[128, 64]",0.1,0.0003,0.0,128,False,True,16641,89,104,0.9089892194212533,0.7553365774234148,12.640174356056377,18620416,0.0
llava_1_5_7b,1a1ef3b3ef3a38d92e02,stage2_arch3/grid,43,"[128, 64]",0.2,0.001,0.0001,128,False,True,16641,31,46,0.9104050147253518,0.7489779509876283,5.625696667935699,18620416,0.0
llava_1_5_7b,1a41d8ad7d78519fbf7d,final/fixed_arch5,45,"[128, 64, 32]",0.1,0.001,1e-05,128,False,True,18689,20,35,0.9040370880729152,0.741637835772956,4.656638718908653,18655232,0.0
llava_1_5_7b,1d09b0f3500ab1c6e70a,stage2_arch2/grid,43,[256],0.2,0.0001,0.0,128,False,True,16897,146,150,0.9030684571253591,0.7386197059812873,16.55252889287658,18688000,0.0
llava_1_5_7b,1eb6eedbfb553084a609,stage2_arch2/grid,43,[256],0.3,0.001,1e-05,128,False,True,16897,85,100,0.9108571325641928,0.7581672454400118,20.784136346075684,18688000,0.0
llava_1_5_7b,20d0e29e9fdc18184219,stage2_arch3/grid,43,"[128, 64]",0.1,0.0001,1e-05,128,False,True,16641,150,150,0.9057847666909837,0.7395170124715909,18.05810219491832,18620416,0.0
llava_1_5_7b,236049213231d00bd9fc,final/fixed_arch1;stage1,43,[128],0.1,0.001,1e-05,128,False,True,8449,44,59,0.9067610530202732,0.744112441389741,6.770887330174446,18421760,0.0
