model,head_id,roles,seed,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,batch_norm,standardize,parameter_count,best_epoch,epochs_run,validation_auc,validation_hall_aupr,fit_seconds,peak_cuda_allocated_bytes,max_checkpoint_error
qwen2_5_vl_7b,6c8b0d80f8643c2138cd,stage2_arch4/grid,43,"[256, 128]",0.0,0.0001,0.0,128,False,True,47617,78,93,0.8493072886233693,0.4836096576674665,6.132624794961885,19302400,0.0
qwen2_5_vl_7b,6defcd25d1dd8ec56b1d,stage2_arch4/grid,43,"[256, 128]",0.0,0.003,0.0001,128,False,True,47617,10,25,0.8500608887020058,0.4834249047464917,1.6825836119242013,19302400,0.0
qwen2_5_vl_7b,6f96f7b5fd56f63fde43,final/matched_BN_on,43,"[256, 128]",0.3,0.001,0.0001,128,True,True,48385,30,45,0.8645649597806915,0.4989200221550981,3.581896089948714,19318784,0.0
qwen2_5_vl_7b,7497fd0bda60ed5e8a9a,stage2_arch4/grid,43,"[256, 128]",0.3,0.0001,1e-05,128,False,True,47617,136,150,0.8601525767115733,0.520118130453355,10.413456192938611,19302400,0.0
qwen2_5_vl_7b,75064a7a1df133bfffe8,final/fixed_arch4;stage1;stage2_arch4/grid,43,"[256, 128]",0.1,0.001,1e-05,128,False,True,47617,14,29,0.860698663725078,0.5112617805832208,2.023150417022407,19302400,0.0
qwen2_5_vl_7b,7af22d074ee18e5f9284,final/fixed_arch0,45,[],0.0,0.001,1e-05,128,False,True,57,78,93,0.8298829735530058,0.39119826459107465,5.108283922076225,17115648,0.0
qwen2_5_vl_7b,7b28e8263a18a6ab87db,stage2_arch4/grid,43,"[256, 128]",0.0,0.003,0.0,128,False,True,47617,7,22,0.8476417232321798,0.47915990651019263,2.0394208889920264,19302400,0.0
qwen2_5_vl_7b,7ddc4ad7398ce3b3a96f,stage2_arch1/grid,43,[128],0.3,0.0003,0.0,128,False,True,7425,108,123,0.8557183501619149,0.4869583675160917,7.735955860931426,18397184,0.0
qwen2_5_vl_7b,7eb216e4b0b47d011a15,stage2_arch4/grid,43,"[256, 128]",0.0,0.0001,1e-05,128,False,True,47617,78,93,0.8493072886233693,0.4836096576674665,6.2853739080019295,19302400,0.0
qwen2_5_vl_7b,7f3ae345d73ac402a3cd,final/tuned_arch1;stage2_arch1/batch_sweep;stage2_arch1/grid;stage2_arch1/selected,43,[128],0.3,0.001,0.0,128,False,True,7425,47,62,0.8568787850656123,0.4944933675663868,4.108269888907671,18397184,0.0
qwen2_5_vl_7b,7f732bdfde586df10f5d,final/tuned_arch1;stage2_arch1/selected,45,[128],0.3,0.001,0.0,128,False,True,7425,32,47,0.8622713943239716,0.5004460167538187,3.0501685170456767,18397184,0.0
qwen2_5_vl_7b,84eac07952feb74642fa,stage2_arch1/batch_sweep,43,[128],0.3,0.001,0.0,64,False,True,7425,17,32,0.854358593498288,0.48481567973230405,3.245479793054983,18397184,0.0
qwen2_5_vl_7b,8cc2e0c5143cc27b34dd,stage2_arch1/grid,43,[128],0.0,0.0001,1e-05,128,False,True,7425,149,150,0.8474505927774532,0.46648061728864576,9.164182991022244,18397184,0.0
qwen2_5_vl_7b,8cc728140f4a92a1880c,stage2_arch1/grid,43,[128],0.1,0.0003,0.0,128,False,True,7425,63,78,0.8488103494410799,0.4739173970642371,4.858930998947471,18397184,0.0
qwen2_5_vl_7b,8fbbda14b39eb47bb8f9,stage2_arch4/grid,43,"[256, 128]",0.0,0.001,1e-05,128,False,True,47617,10,25,0.8538834977965389,0.4973093381469634,1.68105802196078,19302400,0.0
qwen2_5_vl_7b,91e906a518db0264d1c5,final/matched_BN_on,45,"[256, 128]",0.3,0.001,0.0001,128,True,True,48385,26,41,0.8695288907334493,0.5135882100794941,3.413746234960854,19318784,0.0
qwen2_5_vl_7b,93977de669e02fb50b15,stage2_arch4/grid,43,"[256, 128]",0.1,0.0003,0.0,128,False,True,47617,46,61,0.8584651678398436,0.5068520119904406,4.306908374186605,19302400,0.0
qwen2_5_vl_7b,9aa9d55ccf1e788d49e0,stage2_arch4/grid,43,"[256, 128]",0.2,0.0001,1e-05,128,False,True,47617,96,111,0.8585634635022745,0.5169725935800704,7.63476112508215,19302400,0.0
qwen2_5_vl_7b,9edf1d9afbb639b95058,stage2_arch1/grid,43,[128],0.0,0.0001,0.0001,128,False,True,7425,149,150,0.8474505927774532,0.46648061728864576,9.159147015074268,18397184,0.0
qwen2_5_vl_7b,a01a0a33a1c3c8c79d9e,stage2_arch1/grid,43,[128],0.2,0.001,0.0001,128,False,True,7425,45,60,0.854582489173825,0.4950242844133331,3.8581979412119836,18397184,0.0
qwen2_5_vl_7b,a12e836b946e35d1deb7,stage2_arch1/grid,43,[128],0.0,0.001,0.0,128,False,True,7425,17,32,0.8482806450379805,0.47730248165037814,1.9248267929069698,18397184,0.0
qwen2_5_vl_7b,a1ace59b8653ede190ca,stage2_arch4/grid,43,"[256, 128]",0.2,0.003,1e-05,128,False,True,47617,8,23,0.857820785163908,0.5108761609877344,1.6000238601118326,19302400,0.0
qwen2_5_vl_7b,a51f0b2356d738646c35,stage2_arch4/grid,43,"[256, 128]",0.2,0.001,0.0001,128,False,True,47617,31,46,0.8619983508172192,0.5118462111011061,3.3245026250369847,19302400,0.0
qwen2_5_vl_7b,ac28ba4b6e7d700a416a,final/fixed_arch0;stage1,43,[],0.0,0.001,1e-05,128,False,True,57,142,150,0.8287853386558613,0.3843811829984563,8.157204178860411,17115648,0.0
qwen2_5_vl_7b,ac435736cda1ee07fd5b,stage2_arch1/grid,43,[128],0.1,0.003,1e-05,128,False,True,7425,17,32,0.8545060369919343,0.4808143060373104,15.36180797405541,18397184,0.0
qwen2_5_vl_7b,aeeb570ab89fd7c4b8ea,stage2_arch1/grid,43,[128],0.1,0.0003,0.0001,128,False,True,7425,63,78,0.8487721233501346,0.47362252225176726,4.843354749958962,18397184,0.0
qwen2_5_vl_7b,b54119f97e1a2b08ee73,stage2_arch4/grid,43,"[256, 128]",0.3,0.001,1e-05,128,False,True,47617,31,46,0.8617198464403317,0.5122755031152476,3.266851354856044,19302400,0.0
qwen2_5_vl_7b,b544eedc5f8a63362f6f,stage2_arch1/grid,43,[128],0.1,0.0001,1e-05,128,False,True,7425,147,150,0.8478929232583919,0.47153962385463577,9.437156110070646,18397184,0.0
qwen2_5_vl_7b,b78bb03540394c3aece6,stage2_arch1/grid,43,[128],0.0,0.0001,0.0,128,False,True,7425,149,150,0.8474505927774532,0.46648061728864576,9.086265247082338,18397184,0.0
qwen2_5_vl_7b,b7bbe1dc4027158ea0c3,final/fixed_arch4,45,"[256, 128]",0.1,0.001,1e-05,128,False,True,47617,15,30,0.8613321246607434,0.5026236833376984,2.0927673450205475,19302400,0.0
qwen2_5_vl_7b,b881ccd5efce9e7a9fef,final/tuned_arch4;stage2_arch4/batch_sweep;stage2_arch4/grid;stage2_arch4/selected,43,"[256, 128]",0.3,0.001,0.0001,128,False,True,47617,31,46,0.8651356207098039,0.5070308547520279,3.349888606928289,19302400,0.0
qwen2_5_vl_7b,b9b7635f713512bf3ca0,final/tuned_arch4;stage2_arch4/selected,44,"[256, 128]",0.3,0.001,0.0001,128,False,True,47617,22,37,0.8614741072842547,0.5062460602089374,2.606103589059785,19302400,0.0
qwen2_5_vl_7b,bb5a35d6f1f982cc5e52,stage2_arch1/grid,43,[128],0.1,0.003,0.0001,128,False,True,7425,14,29,0.8536978282119473,0.4876764222919172,1.858317902078852,18397184,0.0
