signal,split,layer,label,n,mean,median,p10,p90
Q_positive,train,1,HALL,2077,0.3937947750091553,0.31094980239868164,0.14683322608470917,0.7695146203041077
Q_positive,train,2,HALL,2077,0.05557592213153839,0.03534197807312012,0.01722714863717556,0.1091008111834526
Q_positive,train,3,HALL,2077,0.24826955795288086,0.1554599404335022,0.0717192143201828,0.5403779745101929
Q_positive,train,4,HALL,2077,0.1883298009634018,0.11083460599184036,0.04354137182235718,0.3880364000797272
Q_positive,train,5,HALL,2077,0.2290116250514984,0.1298697143793106,0.032766420394182205,0.5201378464698792
Q_positive,train,6,HALL,2077,0.4231959581375122,0.32410910725593567,0.1354690045118332,0.7991384863853455
Q_positive,train,7,HALL,2077,0.5428808331489563,0.3512449264526367,0.06327172368764877,1.2691437005996704
Q_positive,train,8,HALL,2077,0.42999014258384705,0.35636353492736816,0.1256980448961258,0.7887163162231445
Q_positive,train,9,HALL,2077,2.7794604301452637,2.587846517562866,0.9669763445854187,4.908259391784668
Q_positive,train,10,HALL,2077,4.182175636291504,3.9307265281677246,1.4246039390563965,7.140538692474365
Q_positive,train,11,HALL,2077,2.9189884662628174,2.7108571529388428,1.0501229763031006,4.964574813842773
Q_positive,train,12,HALL,2077,3.1723554134368896,3.0372962951660156,1.4062248468399048,5.1113080978393555
Q_positive,train,13,HALL,2077,2.4791994094848633,2.3265159130096436,1.4935303926467896,3.591663122177124
Q_positive,train,14,HALL,2077,4.70591926574707,4.547746181488037,2.071112871170044,7.585981369018555
Q_positive,train,15,HALL,2077,3.740678548812866,3.6002023220062256,1.7734240293502808,5.853558540344238
Q_positive,train,16,HALL,2077,4.917661666870117,4.783349514007568,2.077845811843872,7.814870834350586
Q_positive,train,17,HALL,2077,3.431835651397705,3.253129005432129,1.6406234502792358,5.448116302490234
Q_positive,train,18,HALL,2077,5.2358784675598145,5.1349310874938965,2.59993577003479,8.009835243225098
Q_positive,train,19,HALL,2077,6.251438617706299,6.356108665466309,3.3252370357513428,8.868131637573242
Q_positive,train,20,HALL,2077,4.317630767822266,4.236586570739746,1.557873249053955,7.176177501678467
Q_positive,train,21,HALL,2077,6.590306282043457,6.611491680145264,2.3087234497070312,10.731802940368652
Q_positive,train,22,HALL,2077,6.275994777679443,6.280575275421143,2.7252347469329834,9.64001178741455
Q_positive,train,23,HALL,2077,3.514247417449951,3.331146478652954,1.7607389688491821,5.510815620422363
Q_positive,train,24,HALL,2077,12.793371200561523,12.833600044250488,6.281895637512207,18.904373168945312
Q_positive,train,25,HALL,2077,13.008204460144043,12.488791465759277,8.052336692810059,18.665775299072266
Q_positive,train,26,HALL,2077,5.312547206878662,4.905789375305176,2.0993542671203613,9.053993225097656
Q_positive,train,27,HALL,2077,11.656827926635742,11.138521194458008,5.245931148529053,18.544919967651367
Q_positive,train,28,HALL,2077,7.651219367980957,7.332460403442383,3.1884067058563232,12.403515815734863
Q_positive,train,29,HALL,2077,9.943480491638184,8.767654418945312,3.1372835636138916,18.6283016204834
Q_positive,train,30,HALL,2077,19.754695892333984,17.578296661376953,7.199214935302734,33.81446075439453
Q_positive,train,31,HALL,2077,8.098468780517578,7.3564066886901855,2.9084503650665283,14.087396621704102
Q_positive,train,32,HALL,2077,11.240534782409668,10.238210678100586,3.4549062252044678,20.206859588623047
Q_positive,train,33,HALL,2077,14.673029899597168,12.058675765991211,2.99293851852417,29.59278678894043
Q_positive,train,34,HALL,2077,16.65213966369629,15.248037338256836,4.747315406799316,30.285621643066406
Q_positive,train,35,HALL,2077,16.567237854003906,14.236916542053223,5.58895206451416,30.380767822265625
Q_positive,train,36,HALL,2077,21.561594009399414,20.317705154418945,12.816679000854492,31.750179290771484
Q_positive,train,1,REAL,9769,0.5857961773872375,0.5069296956062317,0.19079388678073883,1.087653636932373
Q_positive,train,2,REAL,9769,0.09708952158689499,0.06206827983260155,0.020273659378290176,0.1949605941772461
Q_positive,train,3,REAL,9769,0.44357821345329285,0.26382166147232056,0.10045971721410751,1.0771485567092896
Q_positive,train,4,REAL,9769,0.27146464586257935,0.18099144101142883,0.0501304492354393,0.5703306198120117
Q_positive,train,5,REAL,9769,0.41932907700538635,0.26610830426216125,0.05794340372085571,0.9727832078933716
Q_positive,train,6,REAL,9769,0.7973742485046387,0.6250287294387817,0.21405696868896484,1.5671510696411133
Q_positive,train,7,REAL,9769,1.1147576570510864,0.7999914884567261,0.14345763623714447,2.462984561920166
Q_positive,train,8,REAL,9769,0.7024677395820618,0.5898669362068176,0.21099090576171875,1.3684340715408325
Q_positive,train,9,REAL,9769,3.685225248336792,3.3643338680267334,1.3921236991882324,6.429033279418945
Q_positive,train,10,REAL,9769,5.754448890686035,5.26178503036499,1.679449439048767,10.442419052124023
Q_positive,train,11,REAL,9769,3.8848869800567627,3.7362754344940186,1.6543035507202148,6.247023105621338
Q_positive,train,12,REAL,9769,3.9216079711914062,3.6736390590667725,1.8430591821670532,6.273439407348633
Q_positive,train,13,REAL,9769,3.5338666439056396,3.2157411575317383,1.9399256706237793,5.723751544952393
Q_positive,train,14,REAL,9769,5.345624923706055,5.162851333618164,2.923858404159546,8.018204689025879
Q_positive,train,15,REAL,9769,4.743433952331543,4.738931655883789,2.5912599563598633,6.864880561828613
Q_positive,train,16,REAL,9769,5.2824201583862305,5.191198348999023,2.9960741996765137,7.710935592651367
Q_positive,train,17,REAL,9769,4.186546325683594,4.160472869873047,2.2444489002227783,6.106487274169922
Q_positive,train,18,REAL,9769,5.749223232269287,5.736349105834961,3.3755252361297607,8.076709747314453
Q_positive,train,19,REAL,9769,6.710677623748779,6.721938133239746,4.596409797668457,8.81061840057373
Q_positive,train,20,REAL,9769,5.2863264083862305,5.073480606079102,2.7533140182495117,8.012975692749023
Q_positive,train,21,REAL,9769,7.603079795837402,7.662913799285889,4.147781848907471,10.851418495178223
Q_positive,train,22,REAL,9769,7.423587799072266,7.334371089935303,4.350532531738281,10.601082801818848
Q_positive,train,23,REAL,9769,3.885000228881836,3.747143507003784,2.132136821746826,5.7839035987854
Q_positive,train,24,REAL,9769,14.247322082519531,14.27288818359375,8.042078018188477,20.241756439208984
Q_positive,train,25,REAL,9769,14.928162574768066,14.994632720947266,9.302165031433105,20.448280334472656
Q_positive,train,26,REAL,9769,6.697540283203125,6.542798042297363,2.9316470623016357,10.620829582214355
Q_positive,train,27,REAL,9769,12.431700706481934,11.957499504089355,6.208966255187988,19.021610260009766
Q_positive,train,28,REAL,9769,10.310746192932129,10.011624336242676,4.681385040283203,15.970246315002441
Q_positive,train,29,REAL,9769,13.675830841064453,12.57335090637207,5.305555820465088,23.620635986328125
Q_positive,train,30,REAL,9769,25.07123374938965,21.586395263671875,7.827835559844971,46.82794952392578
Q_positive,train,31,REAL,9769,10.291075706481934,9.031031608581543,4.1237897872924805,17.39249038696289
Q_positive,train,32,REAL,9769,15.119985580444336,13.9382963180542,5.950005054473877,25.81183624267578
Q_positive,train,33,REAL,9769,15.534866333007812,13.620087623596191,4.543493270874023,28.768226623535156
Q_positive,train,34,REAL,9769,18.27128028869629,16.575998306274414,6.584444522857666,32.624656677246094
Q_positive,train,35,REAL,9769,17.904088973999023,15.82429027557373,7.380781173706055,31.18457794189453
Q_positive,train,36,REAL,9769,25.562068939208984,24.18836212158203,14.706160545349121,38.37599563598633
Q_positive,test,1,HALL,516,0.3851388692855835,0.3141823410987854,0.14075130224227905,0.7394602298736572
Q_positive,test,2,HALL,516,0.05884970352053642,0.036091819405555725,0.01724286749958992,0.11152394115924835
Q_positive,test,3,HALL,516,0.2557840049266815,0.16256874799728394,0.07794585824012756,0.5925717353820801
Q_positive,test,4,HALL,516,0.17904594540596008,0.11021345853805542,0.04374972730875015,0.3811720609664917
Q_positive,test,5,HALL,516,0.22711491584777832,0.12522737681865692,0.030476976186037064,0.4905747175216675
Q_positive,test,6,HALL,516,0.4324781894683838,0.3225927948951721,0.1315946877002716,0.8200516700744629
Q_positive,test,7,HALL,516,0.5201317667961121,0.33652207255363464,0.06503976136445999,1.2739880084991455
Q_positive,test,8,HALL,516,0.43376243114471436,0.3603300154209137,0.13869155943393707,0.8449112176895142
Q_positive,test,9,HALL,516,2.7277464866638184,2.5003790855407715,0.986038327217102,4.847760200500488
Q_positive,test,10,HALL,516,4.0527544021606445,3.7378835678100586,1.40482497215271,6.998991012573242
Q_positive,test,11,HALL,516,2.8432722091674805,2.649251937866211,1.116614818572998,4.80413818359375
Q_positive,test,12,HALL,516,3.1381494998931885,2.9745934009552,1.5916130542755127,4.836708068847656
Q_positive,test,13,HALL,516,2.506962537765503,2.37378191947937,1.4659159183502197,3.7224578857421875
Q_positive,test,14,HALL,516,4.543320655822754,4.402216911315918,1.9714512825012207,7.442056655883789
Q_positive,test,15,HALL,516,3.7461509704589844,3.664968490600586,1.801405668258667,5.9177632331848145
Q_positive,test,16,HALL,516,4.813614845275879,4.620231628417969,2.034775733947754,7.562339782714844
Q_positive,test,17,HALL,516,3.411188840866089,3.2523202896118164,1.6355476379394531,5.394863128662109
Q_positive,test,18,HALL,516,5.122156620025635,5.078779220581055,2.6963632106781006,7.598160743713379
Q_positive,test,19,HALL,516,6.212430000305176,6.345965385437012,3.292060136795044,8.929386138916016
Q_positive,test,20,HALL,516,4.178934097290039,4.067937850952148,1.5501798391342163,6.899167060852051
Q_positive,test,21,HALL,516,6.501166820526123,6.583713531494141,2.184983491897583,10.404773712158203
Q_positive,test,22,HALL,516,6.117583274841309,6.158018112182617,2.5462441444396973,9.542854309082031
Q_positive,test,23,HALL,516,3.419741630554199,3.1980643272399902,1.7053507566452026,5.353128433227539
Q_positive,test,24,HALL,516,12.464316368103027,12.415626525878906,6.48419189453125,18.73433494567871
Q_positive,test,25,HALL,516,12.879179000854492,12.700313568115234,7.796316146850586,18.253253936767578
Q_positive,test,26,HALL,516,5.30524206161499,4.905671119689941,2.1236119270324707,9.174114227294922
Q_positive,test,27,HALL,516,11.40314769744873,11.014092445373535,5.037001609802246,18.180850982666016
Q_positive,test,28,HALL,516,7.389902114868164,7.038390159606934,3.087399482727051,12.005228042602539
Q_positive,test,29,HALL,516,9.761283874511719,8.317543029785156,3.0973381996154785,18.341724395751953
Q_positive,test,30,HALL,516,18.32766342163086,16.97233772277832,6.8972978591918945,30.659072875976562
Q_positive,test,31,HALL,516,7.8371357917785645,7.114760875701904,2.8973827362060547,13.648360252380371
Q_positive,test,32,HALL,516,10.686555862426758,9.869430541992188,3.4697093963623047,19.108139038085938
Q_positive,test,33,HALL,516,14.035146713256836,10.82712459564209,3.062012195587158,29.650127410888672
Q_positive,test,34,HALL,516,16.116832733154297,15.272693634033203,4.618465423583984,29.17241096496582
Q_positive,test,35,HALL,516,16.237321853637695,13.609580993652344,5.526268482208252,30.369304656982422
Q_positive,test,36,HALL,516,21.894304275512695,20.37850570678711,13.572731018066406,32.12440490722656
Q_positive,test,1,REAL,2511,0.5731621980667114,0.4841456711292267,0.18627884984016418,1.0908751487731934
Q_positive,test,2,REAL,2511,0.0958491712808609,0.0596020445227623,0.020236345008015633,0.19321849942207336
Q_positive,test,3,REAL,2511,0.43608853220939636,0.25968658924102783,0.09785712510347366,1.0609432458877563
Q_positive,test,4,REAL,2511,0.2675439119338989,0.17667056620121002,0.047643959522247314,0.5499576926231384
Q_positive,test,5,REAL,2511,0.4133993089199066,0.25906917452812195,0.05702483654022217,0.9494149088859558
Q_positive,test,6,REAL,2511,0.7889463901519775,0.6194666028022766,0.20845022797584534,1.5448675155639648
Q_positive,test,7,REAL,2511,1.0859240293502808,0.7624725103378296,0.1427856981754303,2.4204201698303223
Q_positive,test,8,REAL,2511,0.6930991411209106,0.578273594379425,0.2143557071685791,1.3654898405075073
Q_positive,test,9,REAL,2511,3.641289234161377,3.34358811378479,1.4091696739196777,6.242112159729004
Q_positive,test,10,REAL,2511,5.73192024230957,5.329874038696289,1.6743829250335693,10.282329559326172
Q_positive,test,11,REAL,2511,3.868856430053711,3.719021797180176,1.6612310409545898,6.117449760437012
Q_positive,test,12,REAL,2511,3.9457807540893555,3.734818458557129,1.8087929487228394,6.271773815155029
Q_positive,test,13,REAL,2511,3.499316692352295,3.1639256477355957,1.9198381900787354,5.611678123474121
Q_positive,test,14,REAL,2511,5.328983783721924,5.186407089233398,2.8499255180358887,8.030797958374023
Q_positive,test,15,REAL,2511,4.771034240722656,4.76572847366333,2.5660064220428467,6.9330878257751465
Q_positive,test,16,REAL,2511,5.240298271179199,5.173570156097412,2.8803257942199707,7.720725059509277
Q_positive,test,17,REAL,2511,4.191796779632568,4.176029205322266,2.1583380699157715,6.13730525970459
Q_positive,test,18,REAL,2511,5.740453243255615,5.745423793792725,3.1886937618255615,8.136561393737793
Q_positive,test,19,REAL,2511,6.7042317390441895,6.783538818359375,4.5653486251831055,8.84457778930664
Q_positive,test,20,REAL,2511,5.300142288208008,5.1228508949279785,2.675051689147949,8.023285865783691
Q_positive,test,21,REAL,2511,7.610462188720703,7.7541656494140625,3.990163564682007,10.861542701721191
Q_positive,test,22,REAL,2511,7.357534885406494,7.329636573791504,4.272982597351074,10.47276782989502
Q_positive,test,23,REAL,2511,3.857271432876587,3.7299067974090576,2.0287060737609863,5.829918384552002
Q_positive,test,24,REAL,2511,14.180466651916504,14.29536247253418,7.65676212310791,20.21986198425293
Q_positive,test,25,REAL,2511,14.866618156433105,15.046250343322754,8.934576988220215,20.46636390686035
Q_positive,test,26,REAL,2511,6.644817352294922,6.492598056793213,2.811750650405884,10.54764461517334
Q_positive,test,27,REAL,2511,12.36211109161377,12.006102561950684,5.861845970153809,18.89787483215332
