model,variant,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,raw_js_attention32,43,0.8391108558994198,0.42561460451133526
qwen2_5_vl_7b,raw_js_attention32,44,0.8353179400386848,0.4328361018928324
qwen2_5_vl_7b,raw_js_attention32,45,0.840773089941973,0.42513257315724373
qwen2_5_vl_7b,norm_js_attention32,43,0.8229116295938105,0.3994071020581096
qwen2_5_vl_7b,norm_js_attention32,44,0.8263267649903289,0.4135983143649719
qwen2_5_vl_7b,norm_js_attention32,45,0.832189917794971,0.45973129892965575
qwen2_5_vl_7b,raw_js_union32,43,0.8437651112185687,0.4603718669497611
qwen2_5_vl_7b,raw_js_union32,44,0.8361339458413928,0.4276595244875506
qwen2_5_vl_7b,raw_js_union32,45,0.8440975580270793,0.45613979947996675
qwen2_5_vl_7b,norm_js_union32,43,0.854856745647969,0.49840862485873616
qwen2_5_vl_7b,norm_js_union32,44,0.8586647727272728,0.4999076571628684
qwen2_5_vl_7b,norm_js_union32,45,0.8585287717601546,0.49371051715697706
qwen2_5_vl_7b,raw_full_product,43,0.8351970502901354,0.40709294806248364
qwen2_5_vl_7b,raw_full_product,44,0.8198440522243715,0.4269984786874226
qwen2_5_vl_7b,raw_full_product,45,0.8200933873307543,0.391451270217113
qwen2_5_vl_7b,norm_full_product,43,0.8436895551257253,0.43803038785825804
qwen2_5_vl_7b,norm_full_product,44,0.8405388660541586,0.42580534812200965
qwen2_5_vl_7b,norm_full_product,45,0.8371237306576402,0.4213889559056434
