model,variant,seed,AUROC,HALL_AUPR
qwen3_vl_8b,ae_logs,43,0.8960438364682107,0.7134979353172735
qwen3_vl_8b,ae_logs,44,0.9002409451266905,0.7188022212525094
qwen3_vl_8b,ae_logs,45,0.8991700778969549,0.7202498701400724
qwen3_vl_8b,raw_top16,43,0.8947246834896454,0.7176348770741016
qwen3_vl_8b,raw_top16,44,0.8946858213724372,0.7202811233262184
qwen3_vl_8b,raw_top16,45,0.8959877022989102,0.7205632938945353
qwen3_vl_8b,raw_top32,43,0.8942864051677979,0.7189568596892775
qwen3_vl_8b,raw_top32,44,0.8948822909649896,0.7209240439245979
qwen3_vl_8b,raw_top32,45,0.8960395184551877,0.7198416167276693
qwen3_vl_8b,norm_top16,43,0.8992650741834638,0.7181225631976336
qwen3_vl_8b,norm_top16,44,0.8976328652607216,0.7172352574038268
qwen3_vl_8b,norm_top16,45,0.8963115532756447,0.7046947185702631
qwen3_vl_8b,norm_top32,43,0.8977969497556004,0.7140846917030184
qwen3_vl_8b,norm_top32,44,0.8984446517090695,0.7124035057238643
qwen3_vl_8b,norm_top32,45,0.8982762492011676,0.709870972745114
