model,variant,champion,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
llava_1_5_7b,frozen_rms/visual_prompt_sum,False,svar_native,-1.4362897099053473,-4.392143851776387
llava_1_5_7b,frozen_rms/visual_prompt_sum,False,metatoken_lr,0.6622257436589507,-0.7921515316195449
llava_1_5_7b,frozen_rms/visual_prompt_sum,False,metatoken_gb,0.39502042759371747,-0.30979407386976243
llava_1_5_7b,frozen_rms/generation,False,svar_native,-2.4972040444353194,-5.881527204100978
llava_1_5_7b,frozen_rms/generation,False,metatoken_lr,-0.3986885908710214,-2.2815348839441363
llava_1_5_7b,frozen_rms/generation,False,metatoken_gb,-0.6658939069362546,-1.7991774261943538
llava_1_5_7b,frozen_rms/vp_generation,False,svar_native,-0.287665515678559,0.7447878751012382
llava_1_5_7b,frozen_rms/vp_generation,False,metatoken_lr,1.810849937885739,4.34478019525808
llava_1_5_7b,frozen_rms/vp_generation,False,metatoken_gb,1.5436446218205058,4.8271376530078625
qwen3_vl_8b,true_rms/visual,False,svar_native,0.6697520661156919,5.403649228988305
qwen3_vl_8b,true_rms/visual,False,metatoken_lr,7.378402203856749,22.319358331387175
qwen3_vl_8b,true_rms/visual,False,metatoken_gb,5.96550964187329,15.301243673820908
qwen3_vl_8b,true_rms/visual_prompt_sum,False,svar_native,2.1883195592286575,8.518095826785622
qwen3_vl_8b,true_rms/visual_prompt_sum,False,metatoken_lr,8.896969696969714,25.43380492918449
qwen3_vl_8b,true_rms/visual_prompt_sum,False,metatoken_gb,7.484077134986256,18.415690271618224
qwen3_vl_8b,true_rms/generation,False,svar_native,-0.8879889807162589,-3.9254960477733913
qwen3_vl_8b,true_rms/generation,False,metatoken_lr,5.820661157024798,12.990213054625476
qwen3_vl_8b,true_rms/generation,False,metatoken_gb,4.40776859504134,5.972098397059211
qwen3_vl_8b,true_rms/vp_generation,True,svar_native,3.924077134986226,10.096039282718506
qwen3_vl_8b,true_rms/vp_generation,True,metatoken_lr,10.632727272727283,27.01174838511737
qwen3_vl_8b,true_rms/vp_generation,True,metatoken_gb,9.219834710743823,19.993633727551106
qwen3_vl_8b,frozen_rms/visual,False,svar_native,0.5682644628099087,4.900677810776211
qwen3_vl_8b,frozen_rms/visual,False,metatoken_lr,7.276914600550965,21.81638691317508
qwen3_vl_8b,frozen_rms/visual,False,metatoken_gb,5.864022038567507,14.798272255608813
qwen3_vl_8b,frozen_rms/visual_prompt_sum,False,svar_native,1.873057851239679,9.28110875672985
qwen3_vl_8b,frozen_rms/visual_prompt_sum,False,metatoken_lr,8.581707988980735,26.196817859128718
qwen3_vl_8b,frozen_rms/visual_prompt_sum,False,metatoken_gb,7.168815426997277,19.178703201562453
qwen3_vl_8b,frozen_rms/generation,False,svar_native,0.377024793388403,1.6059966850494822
qwen3_vl_8b,frozen_rms/generation,False,metatoken_lr,7.08567493112946,18.52170578744835
qwen3_vl_8b,frozen_rms/generation,False,metatoken_gb,5.672782369146001,11.503591129882086
qwen3_vl_8b,frozen_rms/vp_generation,False,svar_native,3.9999999999999925,11.250994669280912
qwen3_vl_8b,frozen_rms/vp_generation,False,metatoken_lr,10.70865013774105,28.166703771679778
qwen3_vl_8b,frozen_rms/vp_generation,False,metatoken_gb,9.295757575757591,21.148589114113513
internvl_2_5_8b,true_rms/visual,False,svar_native,-0.7123578176209788,-0.5637027730932442
internvl_2_5_8b,true_rms/visual,False,metatoken_lr,2.8884711779448624,6.210398601466826
internvl_2_5_8b,true_rms/visual,False,metatoken_gb,1.3729516097937156,1.1367532092457666
internvl_2_5_8b,true_rms/visual_prompt_sum,False,svar_native,0.5554270291112329,0.3226006224055
internvl_2_5_8b,true_rms/visual_prompt_sum,False,metatoken_lr,4.156256024677074,7.096701996965571
internvl_2_5_8b,true_rms/visual_prompt_sum,False,metatoken_gb,2.6407364565259273,2.023056604744511
internvl_2_5_8b,true_rms/generation,False,svar_native,-2.3728552149604787,-2.003076893664424
internvl_2_5_8b,true_rms/generation,False,metatoken_lr,1.2279737806053626,4.7710244808956475
internvl_2_5_8b,true_rms/generation,False,metatoken_gb,-0.2875457875457843,-0.302620911325413
internvl_2_5_8b,true_rms/vp_generation,True,svar_native,2.01368806631963,6.344595247547025
internvl_2_5_8b,true_rms/vp_generation,True,metatoken_lr,5.614517061885471,13.118696622107095
internvl_2_5_8b,true_rms/vp_generation,True,metatoken_gb,4.098997493734324,8.045051229886035
internvl_2_5_8b,frozen_rms/visual,False,svar_native,0.04125698862540439,1.7865506608634396
internvl_2_5_8b,frozen_rms/visual,False,metatoken_lr,3.6420859841912456,8.56065203542351
internvl_2_5_8b,frozen_rms/visual,False,metatoken_gb,2.1265664160400988,3.4870066432024505
internvl_2_5_8b,frozen_rms/visual_prompt_sum,False,svar_native,0.6444958550221758,2.1468178999936027
internvl_2_5_8b,frozen_rms/visual_prompt_sum,False,metatoken_lr,4.245324850588017,8.920919274553674
internvl_2_5_8b,frozen_rms/visual_prompt_sum,False,metatoken_gb,2.72980528243687,3.8472738823326136
internvl_2_5_8b,frozen_rms/generation,False,svar_native,-2.7979564295353754,-3.5073276662673014
internvl_2_5_8b,frozen_rms/generation,False,metatoken_lr,0.8028725660304659,3.2667737082927695
internvl_2_5_8b,frozen_rms/generation,False,metatoken_gb,-0.712647002120681,-1.8068716839282906
internvl_2_5_8b,frozen_rms/vp_generation,False,svar_native,1.8216695585116516,5.300314555314733
internvl_2_5_8b,frozen_rms/vp_generation,False,metatoken_lr,5.422498554077492,12.074415929874805
internvl_2_5_8b,frozen_rms/vp_generation,False,metatoken_gb,3.906978985926346,7.000770537653745
