model,variant,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen2_5_vl_7b,true_rms/visual,6.065839179708565,11.800296136824102
qwen2_5_vl_7b,true_rms/visual_prompt_sum,5.806799784133842,12.973611108288907
qwen2_5_vl_7b,true_rms/generation,1.557063192249386,6.354916874500077
qwen2_5_vl_7b,true_rms/vp_generation,3.926708297998105,9.558735918997824
qwen2_5_vl_7b,frozen_rms/visual,4.57482075398965,9.044689215835506
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,5.600185028139704,11.919370922207245
qwen2_5_vl_7b,frozen_rms/generation,1.1312414874206644,8.225320921252122
qwen2_5_vl_7b,frozen_rms/vp_generation,3.2963277053940754,10.359370679715663
llava_1_5_7b,true_rms/visual,0.859328383758351,1.4668908294538152
llava_1_5_7b,true_rms/visual_prompt_sum,2.326838238890372,2.7530497426614176
llava_1_5_7b,true_rms/generation,1.5450303723919312,1.886243894343509
llava_1_5_7b,true_rms/vp_generation,0.8979663702790797,1.7358817372560287
llava_1_5_7b,frozen_rms/visual,0.5382418248867649,1.176825312881391
llava_1_5_7b,frozen_rms/visual_prompt_sum,0.6403797934742661,-0.6050031567487291
llava_1_5_7b,frozen_rms/generation,1.3008937276038246,0.9298733815731319
llava_1_5_7b,frozen_rms/vp_generation,0.44702683139163923,0.3622246516533423
qwen3_vl_8b,true_rms/visual,1.6006611570247964,6.262641405620939
qwen3_vl_8b,true_rms/visual_prompt_sum,4.780826446281006,10.310574307307707
qwen3_vl_8b,true_rms/generation,5.1473829201102,8.149336205413405
qwen3_vl_8b,true_rms/vp_generation,3.97752066115703,8.739963173298626
qwen3_vl_8b,frozen_rms/visual,0.5181267217630681,3.160855147895847
qwen3_vl_8b,frozen_rms/visual_prompt_sum,3.8246831955922933,10.335270406076958
qwen3_vl_8b,frozen_rms/generation,5.33526170798897,13.274689213267287
qwen3_vl_8b,frozen_rms/vp_generation,3.5046280991735568,8.202981269481057
internvl_2_5_8b,true_rms/visual,0.49296317717371085,-3.226947609845876
internvl_2_5_8b,true_rms/visual_prompt_sum,4.783882783882776,5.452774293820983
internvl_2_5_8b,true_rms/generation,2.4567187198766383,6.920904674376077
internvl_2_5_8b,true_rms/vp_generation,4.5928282244071745,9.556556052175736
internvl_2_5_8b,frozen_rms/visual,0.6213610950453141,-1.446638001399425
internvl_2_5_8b,frozen_rms/visual_prompt_sum,5.4015808752651,9.980098887727735
internvl_2_5_8b,frozen_rms/generation,1.7266242529400566,5.463629331558456
internvl_2_5_8b,frozen_rms/vp_generation,3.733179101600159,7.260086917270526
