model,variant,seed,AUROC,HALL_AUPR
qwen3_vl_8b,frozen_rms/visual_prompt_sum,45,0.9092826446280993,0.7232715533853483
qwen3_vl_8b,frozen_rms/generation,43,0.890585123966942,0.6392470138026145
qwen3_vl_8b,frozen_rms/generation,44,0.8944710743801652,0.6429945982665635
qwen3_vl_8b,frozen_rms/generation,45,0.8947933884297521,0.6456773787276396
qwen3_vl_8b,frozen_rms/vp_generation,43,0.928502479338843,0.7366447508363448
qwen3_vl_8b,frozen_rms/vp_generation,44,0.9294347107438017,0.7421886747453863
qwen3_vl_8b,frozen_rms/vp_generation,45,0.9306016528925619,0.7384355047420295
internvl_2_5_8b,true_rms/visual,43,0.8636292654713706,0.5313575131861143
internvl_2_5_8b,true_rms/visual,44,0.8623279352226721,0.5410044646732537
internvl_2_5_8b,true_rms/visual,45,0.8620445344129555,0.5226896092700992
internvl_2_5_8b,true_rms/visual_prompt_sum,43,0.8725245806824755,0.5344409913120582
internvl_2_5_8b,true_rms/visual_prompt_sum,44,0.8744794679005206,0.5392163063028909
internvl_2_5_8b,true_rms/visual_prompt_sum,45,0.8790312319259688,0.5479833913794808
internvl_2_5_8b,true_rms/generation,43,0.8455263157894738,0.5084984935080575
internvl_2_5_8b,true_rms/generation,44,0.8488288027761712,0.5208989084575458
internvl_2_5_8b,true_rms/generation,45,0.8438316946211684,0.5224729615467285
internvl_2_5_8b,true_rms/vp_generation,43,0.8851214574898785,0.5899524707869892
internvl_2_5_8b,true_rms/vp_generation,44,0.8903788316946212,0.6050767710474814
internvl_2_5_8b,true_rms/vp_generation,45,0.8942828224407172,0.6072712859142049
internvl_2_5_8b,frozen_rms/visual,43,0.870910931174089,0.5495025384425458
internvl_2_5_8b,frozen_rms/visual,44,0.8703441295546559,0.5557366190544493
internvl_2_5_8b,frozen_rms/visual,45,0.869355118565645,0.5603200326511728
internvl_2_5_8b,frozen_rms/visual_prompt_sum,43,0.8746992481203009,0.5533003900025777
internvl_2_5_8b,frozen_rms/visual_prompt_sum,44,0.8772498554077504,0.5579859623941333
internvl_2_5_8b,frozen_rms/visual_prompt_sum,45,0.8767582417582418,0.5650808549253616
internvl_2_5_8b,frozen_rms/generation,43,0.8375910931174089,0.49584030558971903
internvl_2_5_8b,frozen_rms/generation,44,0.8507258530942743,0.5044293595083998
internvl_2_5_8b,frozen_rms/generation,45,0.8371168305378831,0.5064731752361267
internvl_2_5_8b,frozen_rms/vp_generation,43,0.8849768652400232,0.5830550925533906
internvl_2_5_8b,frozen_rms/vp_generation,44,0.8871804511278196,0.5967564476770103
internvl_2_5_8b,frozen_rms/vp_generation,45,0.8918652400231347,0.5911605667513058
