model,variant,champion,candidate,validation_AUROC,validation_HALL_AUPR,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,True,11,0.8839902373163006,0.5121777843208704,0.8811810962917277,0.0006882938107468419,0.4404487754970479,0.0039814016258186615,0.8834785290262894,0.4459780025287411
qwen2_5_vl_7b,true_rms/visual_prompt_sum,False,15,0.8757940835367225,0.5293147940389471,0.8760003083802328,0.0021640515548584345,0.459932798613298,0.011349839761520507,0.8796854521625164,0.47123113078916284
qwen2_5_vl_7b,true_rms/generation,False,18,0.8014769521039969,0.33147318369959106,0.8220106391180325,0.00046806288602759997,0.3544398998054681,0.02352059500714204,0.8279777966232365,0.3672481130355214
qwen2_5_vl_7b,true_rms/vp_generation,False,12,0.8675286908656593,0.4855482463560814,0.8767866779739418,0.00330710542755224,0.4653683329700784,0.010467274738566259,0.8781127129750982,0.4695244095835016
qwen2_5_vl_7b,frozen_rms/visual,False,11,0.8801258416852745,0.5053016148121702,0.8815717112533085,0.0025040694332238906,0.427803493946535,0.0038076128947180914,0.8846349548993909,0.4364595376462742
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,False,19,0.8759152515968219,0.5121816243846217,0.8683319199239329,0.0015932812899378548,0.45467196783739405,0.004274856319300952,0.8693084573278853,0.45929112139081185
qwen2_5_vl_7b,frozen_rms/generation,False,20,0.8017430890931436,0.3400805407518714,0.8243928764166218,0.007670561829353884,0.3827124387480181,0.02770386926130811,0.8303446149101842,0.392087960376938
qwen2_5_vl_7b,frozen_rms/vp_generation,False,12,0.8724489795918368,0.5117203144202888,0.8696065582196181,0.0020187458720011342,0.46923379151536354,0.015154693682692032,0.8705111402359108,0.47258873283014224
llava_1_5_7b,true_rms/visual,False,19,0.8989391032973737,0.7240945760079617,0.8976672111851265,0.00104508890043222,0.6818739536606445,0.005230895662042842,0.8997906701489762,0.6857726919861761
llava_1_5_7b,true_rms/visual_prompt_sum,False,20,0.8998681578468813,0.7301395923695978,0.8935621289041485,0.0015360426930729617,0.6784801419106801,0.003599358209765726,0.8964404143557239,0.6856936217609001
llava_1_5_7b,true_rms/generation,False,13,0.881281200687515,0.6526271021135491,0.8792334679956829,0.0015123833628016214,0.6554509500936367,0.006354325011430001,0.8804570042355058,0.6601133865438691
llava_1_5_7b,true_rms/vp_generation,True,12,0.9115660325337744,0.7396686156160075,0.9000588536419155,0.0009524682512118293,0.7184790331058871,0.00391713617895199,0.900558538995021,0.7202858010133876
llava_1_5_7b,frozen_rms/visual,False,19,0.9006263602179869,0.7266382697089059,0.8974552728624389,0.0014050592340176292,0.6816584862253547,0.008560988721407495,0.8992820181745264,0.6852509094143607
llava_1_5_7b,frozen_rms/visual_prompt_sum,False,20,0.9005039039356127,0.7360654433300916,0.8900847101172834,0.0010183399909814825,0.6657195018875215,0.0036412255168083345,0.8928064872690279,0.6726372934729382
llava_1_5_7b,frozen_rms/generation,False,13,0.881754893851668,0.6631553069012942,0.8794755667719837,0.0018374047917081426,0.6508256683642756,0.007053228746829206,0.8806404123993701,0.6569367737596418
llava_1_5_7b,frozen_rms/vp_generation,False,12,0.9101533856595627,0.7380615227963965,0.9015709520595513,0.00036489297175293085,0.7170888191562977,0.004023953263231438,0.9025075564163512,0.7204950294921508
qwen3_vl_8b,true_rms/visual,False,21,0.8902466084345834,0.656576270723466,0.8962104683195592,0.00201936725386273,0.6806161890383274,0.0027763887235584717,0.8978280991735536,0.6851370439262235
qwen3_vl_8b,true_rms/visual_prompt_sum,False,4,0.8817674537066514,0.6574637102775335,0.9113961432506889,0.0007181716209394764,0.7117606550163006,0.002802375483020229,0.913014876033058,0.7165175914562785
qwen3_vl_8b,true_rms/generation,False,15,0.8762616468990161,0.6185162010124775,0.8806330578512397,0.0024543248734492807,0.5873247362707105,0.011695372039208231,0.8857586776859504,0.5996893253146554
qwen3_vl_8b,true_rms/vp_generation,True,12,0.9075705567164668,0.6848050184127873,0.9287537190082645,0.0017302556393654618,0.7275400895756294,0.00425094723507859,0.9298578512396694,0.730052851260928
qwen3_vl_8b,frozen_rms/visual,False,21,0.887906134049561,0.6520662107616942,0.8951955922865014,0.0021801501818966497,0.6755864748562065,0.0041570447618464006,0.8973190082644629,0.6804829327742649
qwen3_vl_8b,frozen_rms/visual_prompt_sum,False,20,0.8834007690957048,0.6495790209456369,0.9082435261707991,0.0007370558295192712,0.7193907843157429,0.003263410155122683,0.9110611570247935,0.7265424903538596
qwen3_vl_8b,frozen_rms/generation,False,2,0.8762597174065306,0.6124935011639637,0.8932831955922863,0.0019123570897815708,0.6426396635989392,0.0026371553147232383,0.8959966942148762,0.6504113451112854
qwen3_vl_8b,frozen_rms/vp_generation,False,12,0.9045537952152444,0.6778973686857112,0.9295129476584022,0.0008587677851677482,0.7390896434412535,0.002310078808998704,0.9304429752066117,0.7432107699095125
internvl_2_5_8b,true_rms/visual,False,20,0.8484897999603881,0.5215264654042634,0.8626672450356662,0.0006900200450092745,0.5316838623764891,0.007480568603841014,0.8658386350491614,0.5360018685279573
internvl_2_5_8b,true_rms/visual_prompt_sum,False,19,0.8605647983098962,0.5554948481150795,0.8753450935029883,0.0027259381704713196,0.5405468963314766,0.005608148967628011,0.877111046847889,0.5419979476335605
internvl_2_5_8b,true_rms/generation,False,20,0.8505991285403051,0.5144361518518326,0.8460622710622712,0.0020749632155821463,0.5172901211707773,0.006249743914850474,0.8509687680740312,0.5277870390351155
internvl_2_5_8b,true_rms/vp_generation,True,21,0.8706129926718162,0.6230499415955014,0.8899277038750723,0.0037536905548888246,0.6007668425828918,0.007699218656464564,0.8918768074031231,0.6028109137381398
internvl_2_5_8b,frozen_rms/visual,False,13,0.8487109658678286,0.5317439790318835,0.87020339309813,0.0006429065669779126,0.555186396716056,0.004433328599346083,0.8715529207634471,0.5586638838336481
internvl_2_5_8b,frozen_rms/visual_prompt_sum,False,15,0.8608420809401202,0.5518214626821196,0.8762357817620977,0.0011048748705549726,0.5587890691073576,0.004842765996401583,0.8778918449971083,0.563250594887869
internvl_2_5_8b,frozen_rms/generation,False,20,0.8484386347131445,0.5177503641243788,0.8418112589165222,0.006306542806963504,0.5022476134447486,0.004606842095844526,0.8483429728166569,0.5157130791693378
internvl_2_5_8b,frozen_rms/vp_generation,False,21,0.867095794546775,0.6127720121621354,0.8880075187969925,0.0028723344147452688,0.5903240356605689,0.005624744216715519,0.8900202429149797,0.5941499403169268
