model,feature_set,dimensions,seed_mean_auroc,seed_std_auroc,ensemble_auroc,seed_mean_hall_aupr,ensemble_hall_aupr,seed_mean_hall_f1
qwen2_5_vl_7b,adj_A_all,27,0.7787270151901673,0.004767740181367401,0.7841245816367861,0.27251470307899,0.27802049185737265,0.19324333252092016
qwen2_5_vl_7b,adj_A_top32,27,0.7571183923483056,0.0070155524831282835,0.7635883661273246,0.2549027079923412,0.2617098622648163,0.10336327097752611
qwen2_5_vl_7b,adj_E_all,27,0.7764584384422794,0.0051682769395375375,0.7834743865782686,0.2667814855886903,0.2773883524551187,0.1379234522091665
qwen2_5_vl_7b,adj_E_top32,27,0.7610787790071084,0.002835131859989854,0.7685341121462121,0.24453213286462883,0.2526765836709042,0.1380541412296065
