model,group,classifier,AUROC_true_mean,HALL_AUPR_true_mean,AUROC_frozen_mean,HALL_AUPR_frozen_mean,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen2_5_vl_7b,visual,three_hidden,0.8621437565852029,0.3925398329073056,0.8649962737388533,0.3799168858071047,0.28525171536504246,-1.2622947100200899
qwen2_5_vl_7b,visual,one_hidden,0.820522704494642,0.3224458141288069,0.835823503713412,0.33735660178817994,1.5300799218769923,1.4910787659373037
qwen2_5_vl_7b,visual,xgb,0.8655462184873949,0.40788088755522994,0.8589931385398195,0.44485353646249076,-0.6553079947575369,3.697264890726082
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,0.8621411867499292,0.4002677532877887,0.8488474288798088,0.3793484626205723,-1.3293757870120437,-2.0919290667216375
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,0.8179323105388944,0.3301966875304089,0.8123300696425358,0.3354782586153216,-0.5602240896358524,0.5281571084912673
qwen2_5_vl_7b,visual_prompt_sum,xgb,0.863711356102074,0.45637878708845775,0.8504664251021509,0.41826234056316053,-1.3244930999923077,-3.811644652529722
qwen2_5_vl_7b,generation,three_hidden,0.8202143242618148,0.3522007680017499,0.8315061804538328,0.3651630394929888,1.1291856192018002,1.2962271491238908
qwen2_5_vl_7b,generation,one_hidden,0.8064400071955387,0.2908907310604673,0.8130804615424152,0.30045922953549686,0.6640454346876545,0.9568498475029552
qwen2_5_vl_7b,generation,xgb,0.8245162285097526,0.34939284877680693,0.833975792151723,0.34629804286663407,0.9459563641970425,-0.309480591017286
qwen2_5_vl_7b,vp_generation,three_hidden,0.873558964870352,0.4683346564474938,0.8678847685863337,0.45607529253585327,-0.5674196284018329,-1.2259363911640508
qwen2_5_vl_7b,vp_generation,one_hidden,0.8375195949939608,0.36978097378010016,0.8366432811656773,0.3656400847182069,-0.08763138282834593,-0.4140889061893249
qwen2_5_vl_7b,vp_generation,xgb,0.87539896692622,0.48397386678746174,0.8583378305450621,0.4641811796833118,-1.7061136381157915,-1.9792687104149942
