model,group,threshold_rule,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
qwen2_5_vl_7b,J,fixed_0.5,0.8100061030031716,0.9718380880789284,0.8943418013856813,1.0,0.9442243218530936,0.34457360281084504,0.0,0.0,0.0
qwen2_5_vl_7b,J,train_f1,0.8100061030031716,0.9718380880789284,0.9030732860520094,0.986442866365397,0.9429188522061093,0.34457360281084504,0.475,0.10382513661202186,0.17040358744394618
qwen2_5_vl_7b,F,fixed_0.5,0.8818380975563294,0.984007882931514,0.9220380601596071,0.9696578437701743,0.9452485840151038,0.4569769586748284,0.5436893203883495,0.30601092896174864,0.3916083916083916
qwen2_5_vl_7b,F,train_f1,0.8818380975563294,0.984007882931514,0.9234567901234568,0.9657843770174306,0.9441464184285263,0.4569769586748284,0.5267857142857143,0.3224043715846995,0.4
qwen2_5_vl_7b,F_J,fixed_0.5,0.8919574412541846,0.9853064550672443,0.9281733746130031,0.9677211103938025,0.9475347661188369,0.4912860924964161,0.5726495726495726,0.366120218579235,0.44666666666666666
qwen2_5_vl_7b,F_J,train_f1,0.8919574412541846,0.9853064550672443,0.9322033898305084,0.9586830213040671,0.9452577975811585,0.4912860924964161,0.539568345323741,0.4098360655737705,0.4658385093167702
llava_1_5_7b,J,fixed_0.5,0.8680312275549779,0.9572613561410662,0.8835504885993485,0.8904390644234714,0.8869814020028612,0.609412423406814,0.6130434782608696,0.5966149506346967,0.6047176554681916
llava_1_5_7b,J,train_f1,0.8680312275549779,0.9572613561410662,0.8673708920187794,0.9097250718096019,0.8880432605647907,0.609412423406814,0.6271186440677966,0.5218617771509168,0.5696689761354888
llava_1_5_7b,F,fixed_0.5,0.9047711786960894,0.9699465387941706,0.9102990033222591,0.8994665572425112,0.9048503611971104,0.7199279414985799,0.6680216802168022,0.6953455571227081,0.6814098134070491
llava_1_5_7b,F,train_f1,0.9047711786960894,0.9699465387941706,0.9239461103867883,0.8723840787853919,0.8974250738708316,0.7199279414985799,0.6319526627218935,0.7531734837799718,0.6872586872586872
llava_1_5_7b,F_J,fixed_0.5,0.9096602507302499,0.9728457314363783,0.910661609776654,0.8867459991793188,0.8985446985446985,0.7247261643950775,0.6429495472186287,0.7009873060648801,0.6707152496626181
llava_1_5_7b,F_J,train_f1,0.9096602507302499,0.9728457314363783,0.9112426035502958,0.8846942962659007,0.8977722256922757,0.7247261643950775,0.6397435897435897,0.7038081805359662,0.6702484889187375
qwen3_vl_8b,J,fixed_0.5,0.8293388933653166,0.9582376794904033,0.8740875912408759,0.9538032656312226,0.9122071986288326,0.5057610416916793,0.5958188153310104,0.3313953488372093,0.4259028642590286
qwen3_vl_8b,J,train_f1,0.8293388933653166,0.9582376794904033,0.8841072102680256,0.9326961369972122,0.9077519379844962,0.5057610416916793,0.5529100529100529,0.4050387596899225,0.46756152125279643
qwen3_vl_8b,F,fixed_0.5,0.8962441227590849,0.9762120217826576,0.9127725856697819,0.9334926324173636,0.9230163417995668,0.6463456042503231,0.6361655773420479,0.5658914728682171,0.598974358974359
qwen3_vl_8b,F,train_f1,0.8962441227590849,0.9762120217826576,0.9129246388129637,0.9311031461569096,0.9219242902208202,0.6463456042503231,0.628755364806867,0.5678294573643411,0.5967413441955194
qwen3_vl_8b,F_J,fixed_0.5,0.9084925552375749,0.9788614616056818,0.9239001189060642,0.9283154121863799,0.9261025029797377,0.6840884745988228,0.6428571428571429,0.627906976744186,0.6352941176470588
qwen3_vl_8b,F_J,train_f1,0.9084925552375749,0.9788614616056818,0.9190457567461869,0.9358821186778176,0.9273875295974744,0.6840884745988228,0.6574468085106383,0.5988372093023255,0.6267748478701826
internvl_2_5_8b,J,fixed_0.5,0.7930443106928854,0.9495835604082814,0.8580672993960311,0.9905378486055777,0.9195561719833565,0.44154040726316035,0.6984126984126984,0.11796246648793565,0.2018348623853211
internvl_2_5_8b,J,train_f1,0.7930443106928854,0.9495835604082814,0.8747121142330723,0.9457171314741036,0.908829863603733,0.44154040726316035,0.48095238095238096,0.2707774798927614,0.346483704974271
internvl_2_5_8b,F,fixed_0.5,0.8617413723123591,0.9699356352922472,0.9011461318051576,0.9397410358565738,0.9200390053632375,0.5467997226030863,0.578397212543554,0.4450402144772118,0.503030303030303
internvl_2_5_8b,F,train_f1,0.8617413723123591,0.9699356352922472,0.9058252427184466,0.9292828685258964,0.9174041297935103,0.5467997226030863,0.557632398753894,0.47989276139410186,0.515850144092219
internvl_2_5_8b,F_J,fixed_0.5,0.8673756715764288,0.9708300246106076,0.9013346043851287,0.9417330677290837,0.9210910862152947,0.5467368000770744,0.5865724381625441,0.4450402144772118,0.5060975609756098
internvl_2_5_8b,F_J,train_f1,0.8673756715764288,0.9708300246106076,0.9043269230769231,0.9367529880478087,0.9202544031311155,0.5467368000770744,0.5780730897009967,0.46648793565683644,0.516320474777448
