model,variant,seed,AUROC,HALL_AUPR
qwen3_vl_8b,raw_mad,43,0.8107371711833083,0.567620211959439
qwen3_vl_8b,raw_mad,44,0.8137900063906593,0.5761582868767644
qwen3_vl_8b,raw_mad,45,0.8083924901117501,0.583407530907488
qwen3_vl_8b,norm_mad,43,0.7988669533827313,0.5671403231212142
qwen3_vl_8b,norm_mad,44,0.8015570754961396,0.5650526860658881
qwen3_vl_8b,norm_mad,45,0.8018766084598511,0.5598907829002224
qwen3_vl_8b,raw_mad_logs,43,0.898526693956509,0.7452087303909974
qwen3_vl_8b,raw_mad_logs,44,0.8961172426896039,0.7371818291634885
qwen3_vl_8b,raw_mad_logs,45,0.8977062714821148,0.7388022940526938
qwen3_vl_8b,norm_mad_logs,43,0.898289203240237,0.7256464478669328
qwen3_vl_8b,norm_mad_logs,44,0.8995846071471751,0.7273784855166908
qwen3_vl_8b,norm_mad_logs,45,0.8990319014802148,0.7295505000702545
