Q,label,layer,mean,median,q25,q75
E,0,1,0.1255232,0.12240533,0.09827672690153122,0.14814971387386322
E,0,2,0.16701762,0.16082275,0.13251131772994995,0.19704122841358185
E,0,3,0.11851529,0.11397665,0.0976123958826065,0.1354810893535614
E,0,4,0.15313002,0.14388727,0.12155237793922424,0.17222149670124054
E,0,5,0.1562773,0.15179539,0.12875279784202576,0.18040701746940613
E,0,6,0.15227982,0.14559305,0.12319564819335938,0.1735253781080246
E,0,7,0.16510455,0.16058199,0.13357959687709808,0.1932228058576584
E,0,8,0.17159943,0.16726027,0.14320844411849976,0.19430166482925415
E,0,9,0.17719302,0.16746017,0.14348100125789642,0.1967156082391739
E,0,10,0.2016001,0.1879193,0.15730063617229462,0.22830571234226227
E,0,11,0.17095566,0.15966542,0.13437922298908234,0.18941783905029297
E,0,12,0.18843439,0.17365712,0.14568676054477692,0.20977561175823212
E,0,13,0.17101595,0.16739179,0.14343582093715668,0.1946570724248886
E,0,14,0.23414613,0.21084191,0.16966457664966583,0.2843766212463379
E,0,15,0.21234924,0.20485792,0.17405454814434052,0.2402518093585968
E,0,16,0.25788024,0.23537715,0.18779726326465607,0.3168678283691406
E,0,17,0.2163161,0.20361103,0.17343346774578094,0.2428896278142929
E,0,18,0.2752992,0.26657227,0.2108433097600937,0.3310496211051941
E,0,19,0.29002216,0.28088933,0.20885884761810303,0.36441388726234436
E,0,20,0.26722535,0.25443593,0.2099071443080902,0.31145745515823364
E,0,21,0.30306354,0.29222208,0.23410522937774658,0.3644881844520569
E,0,22,0.27829102,0.2715803,0.21876394748687744,0.3304426074028015
E,0,23,0.25096905,0.24128716,0.20007897913455963,0.2876240611076355
E,0,24,0.3088102,0.30945194,0.23502513766288757,0.3813736140727997
E,0,25,0.33205986,0.3346712,0.26010194420814514,0.4031901955604553
E,0,26,0.27527198,0.26641,0.2193351536989212,0.32085973024368286
E,0,27,0.3353166,0.34074494,0.25204330682754517,0.40844276547431946
E,0,28,0.28961793,0.27479964,0.21198897063732147,0.35694316029548645
E,0,29,0.2910998,0.28602108,0.21983535587787628,0.356330543756485
E,0,30,0.36734343,0.37106553,0.28030359745025635,0.457685649394989
E,0,31,0.28928688,0.26896927,0.22002513706684113,0.35112568736076355
E,0,32,0.31095347,0.3071478,0.23717248439788818,0.37651947140693665
E,0,33,0.31549603,0.31096113,0.2431437075138092,0.3859749734401703
E,0,34,0.34259695,0.34813976,0.2639325261116028,0.41969218850135803
E,0,35,0.3501619,0.36064753,0.27224671840667725,0.42491182684898376
E,0,36,0.5870404,0.62060374,0.5782487988471985,0.6480755805969238
E,1,1,0.12762657,0.12458199,0.10162454284727573,0.1503130942583084
E,1,2,0.1844681,0.18138677,0.14885499328374863,0.2159069888293743
E,1,3,0.12880996,0.1252478,0.10573319345712662,0.1481487937271595
E,1,4,0.16969119,0.15987976,0.13444657251238823,0.19233065471053123
E,1,5,0.17580004,0.17210567,0.14579739049077034,0.20308317989110947
E,1,6,0.17139272,0.16744845,0.14080547541379929,0.19848810508847237
E,1,7,0.18941529,0.18767685,0.15815918520092964,0.21861300989985466
E,1,8,0.18817241,0.18649538,0.15957975760102272,0.21459051594138145
E,1,9,0.1790362,0.1662884,0.14242621511220932,0.19584979489445686
E,1,10,0.2085557,0.17826629,0.14479708299040794,0.22925886884331703
E,1,11,0.16392198,0.15249342,0.13043896853923798,0.17948833107948303
E,1,12,0.18519266,0.16915372,0.14353418350219727,0.2024846412241459
E,1,13,0.16781914,0.1664281,0.1430024392902851,0.1893792748451233
E,1,14,0.23225646,0.199763,0.16297588497400284,0.2881552502512932
E,1,15,0.20957059,0.19598623,0.16714783385396004,0.23550691455602646
E,1,16,0.24337912,0.21337113,0.17236009240150452,0.3052091673016548
E,1,17,0.20538573,0.19350782,0.16714655607938766,0.2255423441529274
