model,support,comparison,metric,difference,low,high,valid_replicates,test_images,images_with_mentions
internvl_2_5_8b,PVG,S minus I,AUROC,0.007179487179487021,-0.0039195865809726945,0.01833590397610522,2000,400,390
internvl_2_5_8b,PVG,S minus I,HALL_AUPR,0.019077436325550923,-0.021174385401308372,0.058947785546573844,2000,400,390
internvl_2_5_8b,PVG,I+S minus I,AUROC,0.010327742433005604,0.0024044919722924717,0.018705940064284804,2000,400,390
internvl_2_5_8b,PVG,I+S minus I,HALL_AUPR,0.0283090436670127,-0.0018654357055207626,0.05687011379531233,2000,400,390
internvl_2_5_8b,PVG,I+S minus S,AUROC,0.0031482552535185837,-0.0036308572912233353,0.010230976464839947,2000,400,390
internvl_2_5_8b,PVG,I+S minus S,HALL_AUPR,0.009231607341461778,-0.0147144231351724,0.03234638864554651,2000,400,390
internvl_2_5_8b,ALL,S minus I,AUROC,0.0205398110661269,-0.0009509236937875975,0.042390394364014754,2000,400,390
internvl_2_5_8b,ALL,S minus I,HALL_AUPR,0.07611154813989668,0.016919753044829566,0.1351507111275384,2000,400,390
internvl_2_5_8b,ALL,I+S minus I,AUROC,0.042639290534027374,0.025827077417122014,0.06160123171668098,2000,400,390
internvl_2_5_8b,ALL,I+S minus I,HALL_AUPR,0.11628395016654153,0.0682282952484048,0.16506208227412747,2000,400,390
internvl_2_5_8b,ALL,I+S minus S,AUROC,0.022099479467900474,0.009703476537142847,0.035692692684085404,2000,400,390
internvl_2_5_8b,ALL,I+S minus S,HALL_AUPR,0.04017240202664485,-0.005769310507277389,0.08727987665838696,2000,400,390
