model,group,classifier,seed,AUROC,HALL_AUPR
internvl_2_5_8b,svar,three_hidden,43,0.8763418160786581,0.5310122369228397
internvl_2_5_8b,svar,three_hidden,44,0.8787941006362059,0.5554578193996844
internvl_2_5_8b,svar,three_hidden,45,0.8827096587622904,0.5419383288402712
internvl_2_5_8b,svar,one_hidden,43,0.8624146905725852,0.5184440411798127
internvl_2_5_8b,svar,one_hidden,44,0.864331983805668,0.5303968876820575
internvl_2_5_8b,svar,one_hidden,45,0.8637218045112782,0.523191469356841
internvl_2_5_8b,svar,xgb,43,0.8831318681318682,0.5733657913043254
internvl_2_5_8b,svar,xgb,44,0.8831318681318682,0.5733657913043254
internvl_2_5_8b,svar,xgb,45,0.8831318681318682,0.5733657913043254
internvl_2_5_8b,metatoken,three_hidden,43,0.784360902255639,0.3914389376305622
internvl_2_5_8b,metatoken,three_hidden,44,0.7887044534412956,0.3776984674767079
internvl_2_5_8b,metatoken,three_hidden,45,0.7825968768074031,0.3963680104090197
internvl_2_5_8b,metatoken,one_hidden,43,0.7828513591671487,0.35960838451750804
internvl_2_5_8b,metatoken,one_hidden,44,0.7837362637362638,0.3669178931163198
internvl_2_5_8b,metatoken,one_hidden,45,0.7948698669751302,0.4094042185090296
internvl_2_5_8b,metatoken,xgb,43,0.8569346443030653,0.5035184995607809
internvl_2_5_8b,metatoken,xgb,44,0.8569346443030653,0.5035184995607809
internvl_2_5_8b,metatoken,xgb,45,0.8569346443030653,0.5035184995607809
