model,left,right,metric,delta,ci95_low,ci95_high,valid_repetitions
qwen3_vl_8b,b1_F5,F0,AUROC,0.003233318617720249,-0.00815609169856625,0.01496254586294055,10000
qwen3_vl_8b,b1_F5,F0,HALL_AUPR,0.005825172105121679,-0.02756878294326608,0.03720258787810552,10000
qwen3_vl_8b,b1_F5,source_raw,AUROC,0.0002549505689178888,-0.009882064698467388,0.010316665458090981,10000
qwen3_vl_8b,b1_F5,source_raw,HALL_AUPR,0.011596952685319017,-0.01882194254269315,0.0409656135010554,10000
qwen3_vl_8b,b1_F5,source_log1p,AUROC,0.0008656999640856977,-0.008640182168919753,0.010096830729223287,10000
qwen3_vl_8b,b1_F5,source_log1p,HALL_AUPR,0.01771004855244307,-0.011617209887210326,0.04657299134938896,10000
qwen3_vl_8b,b1_F5,length,AUROC,0.24649397946194374,0.2219798751924299,0.2714348723402956,10000
qwen3_vl_8b,b1_F5,length,HALL_AUPR,0.43501057404822174,0.3942514471948001,0.4724314631088818,10000
qwen3_vl_8b,b1_F6,F0,AUROC,0.008532097016023532,-0.0021747348271139774,0.01964695864441456,10000
qwen3_vl_8b,b1_F6,F0,HALL_AUPR,0.02051197558766904,-0.011973386256507753,0.05157455670078683,10000
qwen3_vl_8b,b1_F6,source_raw,AUROC,0.005553728967221172,-0.005491071909157525,0.016619012760531918,10000
qwen3_vl_8b,b1_F6,source_raw,HALL_AUPR,0.02628375616786638,-0.007263315376740653,0.059050182300465236,10000
qwen3_vl_8b,b1_F6,source_log1p,AUROC,0.006164478362388981,-0.004222606830160666,0.016441598284230873,10000
qwen3_vl_8b,b1_F6,source_log1p,HALL_AUPR,0.03239685203499043,-0.00016468728373681953,0.06351280731403657,10000
qwen3_vl_8b,b1_F6,length,AUROC,0.251792757860247,0.22669936468336235,0.27681689669374204,10000
qwen3_vl_8b,b1_F6,length,HALL_AUPR,0.4496973775307691,0.4082521636420557,0.4877728634949381,10000
qwen3_vl_8b,b2_F5,F0,AUROC,0.007079187492346262,-0.004414753349092182,0.018961977658984726,10000
qwen3_vl_8b,b2_F5,F0,HALL_AUPR,0.01440897814112474,-0.02195684977474375,0.05000897840973547,10000
qwen3_vl_8b,b2_F5,source_raw,AUROC,0.004100819443543902,-0.006595355338652464,0.014862114577867564,10000
qwen3_vl_8b,b2_F5,source_raw,HALL_AUPR,0.02018075872132208,-0.013188527359139468,0.053693064574976655,10000
qwen3_vl_8b,b2_F5,source_log1p,AUROC,0.0047115688387117105,-0.005089706916341061,0.014588519311460635,10000
qwen3_vl_8b,b2_F5,source_log1p,HALL_AUPR,0.02629385458844613,-0.005061483486469123,0.05796014061223916,10000
qwen3_vl_8b,b2_F5,length,AUROC,0.25033984833656975,0.22602598012694392,0.2750237022317223,10000
qwen3_vl_8b,b2_F5,length,HALL_AUPR,0.4435943800842248,0.402050874223535,0.4817844866469333,10000
qwen3_vl_8b,b2_F6,F0,AUROC,0.00938056016061628,-0.0018665825770385475,0.020785847946597474,10000
qwen3_vl_8b,b2_F6,F0,HALL_AUPR,0.030207643416787278,-0.004064163552404462,0.06313305265009106,10000
qwen3_vl_8b,b2_F6,source_raw,AUROC,0.00640219211181392,-0.005282974308004854,0.01813507155926945,10000
qwen3_vl_8b,b2_F6,source_raw,HALL_AUPR,0.035979423996984616,0.0025306352550397287,0.0694999213925171,10000
qwen3_vl_8b,b2_F6,source_log1p,AUROC,0.007012941506981729,-0.00404757092837271,0.017936373357806915,10000
qwen3_vl_8b,b2_F6,source_log1p,HALL_AUPR,0.04209251986410867,0.01075189784163367,0.0732848724161724,10000
qwen3_vl_8b,b2_F6,length,AUROC,0.25264122100483977,0.22705240741838895,0.27818824288939226,10000
qwen3_vl_8b,b2_F6,length,HALL_AUPR,0.45939304535988734,0.41686651619631027,0.4969633406811588,10000
qwen3_vl_8b,b1_F3_raw,b2_F3_raw,AUROC,0.00020388327534548445,-0.00762662834380875,0.008082250747526921,10000
qwen3_vl_8b,b1_F3_raw,b2_F3_raw,HALL_AUPR,0.006604553298501847,-0.016657128437195044,0.028903486739283862,10000
qwen3_vl_8b,b1_F3_log1p,b2_F3_log1p,AUROC,-0.0023539835576178447,-0.011623949479261037,0.007190531561745545,10000
qwen3_vl_8b,b1_F3_log1p,b2_F3_log1p,HALL_AUPR,-0.010820233550694613,-0.03415115522689693,0.013404636213462393,10000
qwen3_vl_8b,b1_F4,b2_F4,AUROC,-0.0011094594636312793,-0.013640254218974409,0.011384961499452912,10000
qwen3_vl_8b,b1_F4,b2_F4,HALL_AUPR,0.014602002841580752,-0.019669186449901246,0.0474818399325729,10000
qwen3_vl_8b,b1_F5,b2_F5,AUROC,-0.003845868874626013,-0.010686712227943993,0.0031403442470166964,10000
qwen3_vl_8b,b1_F5,b2_F5,HALL_AUPR,-0.008583806036003061,-0.02988388941004024,0.011904489010227986,10000
qwen3_vl_8b,b1_F6,b2_F6,AUROC,-0.0008484631445927482,-0.007614986022817324,0.006107374098770073,10000
qwen3_vl_8b,b1_F6,b2_F6,HALL_AUPR,-0.009695667829118237,-0.028902487520816388,0.009082787210697123,10000
