model,variant,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,raw_mad,43,0.6265262330754353,0.19351079194807808
qwen2_5_vl_7b,raw_mad,44,0.6030131769825918,0.1888329193576676
qwen2_5_vl_7b,raw_mad,45,0.6158728239845261,0.1837906924877913
qwen2_5_vl_7b,norm_mad,43,0.8141471228239846,0.459939496117798
qwen2_5_vl_7b,norm_mad,44,0.8217178433268859,0.4926280183747167
qwen2_5_vl_7b,norm_mad,45,0.8103693181818182,0.46938855520051553
qwen2_5_vl_7b,raw_mad_logs,43,0.8438255560928434,0.44379211018233566
qwen2_5_vl_7b,raw_mad_logs,44,0.8423144342359768,0.4316648276882266
qwen2_5_vl_7b,raw_mad_logs,45,0.8508824951644101,0.4725189633139666
qwen2_5_vl_7b,norm_mad_logs,43,0.8665679400386845,0.5164025502815748
qwen2_5_vl_7b,norm_mad_logs,44,0.8543580754352029,0.46499847411858447
qwen2_5_vl_7b,norm_mad_logs,45,0.8564283123791103,0.49805709808490306
